3:12 AM - 12 Dec 2015|Ban Ki-moon says final #COP21 draft historic sets world new path low emissions climate-resilient future #climatechange|127|63
12:08 PM - 9 Dec 2015|Let us admire John Cena face Donald Trump talking today Today Show pic twitter com YFqUPvLdu5|4.9K|6.2K
11:34 AM - 10 Dec 2015|NEWS Sanders Introduces Bill Cut Carbon Emissions 80 Percent http 1 usa gov 1Z1OkKy pic twitter com seGilRqq0v|1.3K|2.6K
12:12 PM - 8 Dec 2015|@onthatjulyninth hello final product pic twitter com UiKtXq4ewt|1.6K|1.7K
5:17 AM - 10 Dec 2015|When America hates https twitter com buzzfeed status 674898690696458244|5|8
7:18 AM - 8 Dec 2015|I'm happening pic twitter com eK725bZStF|11K|29K
9:57 PM - 5 Dec 2015|@leonbridges real deal The end #SNL pic twitter com ctSJl30OtZ|132|347
1:07 AM - 4 Dec 2015|The new album A Head Full Of Dreams OUT NOW iTunes http smarturl AHFODitunes CD http smarturl AHFODcd pic twitter com if3YccNCyE|6.7K|8.6K
4:55 PM - 1 Dec 2015|You thought puberty good wait see second puberty|14K|39K
5:54 AM - 30 Nov 2015|Children least responsible #climatechange live consequences #COP21 pic twitter com YxOqrOWeU1|591|445
6:35 AM - 30 Nov 2015|John Oliver risk letting refugees pic twitter com 0paNtniCHT|11K|10K
9:50 AM - 30 Nov 2015|Why WFP involved #COP21 Because #climatechange ups risk #hunger that's http www wfp org climate-change climate-policy cop-21 pic twitter com 0pBfvV600W|195|122
10:40 PM - 29 Nov 2015|Investing #climatechange way put end global poverty Ban Ki-moon Paris #COP21 https amp twimg com v f4f40c58-0b04-48a1-ba08-8d37b010157c|1.2K|855
6:32 AM - 26 Nov 2015|Remember pic twitter com jb9NtzPO7l|21K|23K
4:33 AM - 26 Nov 2015|To friends thanksgiving marathoners thanks watching So happy still enjoy show You rock|3.4K|7.8K
4:57 PM - 26 Nov 2015|thanks thanks thanks thanks thanks thanks thanks thanks thanks thanks thanks thanks thanks thanks thanks thanks thanks thanks thanks thanks|8.8K|20K
3:01 AM - 15 Nov 2015|Where lies pic twitter com P3fu2x3CPQ|1.4K|970
