7:30 AM - 11 Dec 2015|Can't stop watching insane #XMenApocalypse trailer Neither http ow ly VLqsQ pic twitter com u8d8jkhhbP|1.4K|1.4K
7:42 PM - 7 Dec 2015|real license plate front right pic twitter com EWjK2KjyjK|543|1.3K
11:30 AM - 8 Dec 2015|See journey leads @CaptainAmerica #CivilWar featurette MCU Phase 2 Box Set https amp twimg com v 5024fc2d-ca0a-44f4-ad9c-0601a721cf71|840|1.4K
5:25 PM - 8 Dec 2015|ICYMI Tom Holland clueless #SpiderMan role #CaptainAmericaCivilWar http ow ly VDRYZ pic twitter com ZCWkEGkMt1|48|75
3:46 PM - 8 Dec 2015|#TrumpIsDisqualifiedParty On The Border Paramus 8pm Margaritas queso|1|3
1:45 PM - 8 Dec 2015|show #TrumpIsDisqualifiedParty find hasn't actually disqualified pic twitter com TH0Kvxr4FB|3.8K|4.4K
12:52 PM - 7 Dec 2015|A bookshop everything recommended http nyti ms 1NGqhst pic twitter com D0HBETohdq|88|269
7:13 PM - 6 Dec 2015|On NYE I want sparkly af I hope Ashley holds glitter seminar sometime soon|1|0
5:39 PM - 5 Dec 2015|One Direction Gets ''Emotional'' Final U S Concert Before Hiatus This Show Is Kind Important One'' http eonli ne 1Qntz9d|164|474
12:00 PM - 3 Dec 2015|The past already written The ink dry APRIL 2016 #GameofThrones #GoTSeason6 https amp twimg com v 267f9996-7dc9-4f4e-a421-f9365a98f6f9|29K|24K
3:34 PM - 29 Nov 2015|Me lemme take lil nap get ideas flowing Cut year 2057 mankind perished unjust war ideas illegal|325|751
12:29 AM - 2 Dec 2015|@grimmers there's Sherlock Christmas special happens Andrew Scott It's 1st January #Sherlock|63|156
11:57 PM - 1 Dec 2015|Day 2 #GrimmysChristmasGifs Do want see @Harry_Styles falling ice skating Yep thought pic twitter com 1KRyO9b95U|525|700
12:20 AM - 1 Dec 2015|River back later month The Husbands River Song http bbc 1QPYwUR #DoctorWho pic twitter com VoKdOwCmk8|435|932
8:05 PM - 25 Nov 2015|life rn #gradschoolproblems pic twitter com FRILNDMQcG|10|24
10:00 AM - 30 Nov 2015|The #CivilWar trailer even better romance set Adele's #Hello http bit ly 21oTfaH pic twitter com UwEhNFcP2k|2|6
6:00 PM - 30 Nov 2015|The #CaptainAmerica #CivilWar trailer CRUSHED #Marvel viewing record http ow ly ViG7C pic twitter com lj4jmLYHdS|134|220
7:28 PM - 19 Nov 2015|Research research research eat research research research sleep Repeat|22|34
6:47 PM - 29 Nov 2015|When you're zombie apocalypse exam tomorrow #TheWalkingDead pic twitter com ZRJwLJPexE|34|53
6:11 PM - 29 Nov 2015|Well goes neighborhood #TWD #TWDMidSeasonFinale pic twitter com vhue2hMovI|118|179
2:40 PM - 28 Nov 2015|I d anything @Adele I d literally go Adele house right laundry - @Drake http blbrd cm YVak6u|663|1K
11:57 AM - 26 Nov 2015|Happy thanksgiving everyone Have nice day|130K|190K
12:22 PM - 20 Nov 2015|MAP Fuckin' Salad Seriously http fivethirtyeight com features heres-what-your-part-of-america-eats-on-thanksgiving pic twitter com jW4C8Tkb42|11|20
5:53 AM - 24 Nov 2015|'Doctor Who' Christmas special promises 'frantic chase across galaxy' http mash 1QFTnid pic twitter com hnPJckznuK|45|63
12:30 AM - 24 Nov 2015|Is Christmas yet We wait see Alex Kingston back River Xmas Special http bbc 1I6KJXf pic twitter com KJu1KKNPWr|882|1.6K
9:27 AM - 23 Nov 2015|And guys thought WE torturing fans https twitter com GameOfThrones status 668821378544570368|2.7K|2.2K
8:13 PM - 22 Nov 2015|Physically I'm fine emotionally I'm bruised #AMAs https vine co v izOxYKEY3z3|140|135
7:59 PM - 22 Nov 2015|One Direction group hugs powerful sun #AMAs|458|485
8:00 PM - 22 Nov 2015|Congrats @OneDirection winning Artist Year http blbrd cm vmiq6d #AMAs1D pic twitter com 7KwVMx9V2F|11K|8K
4:15 PM - 22 Nov 2015|Harry Styles us looking Niall Horan's new glasses #AMAs pic twitter com 3WHVHbO1oU|2.5K|2.5K
6:25 PM - 22 Nov 2015|OH MY GOD pic twitter com VKwolCzjkK|7.3K|6.4K
6:28 PM - 22 Nov 2015|Twenty years clueless #AMAs pic twitter com vSgOwJ92C2|4.5K|9.1K
5:43 PM - 22 Nov 2015|YEESSSSS @onedirection Favorite Duo Group - Pop Rock CONGRATULATIONS #AMAs http snpy tv 1NlYUde|11K|12K
5:41 PM - 22 Nov 2015|@NICKIMINAJ giving @NiallOfficial One Direction's award Favorite Pop Rock Duo Group #AMAs pic twitter com P4TyWX5o9n|288|351
7:16 PM - 20 Nov 2015|I'd terrific villain I weren't compassionate|225|298
2:41 PM - 19 Nov 2015|When best friends serenade Birthday @selenagomez taylorswift @gigihadid Ps Taylor https instagram com p -SJY0xv38a|1K|1.7K
10:25 AM - 18 Nov 2015|This going like 14 hours pic twitter com X5mOOwGlbv|1|0
11:01 AM - 16 Nov 2015|Hi sorry - getting literally every uber|6.3K|11K
10:28 AM - 16 Nov 2015|Well awkward @Independent pic twitter com 5FVmw6EfLn|658|537
9:22 AM - 16 Nov 2015|On fearing fear Paris attacks http nyti ms 1STQvwu via @nytopinion pic twitter com C5biz6AQkY|817|777
11:31 AM - 15 Nov 2015|The 10 romantic lyrics @OneDirection's new album #MadeInTheAM http blbrd cm W0vnYF|404|586
