2:30 PM - 10 Dec 2015|We finally @GavinFree LP Octodad Part 3 The Re-Dadding #ItsReal #ComingSoon|122|1.2K
9:11 PM - 8 Dec 2015|hope 2016 great year someone isn't 1d going break whole year https vine co v Ox9dA2blVW0|2.5K|2.1K
5:26 PM - 6 Dec 2015|PEOPLE ARE TALKING ABOUT ME ON FACEBOOK BECAUSE OF MY BEDROOM WINDOW SNEJSNS pic twitter com CtiJsIErZ0|266|334
6:46 PM - 10 Dec 2015|heart mind soul full seams love H one open you'd instantly overwhelmed pure genuine love|22|22
8:12 AM - 10 Dec 2015|reason usually don't tell people love one direction it's uncool don't understand|561|402
7:24 AM - 10 Dec 2015|At BBC Music Awards Thanks us lovely spread you've put|91K|150K
3:38 AM - 10 Dec 2015|Well Gigi's mum get line behind neither I pic twitter com MFNKwo9CsV|35|12
5:56 AM - 7 Dec 2015|one direction 4 successful tours 5 successful albums millions fans nominated grammy meghan trainor pic twitter com fl6J2ZvzSX|1.3K|688
2:52 AM - 10 Dec 2015|5 years gone still getting called Louis places I'll take compliment @Louis_Tomlinson see work fucker|140K|190K
3:25 AM - 10 Dec 2015|Hey angel|150K|200K
12:15 PM - 1 Dec 2015|I want win @1DInsideReport 's giveaway RT PLS THANKS save acc #WeAreMadeInTheAM #MTVStars One Direction pic twitter com FcwXTltL5m|2.7K|466
12:51 PM - 9 Dec 2015|beach boys concert 11 pic twitter com dWpZw7o1VN|3.4K|12K
7:06 AM - 9 Dec 2015|IM SCREAMING THIS IS HILARIOUS pic twitter com CU6buk9XjA|4.1K|2.8K
8:26 AM - 7 Dec 2015|told boy found new band showed song like better 1d shit showed feeling 1d|5.5K|4.5K
2:04 PM - 21 Nov 2015|justin bieber stans insult mitam justins hit single repeating u mean 483838x|1|0
4:59 AM - 16 Nov 2015|I want win gem's @anestheticzjm MITAM album giveaway saved accs #MTVStars One Direction|4K|1.1K
4:53 PM - 8 Dec 2015|Trump says he's bothered comparisons Hitler Not Bothered When He's Compared To Adolf Hitler https www washingtonpost com news post-politics wp 2015 12 08 donald-trump-says-he-is-not-bothered-by-comparisons-to-hitler|4.6K|3.6K
7:21 PM - 8 Dec 2015|Remember Liam went VSFS girlfriend sat next nialls ex girlfriend watched harrys ex girlfriend sing ex dance|855|925
10:19 AM - 3 Dec 2015|When think you're fighting ISIS become ISIS pic twitter com JMIfCopMuU|7.5K|4.6K
7:07 PM - 7 Dec 2015|hey muslims dont trip tryna kick black folk country like 400 years still bitch lit|33K|38K
8:10 PM - 7 Dec 2015|donald trump subtweet https twitter com realdonaldtrump status 595406508378173440|15K|13K
1:47 AM - 8 Dec 2015|The boys People magazine pic twitter com aSY6XcWHNS|434|732
3:59 AM - 8 Dec 2015|How horrible Voldemort nowhere near bad https twitter com BBCNewsbeat status 674170911344455680|220K|200K
4:55 PM - 7 Dec 2015|louis' voice rt u agree|310|83
2:38 PM - 7 Dec 2015|So would Trump TSA ask incoming travelers Are Muslim would bar people look Muslimy What white Muslims|587|552
8:11 AM - 7 Dec 2015|fuck meghan trainor nominated Grammy song singling body types saying one wants u ur skinny|26|41
