8:36 AM - 11 Dec 2015|house gold twenty one pilots pic twitter com FPfsmWWa7Y|326|481
5:25 PM - 11 Dec 2015|m want sing mary poopins spoonsful sugar make two|936|1.9K
6:09 PM - 11 Dec 2015|find blacked tf local skechers store|682|787
7:20 AM - 11 Dec 2015|Could enlightened thinkers turn attention away garbage disposal http onion com 1NKosPN pic twitter com lIYMOArYkl|334|618
8:01 AM - 11 Dec 2015|My Ass My Ass ass also My Ass|275|567
9:47 AM - 11 Dec 2015|Scientists Rich People Poor People May Have Shared Common Ancestor http onion com 1NSDA9k pic twitter com IaOWSiZ8vk|878|1.3K
5:34 AM - 11 Dec 2015|playing game monopoly 2015 edition 8 weeks we're going around board nobody afford anything|298|659
9:20 PM - 10 Dec 2015|@bettertwin1 sounds like uve around wrong men|1|1
4:12 PM - 10 Dec 2015|I ATE PIZZA IN A BUBBLEBATH TWICE TODAY|21|34
5:42 PM - 10 Dec 2015|YOU GET TO AN AGE WHEN ALL OF YOUR OLD TEACHERS ARE DEAD AND YOU THINK TO YOURSELF GOOD|12|31
1:57 PM - 10 Dec 2015|Some food Pinterest looks really artsy good like actually eat|1|4
12:15 PM - 10 Dec 2015|This Weekend Toledo OH - Dec 11 Realm http www bandsintown com event 10949033 artist Cross My Heart came_from 117|1|0
10:00 AM - 10 Dec 2015|Nation Oppressed Christians Huddle Underground To Light Single Shriveled Christmas Shrub http onion com 1NPxYMZ pic twitter com sK3U8moGHv|1.2K|1.6K
7:17 PM - 9 Dec 2015|Ten minutes Duolingo chill gives look pic twitter com 27oQ3Oz1Hl|1|4
1:59 PM - 9 Dec 2015|Glad introduced polls tired knowing people twitter thought stuff|369|942
10:10 AM - 9 Dec 2015|Angela Merkel becomes 4th woman since 1927 named Person Year #TIMEPOY http ti 1REYQ8w pic twitter com OyqkUdA4AB|854|563
3:22 PM - 8 Dec 2015|#Teens Does #vegetarian cause #gay #ViceVersa|1.3K|1.5K
3:11 PM - 8 Dec 2015|bird advice fact day penguin bird type sea gerbil|2.6K|3.8K
1:28 PM - 8 Dec 2015|I livid Kardashian Jenner gets TIME's Person Year|2|14
2:09 PM - 8 Dec 2015|Why 'Reverse Racism' isn't thing- https m youtube com watch v -w0LFYhedo0|363|601
12:35 PM - 8 Dec 2015|Probably biggest letdown life I learned political parties weren't ragers w disco balls stuff|3|12
4:01 AM - 8 Dec 2015|Over 1 100 000 people killed guns USA since @JohnLennon shot killed Dec 8 1980 #StopGunViolence pic twitter com OldpJESlYx|8.7K|5.7K
7:22 PM - 7 Dec 2015|I know I hear hotline bling ling ring ting tingling|3|11
7:01 PM - 7 Dec 2015|omg condom fails pic twitter com jfMPCyeNG8|157|321
5:27 PM - 6 Dec 2015|UNLIKE JEB COWARD BUSH I WOULD EAT BABY HITLER BONES AND ALL|34|69
9:42 AM - 4 Dec 2015|I WILL BUILD A MASSIVE FLOOR OF BEAUTIFUL MARBLE TILING TO KEEP THE MOLEMEN FROM BURROWING TO OUR SURFACE AND THAT'S A PROMISE|287|365
3:02 PM - 7 Dec 2015|I thought Trump running president joke he's front runner im terrified|3|15
2:53 PM - 7 Dec 2015|dude holy shit weed looks like potato wait I think potato dude potato damn|425|895
