6:43 PM - 8 Dec 2015|The effective way handle problems pic twitter com B3NakddjwQ|1.5K|3.3K
4:55 PM - 8 Dec 2015|Why crowd people saying you're great - notice one says you're Haha heart complicated|1.8K|4.4K
9:35 PM - 5 Dec 2015|Me using period one word one sentence response ultimate I'm annoyed|12|27
6:05 PM - 27 Nov 2015|things everyone know pic twitter com pVTg81LfLZ|49|73
2:20 AM - 28 Nov 2015|600 year old Astronomical clock Prague pic twitter com Kao3bkny4H|2.7K|4.9K
4:31 AM - 5 Dec 2015|The NRA lobbying allow terror watch list members buy guns like pedophiles lobbying permission live elementary school|22|66
3:41 PM - 4 Dec 2015|remix dreidel dreidel dreidel would lit like menorah|5|10
4:45 PM - 4 Dec 2015|Life many ways testing person's pic twitter com qfnrCVYzJB|127|224
1:23 AM - 30 Nov 2015|Easy A pic twitter com wCdtZMjt0M|613|1.2K
2:14 PM - 3 Dec 2015|head ache never ends called life|3|7
7:31 PM - 2 Dec 2015|call crazy shit least called|363|489
9:59 PM - 29 Nov 2015|Read stream @bryngreenwood it's utterly jaw-dropping https twitter com bryngreenwood status 671167694473994240|134|66
11:48 AM - 27 Nov 2015|If think I'm short see patience|1.5K|1.1K
1:10 AM - 1 Dec 2015|Spell pic twitter com efn9qV6oXi|2.4K|3K
2:22 PM - 29 Nov 2015|Down Peru loving life Just sending love everybody pic twitter com mxoKAdpWtJ|2.4K|14K
3:30 PM - 27 Nov 2015|It scares everyone much #Leo's care|408|597
8:32 AM - 29 Nov 2015|Call want|2|1
10:10 AM - 27 Nov 2015|Imagine If pic twitter com W5nBIkC0uz|853|1.1K
7:14 AM - 25 Nov 2015|My bank account isn't ready December|2.4K|1.6K
5:22 AM - 26 Nov 2015|passive aggressive mom dramatically putting away dishes denying help|1.6K|5K
8:53 AM - 25 Nov 2015|Ever want tell someone stfu even they're talking|1|2
8:54 AM - 25 Nov 2015|Unless someone like pic twitter com WX1GjLDXQU|1.7K|2.3K
1:02 PM - 23 Nov 2015|MondayMotivation pic twitter com IRykuy0t2q|308|362
12:09 PM - 21 Nov 2015|2015 weird ass year like hella shit happened changed within one year like damn|1.4K|3.1K
3:13 PM - 20 Nov 2015|Greenland pic twitter com whbCjTQWdD|209|489
9:30 AM - 20 Nov 2015|Hmmmmmmmmohmygaaaahd graduation's like six months|5|2
3:53 PM - 19 Nov 2015|worst part nightmares feel physically struggling exclude nightmare|10|23
1:15 PM - 17 Nov 2015|Lipstick - http bit ly 1l3IZDJ pic twitter com L3KE9j691D|277|547
8:05 AM - 17 Nov 2015|Now THATS advent calendar pic twitter com K9x5Y4NJFX|272|431
4:44 PM - 16 Nov 2015|Let's dead shit talk The schools aren't different pic twitter com h6HI57UHjg|29|51
9:21 PM - 16 Nov 2015|Michael Jackson At Age 13 1972 pic twitter com 3xA6OxroK0|612|1.4K
4:15 PM - 16 Nov 2015|Neversink Cave Alabama pic twitter com mr7hX6kECm|3.3K|4.2K
9:18 PM - 15 Nov 2015|current mood pic twitter com bkpNSYwKki|6.2K|8.7K
9:01 PM - 15 Nov 2015|someone come clean room grades life|6|8
7:37 PM - 15 Nov 2015|Adel Tormos The name remembered pic twitter com mZC8Xr3dB4|6.8K|9.5K
8:30 PM - 15 Nov 2015|How True pic twitter com hKUCFyfyGH|1.9K|3.1K
5:02 PM - 15 Nov 2015|world love pic twitter com L5Jg8qDcJc|4.3K|11K
7:45 AM - 15 Nov 2015|trying absorb knowledge semester like pic twitter com Ai11hmNlU9|1.7K|2.4K
11:12 PM - 14 Nov 2015|I hope next world caring cuz failing|1|1
12:23 PM - 14 Nov 2015|I don't know wrote I couldn't agree pic twitter com Bmh3yyZlVt|22|39
