5:53 AM - 11 Dec 2015|I called Trump's donors find thought ban-Muslims proposal I got much http www thedailybeast com articles 2015 12 11 donald-trump-s-donors-asked-me-if-i-was-muslim html|104|114
8:37 AM - 9 Dec 2015|Forget 2M easily interesting part whole deal Wu-Tang Martin Shkreli pic twitter com 5nSshXhjnJ|9K|7.3K
10:40 PM - 8 Dec 2015|Wilderness lost great ally Chao #Tompkins y gracias North Face Founder Dies Kayaking Accident http nyti ms 1YXmMpV|1|0
11:01 PM - 8 Dec 2015|Mr Trump statement Paris basis fact http www nytimes com 2015 12 09 us politics donald-trump-muslims html hp action click pgtype Homepage clickSource story-heading module first-column-region region top-news WT nav top-news _r 0 pic twitter com Nc89LDocNx|10|7
12:06 PM - 5 Dec 2015|takes glasses pic twitter com q7mYl3HkSH|472|572
10:13 PM - 8 Dec 2015|I'm late game SNL alien abduction sketch tears confirmed love #KateMcKinnon https www youtube com watch v PfPdYYsEfAE|6|11
10:38 AM - 8 Dec 2015|Basically Twitter extremely well-capitalized One Direction fan site http www buzzfeed com krystieyandoli here-are-the-most-popular-tweets-from-2015|15|12
9:35 AM - 8 Dec 2015|NOBODY WANTS @twitter TO BE FACEBOOK FACEBOOK IS ALREADY FACEBOOK HOW HAVE YOU NOT FIGURED THIS OUT|24|41
7:50 AM - 8 Dec 2015|I hate Illinois Nazis https twitter com wvjoe911 status 674253402696740864|56|40
12:42 PM - 2 Dec 2015|Please stop asking us help We clearly can't shit Sincerely Thoughts Prayers|6.5K|9.2K
12:28 PM - 2 Dec 2015|Congress doesn't care tweets care votes money Tell yr rep they'll get neither til guns gone http www house gov representatives find #listrep|36|24
3:20 PM - 1 Dec 2015|Spain's national team vs @starwars BB-8 droid http es pn 1NGgSHA pic twitter com lwrhMgzmAo|54|98
12:21 PM - 29 Nov 2015|You sleep Twitter take shower Instagram raise child Facebook http ow ly VeCgk|1|0
12:23 PM - 29 Nov 2015|Two insights 1 worse past 2 worse mainly bc IRA ETA via @paul1kirby pic twitter com A4U4ukTHph|229|107
11:45 AM - 26 Nov 2015|Poverty literacy Here 26 charts maps thankful http bit ly 1FsJSsO pic twitter com 0bUE1acblL|108|99
8:00 AM - 25 Nov 2015|You re better giving small things time deserve Marcus Aurelius|58|99
9:47 AM - 24 Nov 2015|How give thanks like Marcus Aurelius http austinkleon com 2015 11 24 giving-thanks pic twitter com p0WTmTAgXh|11|25
9:25 AM - 24 Nov 2015|This might favorite Trump story far http mobile nytimes com 2015 11 25 us politics in-renovation-of-golf-club-donald-trump-also-dressed-up-history html _r 0|2|0
9:35 AM - 24 Nov 2015|Hint avoid Spirit Airlines basically like one wagons Oregon Trail Mabel gets dysentery http 53eig ht 1Nqm9Dd|375|439
