6:00 AM - 4 Dec 2015|u wanna stay ur girl u accept fact days she's going attitude bc eyeliner didn't come right|638|1.1K
10:00 AM - 11 Dec 2015|We've got #FridayFeeling pic twitter com aMifEwh30l|84|140
10:17 PM - 10 Dec 2015|Fuck I'm tired|1|0
6:24 PM - 10 Dec 2015|Bitches trippin|2|2
1:41 PM - 9 Dec 2015|studies show opinions irrelevant|319|258
12:10 PM - 8 Dec 2015|Accurate pic twitter com VXy60VOyHD|304|785
3:15 PM - 7 Dec 2015|The perfect song tonight River @LeonBridges http bit ly 1N7I7rc #LNSM pic twitter com thhZznFdCk|32|145
7:58 AM - 7 Dec 2015|There's plenty fish sea But I want one|447|307
5:53 PM - 6 Dec 2015|say nothing ever changes new lines faces|762|1.6K
10:10 AM - 6 Dec 2015|Do NOT miss @LeonBridges #SNL Smooth Sailin' http bit ly 1HORi0Y River http bit ly 1lGFtPR pic twitter com RqwpeScpMY|37|143
8:13 PM - 5 Dec 2015|JUST IN USC falls short loses Stanford 41-22 Pac-12 Championship http 4 nbcla com Zz3oW63 pic twitter com YK3707mCm5|17|19
9:14 PM - 4 Dec 2015|Don't look hard joy Let come|44|171
9:33 AM - 3 Dec 2015|Relationships marriage isn't 50-50 divorce 50-50 Commitment 100-100 you're dividing anything you're giving|479|328
2:59 AM - 3 Dec 2015|give boner penis boner boner heart heart affection erection|1|0
11:10 PM - 18 Nov 2015|Justin Bieber need stop dropping bangin' tracks I'm fucking belieber|5.5K|7.7K
2:22 PM - 1 Dec 2015|You turn life around saying something kind someone|86|217
5:14 PM - 30 Nov 2015|If something really love celebrate|55|147
8:49 PM - 29 Nov 2015|Back reality tomorrow|3|1
6:56 PM - 29 Nov 2015|I wanna cuddle boyfriend rn|663|591
1:48 PM - 29 Nov 2015|Once I'm I'm I'll stay loyal committed|707|485
5:14 AM - 22 Nov 2015|either change attitude leave pic twitter com 5gy4wpc7Zy|7.4K|6.7K
1:30 PM - 16 Nov 2015|Documentary Heaven website lets watch thousands documentaries free|238|929
2:53 PM - 25 Nov 2015|You two official till two talk official Do assume Assuming gets hurt|833|1K
4:56 PM - 23 Nov 2015|Im fucking screaming pic twitter com CtwkRcxdkL|5.4K|5.3K
8:08 AM - 24 Nov 2015|guysssss I'm gonna view today https twitter com theview status 669154003746357251|255|1K
4:00 PM - 21 Nov 2015|Yea hard pic twitter com 86lBx1Hpfe|78|165
8:22 AM - 20 Nov 2015|Just remember hitler made Jewish people wear stars decide vote https twitter com _jennamasoud status 667549441755373569|13|6
2:54 AM - 19 Nov 2015|One hardest things life making makeup one eye look exactly like makeup eye|3|4
6:03 AM - 19 Nov 2015|When first met I idea you'd become important|2|4
4:29 PM - 17 Nov 2015|Playoffs If make Playoffs I give everyone RTs 5 https twitter com utgehlken status 666773773371187201|1K|204
10:39 AM - 17 Nov 2015|Honored musical guest @nbcsnl 12 5 Tune @RyanGosling hosts http bit ly 1Yfd95o pic twitter com 5p3Xa4DNlP|262|620
