12:13 PM - 11 Dec 2015|The New Mexico Chapter wrote letter New Mexico Game Commission New Mexico Department Game http fb 7B8Wwwryf|3|1
1:48 PM - 6 Dec 2015|The champ home #HolmComing pic twitter com It01b7fiXj|1K|1.8K
11:55 AM - 3 Dec 2015|RT BREAKING Obama guarantees military working dogs retirement US http ht ly Vok5m utm_source dlvr utm_medium twitter pic twitter com JpsBYWcQkH|86|99
2:00 PM - 2 Dec 2015|Tremendous postdoc opportunity study hemoglobin evolution w Dr Jay Storz Apply Dec 10 Pls RT http life mcmaster ca brian evoldir PostDocs UNebraska MolecularEvolution|12|0
7:01 AM - 26 Nov 2015|Kumail Nanjiani told Seth #MacysParade best worst introduction America #LNSM pic twitter com 8xW8Un77RT|1.1K|2.3K
7:45 PM - 24 Nov 2015|It takes long time say anything Academish And never say anything unless worth taking long time say #LOTRyourResearch|161|182
2:05 PM - 23 Nov 2015|Check paper Peru O piurae Dept Lima @UNMornithology https twitter com unmornithology status 668908489029251073|1|1
7:11 AM - 18 Nov 2015|Relevant fields research Collections-based research genomic era http onlinelibrary wiley com doi 10 1111 bij 12721 abstract campaign wolearlyview|10|4
6:02 AM - 16 Nov 2015|Move @RealGrumpyCat - Grumpy Bat #bats #IHateMonday pic twitter com Yw5KJK8aVO|15|16
6:06 AM - 15 Nov 2015|Huge day New Mexico sports history Holm beats Ronda NM beats Boise St Cover @ABQJournal H T @LouisTABQ pic twitter com tbXY66Dkha|199|285
9:57 PM - 14 Nov 2015|Hey world today's @ABQJournal new UFC champion @_HOLLYHOLM #UFC193 http www abqjournal com 675798 news spotlight-shines-on-holm-city html pic twitter com s8JHQjmL89|45|70
