3:01 PM - 10 Dec 2015|Go Get Yours https twitter com carriehudson status 675086565803167744|1|0
1:51 PM - 9 Dec 2015|I saw mommy swipe right Santa Clause #UpdatedXmasCarols|72|352
1:54 PM - 9 Dec 2015|You're great think Do better #selfawareness|5|19
9:57 AM - 9 Dec 2015|Confirmed @blink182 release new album 2016 http www altpress com news entry confirmed_blink_182_will_release_a_new_album_in_2016 pic twitter com fP0PWV6xRF|1.4K|1.6K
6:38 AM - 8 Dec 2015|The VICE Morning Bulletin Everything need know world right http bit ly 1XYUskq pic twitter com IRiG3Ek6h8|41|78
7:52 AM - 3 Dec 2015|Everytime gun control debate flares U S daily I think Kinder Eggs banned safety reasons|3.4K|2.8K
3:25 PM - 5 Dec 2015|Can't believe didn't call new Netflix Bill Murray Christmas special Netflix Bill|52|156
10:19 PM - 3 Dec 2015|I really kind hate age musical idols adolescence begun dying|5|5
9:56 AM - 3 Dec 2015|I really like Officer Burguan #SanBernadino PD He eloquent job speaking horrific situation|8|12
4:55 PM - 2 Dec 2015|This dark time We need come together spread love allow loved|1|1
4:15 PM - 1 Dec 2015|Wow must admit I'm pretty shocked announcement Mark Zuckerburg today http www elephantjournal com 2015 12 the-zuckerburgs-remarkable-gesture-to-their-newborn-daughter-and-the-world|4|8
8:43 AM - 30 Nov 2015|This happens mix @blink182 @Drake http www altpress com news entry this_is_what_happens_when_you_mix_blink_182_and_drake pic twitter com iWVfIfkPk8|215|494
7:26 PM - 29 Nov 2015|Whatever forever|2|4
10:22 PM - 26 Nov 2015|Black holes aren't empty holes They're massive amount matter packed tiny area #BlackHoleFriday pic twitter com LBn6rniga2|4.8K|7.8K
7:55 AM - 26 Nov 2015|Starting think I'll never The Rockettes|1|0
6:37 AM - 26 Nov 2015|Facebook I ran 5K morning Instagram Check 9 pies I baked Twitter Do I seriously put pants|1.3K|2.5K
2:06 PM - 22 Nov 2015|spice sex life whisper grocery list ear|122|219
6:45 AM - 23 Nov 2015|The VICE Morning Bulletin Everything need know world right http bit ly 1MxF2jO pic twitter com khlmvAkFU7|55|72
2:30 PM - 22 Nov 2015|What want create start creating Even dream enormous audacity fight heroic perseverance|32|54
3:55 PM - 17 Nov 2015|It's shut https twitter com HuffingtonPost status 666765534269202433|29K|31K
7:00 AM - 18 Nov 2015|You're timeless Mickey Happy Birthday pic twitter com hLgVHgAVFG|1.1K|1.5K
5:33 AM - 15 Nov 2015|Wife First Cookie Crisp cereal Now Reese's Peanut Butter Cup cereal What's next Me patiently waits Vodka-O's|199|608
