7:18 PM - 7 Dec 2015|This @WhiteHouse's gingerbread house It's 500 pounds http mash 1NG2gSy pic twitter com yeOEhsC9ri|67|92
5:38 PM - 4 Dec 2015|That holiday light show tho pic twitter com iilOgooIiy|7|12
5:50 PM - 4 Dec 2015|What emoji want tombstone|50|117
7:21 PM - 4 Dec 2015|Can retire 'slay' expression I'm pretty sure Kylie Jenner's skirt isn't killing anybody violent way|23|90
10:19 AM - 3 Dec 2015|Today come together present XRings 930 incredible university students #StFX President Dr Kent MacDonald says|3|2
9:22 AM - 2 Dec 2015|Friendship forever complicated #Girls returns February 21 @HBO https amp twimg com v 6a6c4d9f-dd0a-40b1-9450-cb2cf7d39b6c|427|552
5:30 AM - 30 Nov 2015|We're getting ready #GiftofGiving Would like take part year Wed Dec 9 @nspowerinc send us DM info register|5|2
5:10 AM - 30 Nov 2015|Alderney Gate public clock undergoing long overdue upgrades thanks Doctor Clock http www thecoast ca RealityBites archives 2015 11 26 doctor-who-meet-the-saviour-of-hrms-clocks pic twitter com LNZJ7ofnBT|3|3
1:56 PM - 29 Nov 2015|Kim Kardashian still swears North West shared bikini photo http huff 1XBxW0V pic twitter com Q6m17UKwMS|24|53
1:51 PM - 29 Nov 2015|It's wonderful time year-for #ChristmasTree made shiny red bicycles @DowntownHalifax @halifolks pic twitter com nZht5Zlm2h|50|87
9:44 AM - 29 Nov 2015|uber hugs|43|106
8:02 AM - 29 Nov 2015|@MHCC_ moves 4 #Movember Sharing Sunday - Bond w family friends pets today's move nature walk #MHCC_m4m pic twitter com baoxQMPzPI|3|2
8:17 AM - 28 Nov 2015|Trying figure weekend Look @squigglepark @DT_Dartmouth @inkwellboutique https haligonianherb wordpress com 2015 11 20 your-ultimate-guide-to-halifax-holiday-markets|3|1
11:51 AM - 25 Nov 2015|I love @inkwellboutique - tax free Saturday Go Saturday every day amazing store|3|7
11:44 AM - 23 Nov 2015|@ciaramyo_ @Seagrove59 I tell already He's good man|1|4
9:36 PM - 22 Nov 2015|Ugghhhh everything|970|1.3K
1:19 AM - 22 Nov 2015|Adele loves #Craic #Brilliant https m youtube com watch v DjpQXdpB8bc|1|1
9:18 AM - 19 Nov 2015|Mayor Savage When close street cars open people #hccmayor Need find ways say yes pic twitter com 15SAFNfwHl|24|17
7:08 AM - 19 Nov 2015|It's Tree Decorating Day @HalifaxWTCC #FOT2015 The magic begins tomorrow #Halifax pic twitter com gUbYtvbAeC|2|4
5:42 AM - 19 Nov 2015|Happy Women's Entrepreneurship Day Take pledge support women owned businesses causes http womenseday org #WomenWOW|2|0
