8:01 PM - 10 Dec 2015|Zendaya #DiamondBall pic twitter com iQ3yC2pzQg|826|1.4K
8:45 AM - 9 Dec 2015|decent day|1.8K|2.3K
11:00 AM - 8 Dec 2015|Congrats homie @kendricklamar taking #TheGrammys pic twitter com M2vYq3WXco|1.2K|1.9K
1:04 PM - 6 Dec 2015|associating songs people life best worst thing ever|7|25
12:06 AM - 6 Dec 2015|Family picture pic twitter com uH7YqiT254|2|2
8:26 AM - 5 Dec 2015|It may end beginning #TheLastANTMWinner #DeafWinner #ANTM #DeafTalent pic twitter com FnYwxzdUO8|1.2K|3K
3:45 PM - 21 Nov 2015|SNOWED WEATER began dog worry still pet pic twitter com IXYj5PTKyv|1.8K|2.6K
4:28 PM - 4 Dec 2015|I relate Chandler much pic twitter com Nmi9iySvop|3|7
8:14 PM - 18 Nov 2015|tears streaming face https vine co v eL31pjvW3pT|5.8K|6.8K
8:39 PM - 1 Dec 2015|ever meet people know phone carrier Sprint|1|46
7:25 PM - 28 Nov 2015|Do board brew employees even know much impact they've made life|3|19
2:21 PM - 29 Nov 2015|Jane Birkin Serge Gainsbourg pic twitter com dDxAaAztmj|419|666
2:47 PM - 29 Nov 2015|How's college going pic twitter com nX3T4JYf7F|13|57
8:33 PM - 26 Nov 2015|thankful mark ruffalo much else|2|5
6:15 PM - 24 Nov 2015|I would consider person color however would consider person likes color|1.2K|2.7K
2:37 AM - 22 Nov 2015|I solely go college parties people watch|1|13
9:14 PM - 18 Nov 2015|twigs rob pic twitter com V5I2doyG1J|2.3K|3.3K
5:48 PM - 16 Nov 2015|Bring back vine 2015|2|2
2:52 PM - 16 Nov 2015|Netflix released new John Mulaney comedy special This important|3|5
11:08 PM - 16 Nov 2015|everyone look photo dog right pic twitter com UEMoqeUIBM|1|16
