8:47 AM - 10 Dec 2015|@csydelko I copy pic twitter com Uq14HxzLWM|21|248
8:11 AM - 10 Dec 2015|First Lady I'm still da man Bitches sons need Parent Plan I'm first world ballin AfghaniSTAN pic twitter com GCx78zMkjr|178|396
1:05 PM - 9 Dec 2015|happy three year anniversary tiny angel coming lives changing world forever pic twitter com eL7tWSo0fJ|3K|4.4K
6:22 PM - 7 Dec 2015|When hear pray first time see loves God knows bible pic twitter com jVK7UCyKfE|88|323
6:35 PM - 8 Dec 2015|@WahlidM I'm sorry pic twitter com 1lR3lVKEUF|265|1.5K
7:55 PM - 6 Dec 2015|wonder christine sydelko isnt vine certifed #MTVStars Lana Del Rey pic twitter com rwLMNaMxSs|44|194
11:00 PM - 6 Dec 2015|Life good https vine co v iWVxpI0v507|581|1.2K
7:17 PM - 6 Dec 2015|I DECLARE BANKRUPTCY|979|1.6K
3:23 PM - 6 Dec 2015|Hey it's us pic twitter com kKvf69tFXF|859|6.1K
10:58 AM - 6 Dec 2015|condom fails pic twitter com LBG29D6fGP|690|1.5K
7:35 PM - 22 Nov 2015|What fucking narcissist pic twitter com xWJfMlucYj|18K|33K
10:22 AM - 5 Dec 2015|friends cooliest @uhhmmily spotlight Vine im proud - go look shes brilliant pic twitter com H34m14eUxu|2|105
8:00 PM - 4 Dec 2015|This favorite thing I've ever read Ted Cruz's former roommate pic twitter com mbfzk58cA1|203|581
4:35 AM - 1 Dec 2015|wake yo butt gotta go chase dreams don't wait achieve believe|558|2.4K
7:59 AM - 3 Dec 2015|On December 18 #YouCanSeeThemBoth https amp twimg com v 61b95032-6377-4a4f-8812-150e2c629e8e|2.8K|8.2K
10:02 PM - 2 Dec 2015|tells christine zack school rock getting arrested hard drugs wow you're hardcore unless live hardcore|117|358
8:33 PM - 1 Dec 2015|@csydelko tbt met aka iconic day fucking life pic twitter com hmjnKVDJyH|2|92
8:26 PM - 28 Nov 2015|Hey Arnold theme song many problems bruh pic twitter com U7uQYR8MAk|41K|43K
11:43 AM - 1 Dec 2015|NO MORE SOCIAL EXPERIMENTS STOP THAT'S NOT AN EXPERIMENT U ARE NOT A SCIENTIST U ARE A PERSON WITH A CAMERA AND A SUPERIORITY COMPLEX|140|363
11:08 AM - 1 Dec 2015|Did Nash steal poncho Aunt Nancy's closet pic twitter com NGIQAmRO9S|85|387
6:24 PM - 30 Nov 2015|It's almost Chrisman @csydelko pic twitter com 50RQJcKKIm|54|336
3:43 PM - 30 Nov 2015|YouTube Petition YouTube deactivate Sam Pepper's channel - Sign Petition https www change org p youtube-petition-to-youtube-to-deactivate-sam-pepper-s-channel recruiter 43359306 utm_source share_petition utm_medium twitter utm_campaign share_twitter_responsive|158|143
3:27 PM - 30 Nov 2015|views apparently https twitter com sampepper status 663145059466936322|501|707
6:17 PM - 25 Nov 2015|When take two samples Costco instead one pic twitter com rPMMNxz5x1|540|1.1K
8:40 AM - 30 Nov 2015|When @EW asked #TheMindyProject writers fill form Enjoy pic twitter com 6JxRqWBI6Z|344|2.1K
8:08 PM - 29 Nov 2015|anti-feminism fedora squad tryna blow mentions side reddit u guys what's ur fav mtn dew flavor|90|414
6:17 PM - 29 Nov 2015|THE INTERNET SUCKS EVERYONE SUCKS I HATE|41|101
4:33 PM - 29 Nov 2015|@goldfishbabe101 TWINS pic twitter com lKaX885DPW|1|40
4:13 PM - 29 Nov 2015|Alright piss boy pic twitter com mkuDmL22rF|4|147
2:09 PM - 29 Nov 2015|Where come pic twitter com Y6xuiT7tOo|6.9K|12K
12:52 PM - 29 Nov 2015|So there's new Lady Gaga wax figure Russia it's really really ugly pic twitter com FOJBVz1BhM|666|1.2K
12:09 PM - 29 Nov 2015|Not blatantly wrong fact many liking RTing frightening pic twitter com cRmf7fZcY6|1.6K|1.8K
7:11 AM - 20 Nov 2015|Thanks @thejoelstein sweet piece @TIME daughters I Lorne Michaels #SistersMovie pic twitter com oXwizF7RzV|138|719
9:37 AM - 29 Nov 2015|sick joke pic twitter com T48YgnXMut|322|1.5K
8:20 PM - 28 Nov 2015|whitest names ever seen life pic twitter com RHZnLaMp0y|250|584
7:36 AM - 27 Nov 2015|Damn fat ass thought philly cheese steak https twitter com 420gifss status 668629897099780097|21K|19K
9:50 AM - 24 Nov 2015|signs vines aquarius - https vine co v O0WYnTwXjIi|844|1.5K
5:45 PM - 28 Nov 2015|Time tweet generic attention seeking tweets gain retweets Hey you're cute|43|198
4:15 PM - 28 Nov 2015|@csydelko Congrats Christine We're happy you're part #BeesClub ARA|5|102
1:37 PM - 28 Nov 2015|I'm glad realize person idolize make fan account isn't seem Life inside screen twisted|49|202
1:21 PM - 28 Nov 2015|@amyschumer dad dream I love clique Happy Thanksgiving Amy|25|771
10:10 AM - 28 Nov 2015|Gary Rojas exposed everybody omg haha|34|146
10:12 PM - 27 Nov 2015|fancy bar leftover mashed potatoes put sandwich baggie exploded pocket playing cool maybe cool|312|866
4:52 PM - 27 Nov 2015|SHES SO EXTRA pic twitter com R7TREaBgQR|1.5K|4K
8:12 PM - 18 Nov 2015|Me middle schoolers hang Starbucks start acting brave pic twitter com xppNDzP3fF|220|512
8:55 AM - 27 Nov 2015|beef quote tweets pic twitter com lAkfRseQpY|17K|16K
