7:19 PM - 8 Dec 2015|looks selfies pic twitter com K1hCi5Cf0H|378|748
8:00 PM - 8 Dec 2015|I'M SCREAMING pic twitter com vsu26LMHdF|815|1.2K
1:51 PM - 10 Dec 2015|ICYMI Troye Sivan Performed On Jimmy Fallon And It Was Perfect http www buzzfeed com mikeynicholson slayyyy-troye-slayyy# xqEme09jE|22|62
9:05 AM - 10 Dec 2015|Up Troye's Vevo channel live performance Wild show Berlin https youtu WNvz3Hf8ygs pic twitter com VuC3E44v6l|18|62
4:39 PM - 4 Dec 2015|Christina Aguilera would never pic twitter com JIrGsgidUQ|1.2K|1.7K
12:12 PM - 8 Dec 2015|#TrumpIsDisqualifiedParty best Twitter party 2015 http www thefader com 2015 12 08 trump-is-disqualified-party-twitter-arrivals pic twitter com UaDjQCa1aA|2K|2.7K
5:41 PM - 7 Dec 2015|Just finished final rehearsal @FallonTonight see tomorrow @jimmyfallon|5.6K|19K
9:30 AM - 7 Dec 2015|If music doesn't work there's always mac cheese right @troyesivan http vevo ly rVYo6F #VevoLIFT https amp twimg com v 76e8e3df-14df-466c-99a9-2b58e0b6afe0|3.3K|8.6K
5:15 PM - 5 Dec 2015|Day brightener Wheel Musical Impressions Christina Aguilera @xtina https youtu uD2nOjV3AaI list PLykzf464sU9-uj2DvWN3k3S6k_EPDw9pN pic twitter com oaeiAiJSGz|162|564
4:56 PM - 4 Dec 2015|one fave songs album BLUE ft @alexhopemusic - https open spotify com track 3f2E92R7okBOD71SBLIkNl click plaaay #BlueNeighbourhood https amp twimg com v 0b5290ae-48b5-48e7-8c5d-8794764aea9e|5K|12K
12:15 PM - 5 Dec 2015|This happens tell someone they're beautiful http huff 1XJXrTd pic twitter com qyU4CUi3Hm|22|20
12:05 PM - 4 Dec 2015|im proud boy first song last @troyesivan's album TRUE masterpiece MUST listen http troye si vanBlueNeighbourhood|12K|25K
3:32 PM - 4 Dec 2015|literally think deleted universe #DRESSEDINDRAMA https twitter com TOOGOODCONNOR status 672921016889417728|2.4K|9K
4:10 PM - 4 Dec 2015|next COOL https open spotify com track 1feo69UHQf345sRb7oFaAZ found moment found melody post chorus ' https amp twimg com v e2ab4990-b4e4-4f08-9f68-e7172d3d84a2|5.4K|13K
5:00 PM - 4 Dec 2015|alex drop album would buy fast #BlueNeighbourhood|50|64
8:37 AM - 14 Nov 2015|wow things really looking education system completely approve new curriculum pic twitter com EQ5U6ngLtv|14K|39K
8:42 PM - 3 Dec 2015|And it's HERE @troyesivan #BlueNeighbourhood I'm excited proud album I worked https www instagram com p -2ywauNMps|302|654
9:00 PM - 18 Nov 2015|Last fifteen days #BlueNeighbourhood Why little track-by-track pic twitter com 5hmCCHvk7N|24|48
2:51 PM - 19 Nov 2015|Kiss mouth set free #BlueNeighbourhood pic twitter com 5uvXQ92lK0|25|70
7:05 PM - 20 Nov 2015|Only fools fall pic twitter com 1LZTX1FtJJ|72|128
5:23 PM - 21 Nov 2015|Tell things make feel ease pic twitter com J4Wux000sW|32|70
8:48 PM - 22 Nov 2015|Anything hurts less quiet #BlueNeighbourhood pic twitter com wpeUosjD71|34|75
6:41 PM - 23 Nov 2015|I don't keep love around anymore #BlueNeighbourhood pic twitter com bGRUv4Iqls|29|69
6:42 AM - 26 Nov 2015|Maybe I don't want heaven #BlueNeighbourhood pic twitter com MOsISjNLO0|57|114
7:10 AM - 25 Nov 2015|I tryna cool #BlueNeighbourhood pic twitter com Jns0WW1KDv|53|109
5:41 PM - 24 Nov 2015|So come talk #BlueNeighbourhood pic twitter com HZ2wxk8yDy|31|58
2:26 AM - 27 Nov 2015|My youth My youth #BlueNeighbourhood pic twitter com MhXU11hwLy|23|70
5:10 AM - 2 Dec 2015|I want Oh color blue Anything takes make stay pic twitter com 8J7J3voAIy|35|79
2:50 AM - 2 Dec 2015|We love seeing @troyesivan #BlueNeighbourhood photos using #MyBlueNeighbourhood Keep coming pic twitter com g2JDpgM9dE|39|94
2:41 PM - 2 Dec 2015|I'm excited everyone hear Heaven #BlueNeighbourhood It's special important song @troyesivan|589|1.3K
6:29 AM - 3 Dec 2015|Has day actually arrived #blueneighbourhood|515|1.3K
8:15 PM - 3 Dec 2015|Congrats @troyesivan release #blueneighbourhood it's masterpiece proud happy|1.8K|5K
4:03 PM - 3 Dec 2015|@IAMQUEENLATIFAH @nbc I'm excited u entire cast WOW #TheWiz|415|1.5K
7:51 PM - 23 Nov 2015|wrecking ball comes https vine co v ePOKPxA6Vtp|258|392
12:44 AM - 27 Nov 2015|I've got say lot arguing Snape years My timeline exploded love fury yet Never change x|4.7K|14K
11:55 AM - 22 Nov 2015|If Fancy Nicki Minaj's song pic twitter com StiwQRjTR8|1.2K|2.4K
12:07 PM - 25 Nov 2015|This dope @chaelinCL @zanelowe @ParrisGoebel http youtu 5L-4ZrOk1Tc https twitter com chaelincl status 669602589424529408|34K|46K
