3:07 PM - 10 Dec 2015|I promo I'm close 100 followers|9|4
10:09 AM - 11 Dec 2015|love dr mmd|1|1
8:29 AM - 11 Dec 2015|nai thinking patrick wilson real dad|1|1
7:42 AM - 11 Dec 2015|@flounderheights fucked thing australia doesnt even exist|1|1
6:07 AM - 11 Dec 2015|You threw Bad Memory away But came back|103|93
4:29 PM - 10 Dec 2015|I lost shit pic twitter com ejH4iIzeFb|148|281
9:28 AM - 10 Dec 2015|WHO MADE THESE pic twitter com zDVCMdeujF|37|30
11:04 AM - 10 Dec 2015||110|106
2:13 PM - 9 Dec 2015|Holy shit Starbucks went pretty fucking dark holiday season Oh wait that's supposed scarf pic twitter com 8moF0vpwK6|5.1K|6.1K
3:49 AM - 10 Dec 2015|@flounderheights she's good time anyway|1|1
2:29 AM - 10 Dec 2015|#pjdX_sega #pjd_sega The 2nd promotional trailer Project DIVA X uploaded Now showcasing Brain http fb 2fUlEw1Fv|3|5
5:52 PM - 9 Dec 2015|MOOD KOMAEDA DANCING SLOWLY IN THE MIDDLE OF THE STREET|1|1
6:09 PM - 8 Dec 2015|damn obstacle overcome pic twitter com lDDkE5jkTj|20K|29K
4:31 PM - 9 Dec 2015|school torture time one favorite places friends Fave Retweet agree|153|251
4:06 PM - 9 Dec 2015|FLOWERS ARE OUR BEST FRIENDS|47|50
1:05 PM - 9 Dec 2015|happy three year anniversary tiny angel coming lives changing world forever pic twitter com eL7tWSo0fJ|2.6K|3.8K
3:37 PM - 9 Dec 2015|imagine coma 9 yrs u wake remember ugly u i'd kill self #PS4share pic twitter com 3Bd57ujwlE|5|15
3:37 PM - 9 Dec 2015|signs one-punch man characters GEMINI AQUARIUS Saitama pic twitter com Mpb5TOzRbo|98|69
3:00 PM - 9 Dec 2015|remember lady gaga saved gays|2|4
7:01 PM - 1 Dec 2015|HOLIDAY GIVEAWAY RT follow enter post two winners Dec 15 7PM PST good luck everyone pic twitter com vZOIbVHaay|18|4
8:12 AM - 9 Dec 2015|reasons tubbs bpd hes thief hes selfish hes fat takes stuff u leaves traits bpd sufferers|4|3
