2:50 PM - 10 Dec 2015|lunchables delicious bullshit snack|104|181
1:48 PM - 9 Dec 2015|could Wednesday would diff-- pic twitter com aAGhfd2Shp|3|4
11:06 AM - 9 Dec 2015|parents important plz child believe|3|1
8:56 AM - 27 Nov 2015|Me every time I get email Black Friday deals pic twitter com fN6F4Ichow|208|136
3:50 PM - 25 Nov 2015|life story RT @karelynsanity Lmfaooooooo guys pic twitter com 5JJQGOfes2|5|4
7:52 PM - 24 Nov 2015|LMAO nigga went pic twitter com 2Qu8yh6gN0|14|8
7:19 PM - 23 Nov 2015|So happy I weekends Holidays|1|1
5:58 PM - 22 Nov 2015|How something word 'nada' fill much joy pic twitter com QEeKstQAqs|47|150
6:00 AM - 19 Nov 2015|When bad weather doesn't leave alone pic twitter com TXEoPHnRxs|3|7
8:48 PM - 17 Nov 2015|I love Now change|1|1
