7:08 PM - 10 Dec 2015|Let's make America great pic twitter com y8hz1Pvz9V|82K|16K
8:24 PM - 9 Dec 2015|big round oily butt https vine co v iZWiLmLh5hg|39|90
10:50 AM - 9 Dec 2015|day everyday pic twitter com mZgL3mkDsr|1.6K|2.1K
8:33 PM - 8 Dec 2015|It's TRAP Queen #HipHopStarWars @midnight|77|292
2:28 PM - 6 Dec 2015|@BenWasilefsky starter pack pic twitter com d6Ex6ScngG|4|14
4:16 PM - 8 Dec 2015|Do believe Aliens|100|127
8:52 AM - 8 Dec 2015|Mayor bans Donald Trump St Petersburg FL http goo gl 30jSbs pic twitter com mBkE3SAXkP|9|12
7:47 PM - 7 Dec 2015|weenie I'll u know I stubbed toe last week watering spice garden I cried twenty minutes|71|161
5:44 AM - 7 Dec 2015|#NoBoyfriend problem Vine @AdrianNugu https vine co v Ow9TIdqdXz3|1|0
6:45 PM - 6 Dec 2015|I CUM CAVIAR it's disgusting|127|631
6:39 PM - 6 Dec 2015|LATKES SHOULD HAVE BOTH SOUR CREAM APPLE SAUCE|72|186
5:56 PM - 5 Dec 2015|Do like picture baby Yes Do like picture mine pulls wallet-size picture TV|71|262
7:50 AM - 5 Dec 2015|like it's embarrassing people don't know sad stupid look saying want trump win|1|1
12:13 PM - 3 Dec 2015|hello america ready get bumps junk https twitter com NBCNewYork status 672494430805491713|182|181
12:25 PM - 3 Dec 2015|petition change name genital herpes trump bumps @realDonaldTrump|758|927
