8:04 PM - 11 Dec 2015|@getbakedpetcats pads Constant movement No breaks American football sissies|1|1
8:30 PM - 10 Dec 2015|#TONIGHTLY @LarryWilmore calls #AbigailFisher #SupremeCourt case 11 30 10 30c #StayMadAbby #UTAustin pic twitter com riAU2kqG9H|72|164
6:37 PM - 8 Dec 2015|I longer tweet Trump That anyone America would even CONSIDER voting rabid coyote leaves speechless|18K|24K
1:02 PM - 9 Dec 2015|Keep rising surround people put much forth effort #Truth|38|65
5:35 AM - 9 Dec 2015|A 12bn funding shortfall jeopardizing global efforts bring #HIV #AIDS epidemic control @ONECampaign http ow ly Vr0t7|9|8
6:15 AM - 7 Dec 2015|Bernie Sanders wins readers poll TIME Person Year http ti 1RzHw4T|4.6K|7.2K
3:35 PM - 7 Dec 2015|Join Higher Ed Bernie supporting College All Click sign https berniesanders com higher-education-for-bernie|323|786
9:48 AM - 8 Dec 2015|Sadly America today expensive poor|3.5K|6.4K
8:35 PM - 7 Dec 2015|Jon Stewart wants tell @SenateMajLdr pass 9 11 Zadroga Act Now #worstresponders #shameworks pic twitter com tqIlzOLUYM|13K|8.8K
2:00 PM - 7 Dec 2015|Don't forget climate change strengthens ISIS http ti 1TTu378|43|55
2:07 PM - 7 Dec 2015|#ICYMI Every 16-year-old Sweden receive copy We Should All Be Feminists http bit ly 1XX2kCW #MyFeminismIs @GuardianUS|9|10
8:11 AM - 7 Dec 2015|would rather wander around store hours ask employee something|1.8K|2.9K
8:36 PM - 4 Dec 2015|I love extended mix 2015 4min|18|71
1:00 PM - 6 Dec 2015|Climate change cause next refugee crisis it'll Pacific islands http bit ly 1NzGpjW pic twitter com 8vHwpHHCyV|27|12
12:01 AM - 6 Dec 2015|#Venezuela election today Remove obstacles peaceful public participation guarantee security http ow ly Vujlw|51|42
8:49 AM - 18 Nov 2015|Slamming door face refugees would betray deepest values That's And it's we're going|49K|66K
6:00 PM - 4 Dec 2015|We stand together #solidarity violence hateful rhetoric intimidation Join us http ppact io Solidarity-Day #StandWithPP|176|162
7:44 PM - 4 Dec 2015|End gun epidemic America http nyti ms 1IKiqJk via @NYTOpinion pic twitter com lAL72OA8JZ|2.4K|2.9K
7:30 PM - 4 Dec 2015|Your emotions alter dreams Dreaming someone reflects either happiness pain they've caused feel|110|110
12:24 PM - 4 Dec 2015|A5 Integrate #ItsOnUs culture locker room fraternity house etc Call bad behavior don't give friends pass #IOUchat|6|7
5:46 PM - 24 Nov 2015|Don't need watch video know young man shot 16 times police officer wrong #LaquanMcDonald #staypeacefulChicago|3|6
1:08 PM - 2 Dec 2015|Mass shootings becoming almost-everyday occurrence country This sickening senseless gun violence must stop|24K|27K
10:09 AM - 3 Dec 2015|What kind gay family member tells aren't gay coming https www facebook com permalink php story_fbid 926482724066991 id 100001158171095 pic twitter com AsVlQn6z01|10|30
8:49 PM - 2 Dec 2015|This Skunk pic twitter com NhyQzARbjD|32|112
12:07 PM - 30 Nov 2015|America laughing hard Canada crack head mayor Racist running president Canada wins #Trump|25|59
5:55 AM - 2 Dec 2015|Families struggling put bread table send kids college take care basic needs https cards twitter com cards 18ce53yz7k6 18n3j|535|898
8:33 AM - 1 Dec 2015|World AIDS Day I'm grateful begun conquer disease glad learn daily Still there's lot must|73|172
8:07 PM - 22 Nov 2015|Thanks everyone watching Lost Translation tonight You pre-order extended version http TrevorNoah com #WooHoo|176|895
7:44 AM - 28 Nov 2015|When you're sick shouldn't worry finding money go doctor pic twitter com G1LRrpn24p|1.7K|3.4K
9:17 AM - 25 Nov 2015|We must end discrimination women immigration system http bernie Immigration pic twitter com Wz7DchXv8B|699|1.7K
7:30 AM - 25 Nov 2015|Moving winter time follow Hawaii lead face wake call #homelessness http bit ly 1GvF78D pic twitter com yRO4ba6xlg|34|45
5:00 AM - 15 Nov 2015|Who WON Democratic debate See 5 national polls http m huffpost com us entry 8567084 #FeelTheBern #DemDebate|23|39
