2:19 AM - 12 Dec 2015|Pt We mistook Purell KY jelly Doc I see bottles alike surely feel different Pt Not u r horny|7|16
9:15 PM - 11 Dec 2015|@guessing_lupus Treadmill Corgi ya pic twitter com crQludgqbw|2|1
9:00 PM - 3 Dec 2015|slides DMs pic twitter com 6AFTycnHjz|526|885
5:01 PM - 7 Dec 2015|So grades https vine co v iWVKrmYevgJ|2.9K|3.1K
5:39 AM - 10 Dec 2015|@guessing_lupus @jurogumo GET OUT OF HERE TINY STALKER|1|1
5:40 AM - 10 Dec 2015|@guessing_lupus 'get corgi STALKER' bounces away|1|3
5:41 AM - 9 Dec 2015|Just TED Talk Thomas Piketty wealth inequality interrupted sponsorship message Goldman Sachs|6|11
12:14 PM - 9 Dec 2015|My pronouns GUUURL BRRRRRRRRT FREEDUM Exactly like @guessing_lupus|1|3
4:21 AM - 10 Dec 2015|Farewell sides pic twitter com WUzZbiu252|2|2
4:46 AM - 4 Dec 2015|That face says everything 10 10 pic twitter com pPT1Vujskb|1.3K|2.8K
7:57 AM - 9 Dec 2015|When randoms jump mentions pic twitter com rE6OE0fSoo|1.1K|1.4K
10:19 AM - 9 Dec 2015|The key becoming good writing shaders believing And know I believe|147|342
3:13 PM - 8 Dec 2015|@jurogumo @guessing_lupus A new Renaissance sweeps planet|1|1
9:06 AM - 8 Dec 2015|one man stands donald trump despotic influence heroes wear capes pic twitter com tTSpGT2Yum|6|10
9:21 AM - 8 Dec 2015|2018 live peaceful golden reich trump check YT subscriptions nice new collab fem freq CHS|1|2
7:10 AM - 8 Dec 2015|Sneak preview Psychonauts 2 pic twitter com sTWLBTI1QR|451|678
1:21 AM - 7 Dec 2015|A German Shepherd-Akita-Corgi mix He looks like fluffy bear cub want one pic twitter com 7LTFU544mE|32|40
12:44 AM - 8 Dec 2015|@guessing_lupus ur family roasting thanksgiving dinner ur grandma steps says leave u alone|1|2
8:15 PM - 6 Dec 2015|@guessing_lupus TRADING tough guy's toque bill's unpainted earbuds trade pic twitter com pvTRftjA6t|2|6
