11:17 AM - 12 Dec 2015|Global climate conference adopts historic deal http reut rs 1NVD3Uh #COP21 pic twitter com wbY90LPA2J|266|158
8:02 AM - 12 Dec 2015|Henry Miller art good friends essential creative work http buff ly 1lWd5cz pic twitter com sJPGxGH20c|97|131
5:03 PM - 11 Dec 2015|An illustrated meditation memory mystifying imperfections inspired Borges http buff ly 1lUUUEj pic twitter com Vpf2xlMbHm|105|158
1:50 PM - 9 Dec 2015|The greatest hazard losing one's self occur quietly world nothing|9|8
1:50 PM - 9 Dec 2015|Watch audio visual performance @ghostly artists @Michaelcina @__SHIGETO https www xlr8r com news 2015 12 watch-a-stunning-live-performance-from-shigeto pic twitter com iS9ZT3Fqwe|22|28
1:54 PM - 9 Dec 2015|An anti-corruption documentary gaining momentum Russia government taking notice http www businessinsider com ap-anti-corruption-documentary-in-russia-gaining-popularity-2015-12|1|1
1:54 PM - 9 Dec 2015|California prison photographs 1980s http dngrminds net SvyrGE pic twitter com a5qDRa3tnP|12|22
9:32 AM - 9 Dec 2015|Forget Christmas lights Fire lasers house instead http bit ly 1luCSZV pic twitter com jZ2wbmWG7D|91|124
4:22 PM - 8 Dec 2015|got write abt loved @HudMo @hollyherndon @RabitMusic jamie xx concept sad banger year http thefader com 2015 12 08 best-songs-of-2015-list|5|23
9:24 AM - 9 Dec 2015|Toronto taxi drivers block major downtown streets protest Uber http news nationalpost com news toronto-taxi-drivers-block-major-downtown-streets-to-protest-uber|2|0
6:21 AM - 9 Dec 2015|Bob Boilen listens lot music See made Top 10 Albums 2015 list http n pr 1NbssqP pic twitter com EQo2tgpUQy|46|115
8:44 AM - 9 Dec 2015|Instead takes @realDonaldTrump please constantly share re-share gif pic twitter com LPxUDUXOLO|1.9K|1.1K
8:47 AM - 9 Dec 2015|Isis leader Abu Bakr al-Baghdadi named runner-up Time magazine's Person Year 2015 http www ibtimes co uk isis-leader-abu-bakr-al-baghdadi-named-runner-time-magazines-person-year-2015-1532557|1|1
8:48 AM - 9 Dec 2015|Incredible sports photos around world http slate 1Qw4Boc pic twitter com 9c1YFzizFs|13|11
8:48 AM - 9 Dec 2015|Watch particles come together jam hopper http gizmo VYlYJt1|17|17
4:13 AM - 9 Dec 2015|Drake's label forgot submit 'Hotline Bling' Grammy Awards http www factmag com 2015 12 09 drake-hotline-bling-grammys-cash-money-clerical-error pic twitter com iYlEZHTpSe|39|40
8:06 PM - 8 Dec 2015|Shibata Zeshin Lacquer Panel Badger Studying Plum Branches Sun pic twitter com uoZqzgNuwU|5|22
8:10 PM - 8 Dec 2015|isn't pulitzer prize front pages daily news win entire past week pic twitter com rzRF3L3q8H|9|13
3:03 PM - 8 Dec 2015|@JerryBrownGov #climateleader#keepitintheground Take action #COP21 - Here's img sum @MarkRuffalo pic twitter com 1g1lbISyFj|59|121
3:04 PM - 8 Dec 2015|This Australian says dead friend invented Bitcoin http gizmo nI7YTcn pic twitter com xZ6s4mzBcV|126|127
3:07 PM - 8 Dec 2015|California marches Paris fight climate apocalypse http bit ly 1lssS3h|55|72
1:41 PM - 8 Dec 2015|MOOGFEST May 19 - 22 2016 Durham NC @Moogfest #Moogfest2016 pic twitter com oiaM7KRSv9|23|71
7:58 AM - 8 Dec 2015|Friday David Lynch's BLUE VELVET Jacques Rivette's THE DUCHESS OF LANGEAIS #35mm http www filmlinc org series lynchrivette #films pic twitter com DGUVqi0VL8|7|9
7:59 AM - 8 Dec 2015|Are reaching peak CO2 emission Actually yes global emission may drop http slate 1QtliR3 pic twitter com HtefrUaSYu|9|7
7:46 AM - 8 Dec 2015|Watch People know Bible Koran http wapo st 1ONCUat|229|178
7:49 AM - 8 Dec 2015|Trippy animation imagines Paris living organism microscope WATCH http slate 1QtovA0 pic twitter com 34VXplVyGC|10|13
7:50 AM - 8 Dec 2015|Decades irresponsible arms transfers Iraq fueled Islamic State group firepower ability carry http www japantimes co jp news 2015 12 08 world reckless-arms-transfers-iraq-prove-boon-islamic-state-group-report # Vmb7c1XhDnB|1|0
6:45 AM - 8 Dec 2015|This Image Explains Why U S Can't Stop Mass Shootings http fortune com 2015 12 08 gun-control-betaworks|37|33
7:50 AM - 8 Dec 2015|Should writing art career @NewRepublic http bit ly 1lKGd6v pic twitter com iQOsUBpm5f|66|80
7:37 AM - 8 Dec 2015|Exclusive Download Free Sample Pack @cr2records http plus pointblanklondon com free-sample-pack-from-cr2-records-exclusive-giveaway pic twitter com XdDDKTIy0i|7|10
7:37 AM - 8 Dec 2015|@CarrieFFisher's Crazy #StarWars Ride Cocaine Rolling Stones slave bikini http www thedailybeast com articles 2015 12 08 carrie-fisher-s-crazy-star-wars-ride-cocaine-the-rolling-stones-and-that-slave-bikini html pic twitter com gt0IsOUNqx|19|27
11:00 AM - 7 Dec 2015|favorite master https www youtube com watch v S-kk65_HjzA @henrydarthenay|1|2
10:04 AM - 7 Dec 2015|GRAMMY Thanks messages support everyone|108|507
11:37 PM - 6 Dec 2015|venerable humble honest thinker whose writings surely one read without deep emotion|3|8
5:56 PM - 6 Dec 2015|The power sea battle elements reminded nothingness ocean I feel great small I|12|17
5:03 PM - 6 Dec 2015|One good things modern times If die horribly television died vain You entertained us|148|233
5:03 PM - 6 Dec 2015|Golf good walk spoiled|32|67
12:10 PM - 6 Dec 2015|PHOENIX versionan The Beach Boys con BILL MURRAY de invitado http www rockdelux com noticias p phoenix-3 html pic twitter com wJ64Qiu4Ql|7|5
12:11 PM - 6 Dec 2015|Cartels control traffic across Rio Grande one must use guides If caught crossing alone one could beaten disappeared|1|2
12:10 PM - 6 Dec 2015|Human smuggling Texas linked drug cartels operating impunity Mexico Smuggling profitable drugs|1|1
