9:09 PM - 10 Dec 2015|relationship goals girl she's reading wall street journal im reading yahoo finance devoutly following stocks|6|16
6:37 AM - 8 Dec 2015|Watch entirety @kanyewest's Oxford University lecture earlier year http pnps co 3zuOX pic twitter com 2f5qj29UBL|206|825
9:22 PM - 5 Dec 2015|genesis 1 3 god said pipe dab pipe dab pipe dab pipe dab pipe dab pipe dab pipe|413|652
3:42 PM - 6 Dec 2015|Esteemed Xavier fans include Leonardo DiCaprio George Clooney Bill Murray UC Nick Lachey #BeatUCWeek pic twitter com LCaXHsCJnG|90|90
10:34 PM - 5 Dec 2015|EVERYONE SAYS THAT ANNIE HALL IS THEIR FAVORITE MOVIE SO YOU RE NOT CONVINCING ANYONE THAT YOU RE SUPER DEEP OR ORIGINAL OR ANYTHING|417|990
5:40 PM - 5 Dec 2015|crab playing guitar anyway here's sea|352|942
3:01 PM - 3 Dec 2015|When you're done jerkin The Wiz live watch back-to-back eps @ComedyBangBang 11pm @AdamPally 11 30p Kathryn Hahn On @IFC|37|206
7:16 AM - 3 Dec 2015|isn't old hell t-shirt it's Yeezy SZN 1 actually pic twitter com Idfrmnbfb1|1|3
4:54 PM - 1 Dec 2015|amazing pic twitter com bbtzArxWt1|3.7K|3.9K
8:50 PM - 1 Dec 2015|@hjhensley didn't get love|1|1
9:10 PM - 1 Dec 2015|What Adele calling inside house|936|1.7K
7:15 PM - 30 Nov 2015|lord's prayer ur girl's prayer pic twitter com iUX9QLu8Sn|282|565
9:33 AM - 30 Nov 2015|checks calendar uh oh oh people gonna start getting nostalgic The Jersey Shore aren't|1|1
12:33 PM - 28 Nov 2015|ACCiDENTALLY SPiLLED A CORONA ON MY HiGH SCHOOL DiPLOMA|3.3K|5.1K
9:20 PM - 29 Nov 2015|Me DMs https vine co v iaEbAl5lYAg|84|169
8:45 PM - 28 Nov 2015|Pig Roast 2015 #ThingsILikeMoreThanDayton|27|65
8:59 PM - 27 Nov 2015|DJ Khaled googled Miami Heat logo screenshotted tweeted pic twitter com bAn3DcG9Zm|78|95
12:23 PM - 27 Nov 2015|Bill Murray Now part #XavierNation pic twitter com KkcS0Rjd0Y|92|111
1:49 PM - 27 Nov 2015|Black Friday gift @JColeNC https soundcloud com dreamvillerecords j-cole-black-friday|78K|64K
1:49 PM - 27 Nov 2015|Black Friday gift @kendricklamar https soundcloud com topdawgent kendrick-lamar-black-friday|58K|47K
5:41 PM - 26 Nov 2015|u like cake pie block unless ur hot funny verified RT|11|60
7:52 PM - 24 Nov 2015|@trillballins With due respect Mandy I think know real top clowns DC - Congress pic twitter com Av60tz9Dil|5|12
1:07 PM - 22 Nov 2015|Let known Steph Curry Cam Newton combined 24-0 ever since Future name-dropped DS2 pic twitter com wk8zfI8Jmu|6.3K|4.5K
11:41 AM - 22 Nov 2015|Two ways start closing gender pay gay today http onforb es 1Yj75ZH|58|70
7:00 AM - 18 Nov 2015|The Stories In The Flintstones Are Powerful But They Probably Didn Literally Happen http www clickhole com r 3468tsd pic twitter com 4bO7brfc2p|343|592
5:40 PM - 16 Nov 2015|I wasn't born yesterday I born 2011 guess I'm 4|30|115
1:06 PM - 21 Nov 2015|I got ticket showing cop play songs youtube iPhone browsing apps|16|160
8:29 AM - 14 Nov 2015|When whole team watches Steph Curry's highlights pic twitter com UvH4hmbqns|6K|5.9K
10:45 PM - 19 Nov 2015|Nov The Warriors could go 82-0 April Wow They 2017 Oh wow 2018 cool 82-0 really neat 2019 NBA disbands|491|750
8:11 PM - 19 Nov 2015|can't coincidence picture steph came today warriors getting blown pic twitter com bPruvslWh4|302|399
10:17 PM - 19 Nov 2015|y'all thought man confident enough wear jacket losing game tonight way pic twitter com p8WvTSd52m|993|1.2K
5:47 PM - 16 Nov 2015|ppl acting like bieber songs selena n 50 year old songwriter like miss ex-wife linda|219|622
12:03 PM - 16 Nov 2015|seasonally appropriate story middle eastern people seeking refuge turned away heartless|21K|19K
5:14 PM - 14 Nov 2015|don't pic twitter com vhC58t8b94|43|240
10:46 PM - 13 Nov 2015|i'm building jaden smith feel enlightened speak like woke levels honestly outta control|11|122
