8:57 PM - 7 Dec 2015|This one best friends proud @jasonwetzler - you're future teacher must watch https youtu bZnkX9mPtuE|2|8
6:02 PM - 4 Dec 2015|Oregon literally everything within span one hour drive pic twitter com N1SHzenWVc|4.1K|5K
3:43 PM - 2 Dec 2015|Walla Walla WA Located Tangled takes place Narnia It's made - @jasonwetzler|7|29
7:26 AM - 30 Nov 2015|Emotional moment New Zealand rugby greats honor All Blacks legend Jonah Lomu haka memorial service http es pn 1SrXhZT|481|851
2:18 PM - 27 Nov 2015|Have mercy here's Bedlam hype video we've looking Must watch All chills http pistolsfir 1Hts8ou pic twitter com m3UVau9sbr|207|180
9:18 AM - 21 Nov 2015|Oregon's FFA CTE success story Jason Wetzler wows teachers #vision2015 @jasonwetzler pic twitter com miq58mGysu|5|14
6:30 AM - 21 Nov 2015|He goes OSU #Oklahoma #VISION15 #IAmCTE pic twitter com r2MnuQBoBQ|1|3
6:44 AM - 21 Nov 2015|My generation must choose teach secure liberties next generation @jasonwetzler #acte2015|1|2
6:45 AM - 21 Nov 2015|Thank @jasonwetzler words wisdom morning If I don't teach Who #vision2015 #naae15 #TeachAg|2|4
11:32 AM - 19 Nov 2015|This guy can't wait Saturday How If don't tickets call us 877-ALL-4-OSU #okstate pic twitter com J2STBOQHCF|10|33
