5:34 PM - 8 Dec 2015|@NHLCanes uhhh don't think phrase means think means|1.6K|2K
5:31 PM - 8 Dec 2015|@DallasStars time hockey chill pic twitter com ADiGnOv2fT|1.3K|1.3K
2:43 PM - 2 Dec 2015|Fans-I appreciate votes All-Star game 3 3 would kill don't want die yet Thank understanding Too old|20K|23K
5:53 PM - 3 Dec 2015|The Larkin-Zetterberg-Datsyuk line absolutely DEADLY They everywhere|64|161
5:48 PM - 3 Dec 2015|The dream line Datsyuk Larkin Zetterberg|1|3
7:11 PM - 21 Nov 2015|Ross drank margaritas kept telling everyone fine|2K|3.2K
4:53 PM - 1 Dec 2015|21 pictures sum end semester http bzfd 1NmxZbe pic twitter com grMSJts2w4|470|687
8:10 PM - 30 Nov 2015|Favorite If Gary Bettman Is Daddy RT If This Mental Picture Will Keep You Up At Night For Weeks|25|4
4:52 AM - 28 Nov 2015|The Game #GoBlue #BeatOSU pic twitter com BsOfgh4a9i|1.5K|1.3K
7:34 PM - 27 Nov 2015|Born raised #SOUTHDETROIT pic twitter com M4RLBo8pqc|460|807
6:43 PM - 27 Nov 2015|It's like everyone hockey nice meal yesterday decided best way burn calories unnecessary fighting #truth|2|3
9:17 PM - 24 Nov 2015|Here's trailer looking #CaptainAmericaCivilWar https amp twimg com v 3c1c85a0-6603-43b4-b9af-b55725c9ba52|64K|55K
9:42 PM - 24 Nov 2015|WHEN BUCKY CATCHES HIS SHIELD pic twitter com 2vRjLvtapP|370|231
11:20 PM - 21 Nov 2015|turn pick movie Netflix instantly turns camp rock|58K|94K
5:48 PM - 20 Nov 2015|Party Party #LGRW pic twitter com zrnZ1jKLgO|282|447
7:30 PM - 16 Nov 2015|Give Tomas Tatar breakaway #3on3OT See happens https amp twimg com v fb781d69-9d6c-4327-bb05-c61b18b1502d|416|697
5:12 PM - 16 Nov 2015|Tricky tricky Mr Larkin #DETvsOTT https amp twimg com v e4000b3c-b57c-4cc4-8f89-3c1083f1db52|399|638
