12:50 PM - 9 Dec 2015|I love Kerouac sometimes sounds like drunk google translate https twitter com brainpicker statuses 674684661151453184|35|84
9:46 AM - 7 Dec 2015|Beer News Cranberry Orange Radler cans debut fall 2016 #TeamRadler http blvd ly 1RAfhTC pic twitter com hpyP8riV3t|45|107
6:18 PM - 29 Nov 2015|seraphin like diaw buy canal street|58|180
9:50 AM - 27 Nov 2015|RT 4 chance 2 Win JBL headphones JBL BF deals http goo gl ZuNZEd NoPurNec18 Rules@ http bit ly jbl-bf-sweeps-rules pic twitter com NYVzugrJur|1.2K|178
7:38 AM - 22 Nov 2015|Is early start writing off-Broadway play Porzingis Please advise|141|592
6:40 AM - 22 Nov 2015|It beyond crystal clear NCAA botched Diallo case business initial eligibility http es pn 1PTHtzN Lame|586|635
7:55 AM - 21 Nov 2015|Honoring full day college hoops football w SCAM giveaway RT entered picking 2 winners later today pic twitter com 5a7w4tnsZ5|46|10
9:09 PM - 20 Nov 2015|1 343 career games Duncan tonight first time doesn't record rebound #Spurs #Pelicans pic twitter com 6Kjtp2R0Xu|189|106
10:34 AM - 20 Nov 2015|Made three-pointers season Miami HEAT 71 Memphis Grizzlies 69 Steph Curry 68 Minnesota Timberwolves 60 Brooklyn Nets 57|53|35
7:22 AM - 19 Nov 2015|NBA says Porzingis jerseys sold new stock tomorrow|1K|739
9:41 AM - 18 Nov 2015|Hausdorff introduced call Hausdorff spaces 1914|20|25
