7:58 PM - 11 Dec 2015|don't know I would without best friends|2|2
1:29 PM - 11 Dec 2015|I hope know ain't easy|1|3
12:21 PM - 11 Dec 2015|i'm sleepiest girl u ever meet|4K|3.8K
10:06 AM - 11 Dec 2015|It would nice feel wanted someone someone like hey life kinda better|1.2K|2.7K
9:37 AM - 11 Dec 2015|It really suck try try try someone blind see right front|23|46
8:41 PM - 6 Dec 2015|skinny shaming isn't real hmmm pic twitter com hR301Tqiit|6K|6.7K
7:02 AM - 11 Dec 2015|Hate seeing relationships one person head heels love person couldn't care less|2.5K|5.8K
4:07 PM - 10 Dec 2015|Are two still living|100|176
4:08 PM - 10 Dec 2015|HEY HONEY OUR BABIES HERE He looks like boss|130|202
2:39 PM - 10 Dec 2015|tiny monkey getting combed toothbrush pic twitter com 8fFJB0VEpj|3.2K|6.4K
10:06 AM - 10 Dec 2015|When someone takes hours reply ur like right I'm gunna msg back hours see like 2 mins later ur like hi|1.7K|3.4K
10:57 PM - 7 Dec 2015|chicken bacon ranch fries pic twitter com tkuuS8K6XL|6.8K|13K
2:51 PM - 9 Dec 2015|Walks professor's office hours finals week pic twitter com f6PwRUnzpM|3.4K|3.6K
1:30 PM - 9 Dec 2015|drink water eat fruit moisturize skin listen new music|363|608
6:58 PM - 7 Dec 2015|brought fire world cold|2|4
5:49 PM - 7 Dec 2015|I need snow|3|2
8:35 AM - 7 Dec 2015|So Proud You Son @LiamSheehan3 New Assist Photo Editor 'CUSE D O pic twitter com nZFYwBRRTN|2|7
12:58 PM - 4 Dec 2015|WHO REMEMBERS THIS pic twitter com gwqUBX6jF1|28K|50K
5:48 PM - 6 Dec 2015|LOVE https twitter com shopivoryella status 673673572292894721|1|2
9:55 AM - 6 Dec 2015|What put hair make curly pic twitter com F6n8qBkmUp|1.6K|2.2K
7:27 AM - 6 Dec 2015|I want right pic twitter com hNesxM53X0|16K|19K
3:35 AM - 6 Dec 2015|LOOK AT THEM WATCHING THEIR BABIES EAT pic twitter com W3W19s1f60|2.3K|6.8K
7:47 AM - 20 Nov 2015|dual staircase living room I need life pic twitter com kQ3vqDMgav|5.9K|14K
4:56 AM - 5 Dec 2015|Julia screams sleep that's cool|2|2
9:25 PM - 29 Nov 2015|First kiss goals pic twitter com roqYGJgHg0|5.8K|7.5K
