12:46 PM - 11 Dec 2015|An epidemic questionable arrests school police http www publicintegrity org 2015 12 10 18944 epidemic-questionable-arrests-school-police pic twitter com DEb8dD7eAL|23|21
12:44 PM - 11 Dec 2015|20 things happened first time 2015 http nyti ms 1SSuHBd pic twitter com 2MqXTEN32a|10|12
8:22 AM - 11 Dec 2015|#YouAreInDenialIf You think Democrats Republicans fundamentally different|1|1
7:32 AM - 11 Dec 2015|Gen Hodges 25 000 #Russia's troops currently Crimea #Ukraine http www atlanticcouncil org blogs natosource russia-could-block-access-to-baltic-sea-us-general-says https www youtube com watch v fDsfDwm9YXs feature youtu pic twitter com YZ4Hg5y0me|33|3
7:18 AM - 11 Dec 2015|How economic leverage bit arm-twisting helped @TysonFoods reshape workers comp http propub ca 1Y8h2qV pic twitter com m3EWBLPlca|51|19
8:43 AM - 9 Dec 2015|Some pics thoughts 3 house parties 3 days A reasons grassroots-driven campaign NH matters https medium com @cvo a-few-reasons-a-grassroots-driven-campaign-for-new-hampshire-matters-68cccb4c882# he2rmrxr7|2|4
7:59 PM - 9 Dec 2015|I think Bernie Sanders gonna get vote president|14|32
5:17 AM - 11 Dec 2015|Moderate Marco Rubio Wants Undo Gay Marriage End Obama #LGBT Protections http thebea st 1Nl9VGG via @thedailybeast|12|5
1:08 PM - 10 Dec 2015|In blow #NRA Arkansas State University incident ends 0 casualties Suspect custody #gunsense #2A pic twitter com VdiYIGtM7d|131|97
3:43 PM - 10 Dec 2015|Freeing Killer Cops Caging Domestic Violence Survivors Do Black Lives Matter Chicago https shar es 1G3sWM via @sharethis|2|0
3:44 PM - 10 Dec 2015|I would say 100 demanding justice CPD @SAAnitaAlvarez Rahm covered murders #byeAnita pic twitter com pot7sa6RJb|10|2
1:56 PM - 10 Dec 2015|On day 1964 Martin Luther King Jr collected Nobel Peace Prize He continued call equality pic twitter com tMfe0brfdb|408|296
10:24 AM - 10 Dec 2015|We really 2 choices lead country 2016 We #feel #Oligarchy #FeelTheBern pic twitter com zGkKvRqyj6|15|16
1:01 PM - 9 Dec 2015|With fist raised protester takes moment pause middle Michigan Avenue #Chicago pic twitter com UUD3xbacTv|212|295
2:32 PM - 9 Dec 2015|Planned Parenthood shooting suspect declares I'm guilty I'm warrior babies http abcn ws 1SOZ1MP pic twitter com U2uCWsk8La|64|55
2:28 PM - 9 Dec 2015|#BernieSanders Looks Forward Beating #Trump The Tonight Show http ln trofire com 2015 12 gUcHb #UniteBlue #TNTweeters #tcot #FeelTheBern #Bernie|7|6
2:29 PM - 9 Dec 2015|We're fighting justice justice Rekia Laquan every black life that's taken http www nbcchicago com news local Protesters-Plan-Citywide-Walkout-to-Call-for-Emanuels-Resignation-361231611 html #ResignRahm|7|5
2:30 PM - 9 Dec 2015|Always pic twitter com YckvvCHHYx|4|1
2:30 PM - 9 Dec 2015|When given #paidleave many men willing expected jump role caregiver http afsc 1lfOCPJ #1u|4|3
2:30 PM - 9 Dec 2015|One challenges solving climate change lies human psychology #COP21 http pbs org 1luERNV pic twitter com ybEMAF3l0X|35|23
10:47 AM - 8 Dec 2015|Bernie Sanders responds Trump's call stop Muslims entering U S #Bernie2016 #FeeltheBern pic twitter com aC2TDJ0sX0|26|24
5:30 AM - 8 Dec 2015|Media Matters Fox Blames Obama For Trump's Call To Ban All Muslim Immigration http mm4a org 1PUvvHL #media #p2 #topprog|3|1
