7:07 AM - 10 Dec 2015|Turns Adele hides corner Kleenex box I love Neil Walker https twitter com NeilWalker18 status 674968283058061312|33|84
12:23 PM - 8 Dec 2015|Thank Duper pic twitter com fxL8QfTg8P|369|403
10:41 AM - 8 Dec 2015|Who needs blood flow I Instagram likes - Adults waist trainers|148|176
9:24 PM - 5 Dec 2015|Anyone else looking forward #StarWars The Four Jamaicans #AnthonyCrispino @bibbymoynihan #SNL|96|275
3:03 AM - 5 Dec 2015|Everything beauty everyone sees|1K|2.8K
8:45 AM - 3 Dec 2015|It's sad people say I like trump says afraid say I don't remember wanting say racist remarks|11|23
1:54 PM - 2 Dec 2015|Pray grace God help us|4.3K|13K
5:55 AM - 20 Nov 2015|If don't see happening blind https twitter com thehill status 667349385555111936|1|1
9:15 PM - 14 Nov 2015|It looks like man made toilet paper murdered --Pete Davidson sad truth women's bathrooms #SNL|73|285
8:31 PM - 14 Nov 2015|SNL best #strong|226|989
