12:43 PM - 11 Dec 2015|@kater_tots15 leaves 69 hours|1|1
11:34 AM - 9 Dec 2015|Santa putting condom mouth|65|264
9:40 AM - 9 Dec 2015|Racists cant even provide reason ignorant pic twitter com zSPJiqU4f2|2.3K|3.4K
12:55 PM - 2 Dec 2015|Guns don't kill people But sure shit don't favors|3.8K|6.6K
3:59 AM - 8 Dec 2015|How horrible Voldemort nowhere near bad https twitter com BBCNewsbeat status 674170911344455680|220K|200K
2:09 PM - 6 Dec 2015|hanukkah DENY NOTHING @nathanfielder pic twitter com S02ZIzOy2u|2.2K|8.4K
10:58 AM - 4 Dec 2015|@kater_tots15 @MarenSprunger please don't take mrs worst case senioritis' advice|1|1
9:55 AM - 3 Dec 2015|The San Bernardino shooting 355th mass shooting year Gun violence reached epidemic levels US It must end|3.6K|4.6K
10:34 AM - 3 Dec 2015|spork - saying spork|110|328
5:39 PM - 2 Dec 2015|tryna Netflix n chill Netflix isn't working @kater_tots15|1|2
3:19 PM - 29 Nov 2015|sits 27 hours oil canvas portrait omg delete Bartholomew i'm serious fucking hang Great Hall|26K|38K
3:23 PM - 18 Nov 2015|PILGRIM 1 need side dish turkey PILGRIM 2 lets stuff bread birds ass eat PILGRIM 1 I thinking corn ok|957|1.8K
6:18 AM - 27 Nov 2015|1st date I love spiderman movies Me So I thinking something say impress Me I used spider|5K|8.3K
10:21 AM - 30 Nov 2015|Those hoverboard things like vaping feet|38|50
2:58 PM - 27 Nov 2015|pro lifer extremists dont represent us u cant make us answer violence muslims everywhere u got shitting|1.2K|1.8K
10:09 AM - 21 Nov 2015|hah woops someone asked what's tried say much chillin time accidentally said hitler cool|365|1K
2:59 PM - 29 Nov 2015|We need rethink War Drugs treat substance abuse serious health issue criminal issue pic twitter com bMU8xYjzU7|2.5K|5K
8:28 PM - 29 Nov 2015|How good every seven seconds get think sex|7|24
1:36 PM - 21 Nov 2015|love GPS tells turn left 1000 feet like way conceptualize imagining 1000 Subway footlongs|745|1.6K
12:53 PM - 20 Nov 2015|Bruce Willis enthusiastically coloring Sudoku puzzle|442|954
12:54 PM - 20 Nov 2015|Bruce Willis walking around inside revolving door 4 hours completely understanding happening|318|651
1:00 PM - 20 Nov 2015|Too many people suffered many people died us continue hear racist words coming major political leaders|6.5K|9.9K
11:08 AM - 20 Nov 2015|Happy birthday @TimCombes Part 1 pic twitter com i2buBpPOYG|3|33
