10:50 AM - 11 Dec 2015|Maybe keep Soler put bench|8|23
9:57 AM - 11 Dec 2015|Cubs pic twitter com 1MchJOTon2|6|9
5:11 PM - 8 Dec 2015|stove hot|33|71
3:31 PM - 5 Dec 2015|Offended Unfollow Move pic twitter com DmeZlZlDj6|27|31
12:24 PM - 5 Dec 2015|Just talked campaign Cruz's private data showing Cruz ahead Iowa Trump falling second|307|245
8:40 PM - 3 Dec 2015|BREAKING Cleveland sues Detroit copyright infringement #GBvsDET|211|247
9:29 AM - 1 Dec 2015|You know would beginning solution For Alvarez Rahm resign|30|26
3:00 PM - 30 Nov 2015|@CubsFutures @MikePinto3 Cubs SPs highest WAR lowest FIP baseball 2015 Is investing 30M 1 SP best way improve team|3|8
10:02 AM - 27 Nov 2015|Someone call people decide march Mich Ave http www cnn com 2015 11 27 us chicago-tyshawn-lee-arrest index html|2|1
6:51 AM - 22 Nov 2015|Re Rubio's Sunday lies Cruz The arsonist thinks convince he's really fireman http bit ly 1XiQjYh #amnesty|19|6
2:43 PM - 18 Nov 2015|Under Bush dissent patriotic Under Obama dissent foreign policy you're helping ISIS|823|774
3:02 PM - 16 Nov 2015|Today I endorsed Ted Cruz president Of excellent candidates Cruz likely refurbish Pillars Am Exceptionalism|590|836
