11:28 AM - 11 Dec 2015|Those tissues @TheCharlieWeber #htgawm #tgit #tanktoptableread pic twitter com 9zko5hTAFN|626|1.7K
3:59 AM - 8 Dec 2015|How horrible Voldemort nowhere near bad https twitter com BBCNewsbeat status 674170911344455680|220K|200K
12:58 PM - 6 Dec 2015|I don't always sit grown man's lap 6 seconds meeting I it's @stjude pic twitter com cYF3Rfpnsm|671|2.1K
10:01 AM - 4 Dec 2015|We brand new exclusive #redband trailer #TheNiceGuys w @RyanGosling @RussellCrowe https amp twimg com v c3be8619-c319-4c47-947c-cc5c4ef0d934|1.8K|3.1K
7:19 PM - 29 Nov 2015|Literally bunch GIFs Paul Rudd dancing http bzfd 1TfIRwF pic twitter com HLuldNhmyF|1.1K|2.3K
6:06 PM - 28 Nov 2015|Yes everyone I destroy @realDonaldTrump I finished ISIS|319|489
12:56 PM - 22 Nov 2015|@NathanZed okay since u wanna give spoilers Here's spoiler ya life fucking meaningless|249|1.2K
5:48 PM - 21 Nov 2015|you're trying get tuition paid pic twitter com HZvtlfoon3|1.4K|2.3K
6:01 AM - 19 Nov 2015|I'm drink beers destroy ISIS Takes sunglasses And I'm beer|573|850
7:16 AM - 19 Nov 2015|I eat ISIS breakfast bitch|643|709
9:32 AM - 19 Nov 2015|I roll ISIS blunts smoke|1.3K|1.2K
10:21 AM - 19 Nov 2015|ISIS nothing myth I'm done|754|956
9:11 AM - 19 Nov 2015|21 photos sad Jake Gyllenhaal perfectly sum life http bzfd 1Qwxzp8 pic twitter com TNdtvHUJfg|232|485
3:07 PM - 17 Nov 2015|Look pic twitter com ldf4cc4sC6|2.2K|2K
11:42 AM - 17 Nov 2015|Hey here's thing remember pic twitter com FWHhcc6jax|10K|9.6K
2:29 PM - 15 Nov 2015|u see dog campus https twitter com justinbieber status 175033427735744512|161|161
3:42 AM - 15 Nov 2015|Pregnant woman completes psychology exam labour http trib al fhxzJd4 pic twitter com HtQvTXtqIh|18K|20K
9:00 PM - 14 Nov 2015|The U M solidarity French brothers sisters pic twitter com pFGXu2UxWI|317|492
