8:14 AM - 11 Dec 2015|Bunch recruits new captain Silver today|17|104
4:25 PM - 9 Dec 2015|How join good team https vine co v eDae0WKqzlI|40|36
3:42 AM - 9 Dec 2015|never buying ebay fuck pic twitter com aOTS3gvg0p|63|70
2:38 AM - 9 Dec 2015|#WCW YouTuber @GammaGamers All-Star @Sssniperwolf http GFUEL com pic twitter com UeqDBNeLwb|335|1.6K
7:06 AM - 2 Dec 2015|RT you've Obey SoaR Synergy Darth Dare eRa L7 Olymp Saw Viral High Iron BoLT Colt Orbit Astral Flaw Super Red Set Brave Zeus|561|328
4:21 AM - 9 Dec 2015|@bisexualfather @L7Sweetz better hairy big toe babe|1|1
4:18 AM - 9 Dec 2015|Let's pic twitter com uZPUxnKwKI|93|40
12:57 PM - 8 Dec 2015|I decided leave @RedReserve thank Formula Scarce opportunity I'm interested anymore|34|113
12:18 PM - 8 Dec 2015|Follow @ArcticControl SO CLOSE 3 000 followers Thank beasts|2|4
8:05 AM - 8 Dec 2015|wrong pic twitter com yLgPrwyQ5o|358|337
12:28 PM - 8 Dec 2015|FFA prob worst thing invented bo3|1|5
12:36 PM - 7 Dec 2015|Joined @ArcticControl Team-Captain|16|38
10:38 AM - 8 Dec 2015|She finally love pic twitter com DbdtkJwRAp|5|15
9:07 PM - 7 Dec 2015|holy fucking shit dude https vine co v M5MrqDaJT20|9.5K|7.8K
4:13 AM - 8 Dec 2015|HE FUCKING CALLED IT pic twitter com JBXLmwYRS8|11|23
2:03 PM - 7 Dec 2015|@DavidVonderhaar plz fix private match Fucking need stay flag run around fucking map like bunch Jews|1|2
12:05 PM - 7 Dec 2015|THEY GAVE THE BIRDS LAXATIVES pic twitter com 1wCMGMUQr5|6.4K|8.6K
11:55 AM - 7 Dec 2015|@Mkaay LOOKIN LIKE THE BATMAN SYMBOL BRUH pic twitter com f74k3pVEsu|3|6
11:27 AM - 6 Dec 2015|walks party 'HEY WHATSUP GUYS ITS SCARCE HERE ' pic twitter com AzQVgGot70|170|363
3:11 PM - 5 Dec 2015|JOINED @TheDareSniping|78|182
2:43 PM - 5 Dec 2015|Let know pic twitter com PhU6hHAUrE|6|28
11:50 AM - 5 Dec 2015|BLOG Treyarch reveal DLC Pack 1 #BlackOps3 - Awakening FULL Details http codintel8880 weebly com 1 post 2015 12 black-ops-3-dlc-pack-1-awakening-revealed html - #HYPE #BO3 pic twitter com 72UO8YAFdp|14|19
2:41 PM - 16 Nov 2015|New music later week This still tho http youtu gH_0dKKNvIU pic twitter com J3CNb1Ue81|84|172
1:18 PM - 30 Nov 2015|Finally overall leader @TeamEasyFaction|3|9
6:21 PM - 25 Nov 2015|We're looking PS4 Trickshotters Feeders join @TripAllianceHD #RT @GamerRTer @GamerRTasap @FastestRts_ @GamingRT @TripCeeLo @vxzify|3|4
4:20 PM - 21 Nov 2015|WHO DID THIS pic twitter com vAeI1IgOwt|813|1.7K
7:40 PM - 21 Nov 2015|Don't mess Riff Raff https vine co v O3dFwj1FjvT|842|1.3K
11:48 PM - 20 Nov 2015|Joined @ElderSniping_ thanks @SetCopy @ElderSpectre pic twitter com BodeLKWQuQ|12|33
7:15 AM - 20 Nov 2015|fuck physics|3|11
8:25 PM - 19 Nov 2015|Wake see @FaZe_Kitty used song That's crazy Much appreciated|3|3
7:51 PM - 19 Nov 2015|@PromotingSounds dude check guy OUT he's INCREDIBLE @AustinPatten YOU WONT disspaointed he's SO Underrated|1|1
4:30 PM - 16 Nov 2015|For new fans may heard track https soundcloud com austinpatten minute|5|5
3:51 PM - 19 Nov 2015|Recuirting trickshoters @TSU_Clan|1|15
4:42 PM - 19 Nov 2015|Who wants new L7 recruit|28|130
2:24 PM - 17 Nov 2015|rug type dude fart toilet flush|5|43
