6:00 AM - 11 Dec 2015|Only strong survive #XMen #Apocalypse https amp twimg com v 26120eb0-ea8e-49a7-99e6-c1da4a36957c|13K|9.8K
5:41 PM - 10 Dec 2015|Meet real-life Blaine Tim Davis Vocal Arranger @loudmouthmuch Full video http bit ly aboutnotalone #NotAloneBTS pic twitter com N1ehP6qvTx|1.3K|2.5K
4:58 PM - 10 Dec 2015|hey guys what's goin pic twitter com LDhHaHWEfn|440|946
2:47 PM - 10 Dec 2015|#tbt I got work magical woman @rosariodawson pic twitter com u4Qm7fXIHc|843|2K
8:08 AM - 2 Dec 2015|adrianne palicki bobbi morse mockingbird pic twitter com wP6L7ET9zF|300|147
10:04 AM - 10 Dec 2015|Jessica Chastain wrote essay gender equality Hollywood http bzfd 1Nencmi pic twitter com wrJ4bcDvyA|121|380
5:13 PM - 8 Dec 2015|sebastian stan bucky barnes pic twitter com oFsI151hw4|380|221
7:57 AM - 10 Dec 2015|So happy @MartianMovie nominated film actor director #GoldenGlobes #MattDamon #RidleyScott pic twitter com Qy18p2BGhG|418|984
5:42 AM - 10 Dec 2015|Rami Malek Best Actor YESSSS #MrRobot Come #GoldenGlobes|53|76
5:41 AM - 10 Dec 2015|#GoldenGlobes TV series drama Empire Game Thrones Mr Robot Narcos Outlander|626|434
7:09 PM - 9 Dec 2015|@DarrenArmy Well lucky she's super rad Ya hear @halsey You KILLIN IT|439|783
5:56 PM - 9 Dec 2015|WOAH WOAH NO WAYYYY THIS NEVER HAPPENED https twitter com glitzgustin status 674768572099526656|961|2.2K
5:44 PM - 9 Dec 2015|Heh heh I don't even get I love https twitter com BrownChompSoup status 674759583253069824|500|1.2K
5:08 PM - 9 Dec 2015|For first time ever fully produced version Not Alone http bit ly aboutnotalone|2.2K|4K
1:52 PM - 9 Dec 2015|since theres yearly klaine duet decided reward us ill fucking take good teamwork fam|36|34
1:48 PM - 9 Dec 2015|@DarrenCriss @NayaRivera I relate I always think Who's pitchy lady 9 10 times she's|3.8K|6.5K
1:43 PM - 9 Dec 2015|@NayaRivera @chriscolfer yesterday I heard song playin thought man guy's voice annoying- singin ExtraordinaryMerryXmas|3.9K|6.8K
9:15 PM - 8 Dec 2015|Yeah grow Ward #AgentsofSHIELD|193|677
