8:00 PM - 8 Dec 2015|When open terrible gift Christmas https vine co v ewJP7Mh0A1V|974|1.4K
4:06 AM - 10 Dec 2015|When people seen films pic twitter com FD0sgDEbqD|249|587
11:31 PM - 10 Dec 2015|It's weird home everyone goes bed 10 vs roommates going bed 3 AM every night|7|10
8:39 PM - 10 Dec 2015|I want everything Christmas someone asks mind goes completely blank|3|2
7:29 PM - 10 Dec 2015|2016 23 days I'm still overthinking things I 2007|756|1.5K
2:48 PM - 10 Dec 2015|When best friend doesn't keep door open w @jaketwentyfive https vine co v iZhH1mapebB|12|35
7:09 PM - 10 Dec 2015|Crazy much things change year|3|0
3:03 PM - 10 Dec 2015|Me professors Hello it's I wondering months would like meet To go Everything|3.1K|5.3K
1:03 PM - 10 Dec 2015|When you're Christmas af still finals take pic twitter com hSRDEA6VLJ|952|1.3K
12:51 PM - 10 Dec 2015|End semester got like pic twitter com 1FkyRxX4gA|1|2
12:43 PM - 10 Dec 2015|Based number dog Instagram accounts I followed I'd say it's ruff week|2|5
9:48 AM - 10 Dec 2015|Chicken strips chicken wings chicken sandwiches chicken nuggets chicken fries chicken waffles chicken parmesan https twitter com thetumblrposts status 674791993608945664|2|18
10:37 AM - 10 Dec 2015|We going back days women risk lives end unwanted pregnancy|2.2K|4.2K
9:04 PM - 9 Dec 2015|I would watch pic twitter com O2mrjFsc8h|1.9K|4K
1:23 PM - 9 Dec 2015|@UTAustin sort response students sexually assaulting innocent girl https twitter com cheeeeyeenneeee status 673701666093318145|6|7
3:50 PM - 9 Dec 2015|So excited see @PanicAtTheDisco @lahcourt Aaaaah|1|3
7:19 PM - 8 Dec 2015|oh god I'm screaming pic twitter com 7Ls8oDJAoO|7.5K|12K
4:23 PM - 8 Dec 2015|College makes wonder I even complained highschool|3|2
4:22 PM - 8 Dec 2015|Wishing I Hogwarts final exams always cancelled|1.7K|2.3K
4:22 PM - 8 Dec 2015|I don't hate I don't like fact exist|549|789
4:04 PM - 8 Dec 2015|2005 crushing Nick Jonas 2015 still crushing Nick Jonas pic twitter com 945ziUV3QT|1.3K|2.1K
8:41 PM - 6 Dec 2015|skinny shaming isn't real hmmm pic twitter com hR301Tqiit|5.9K|6.6K
7:01 AM - 8 Dec 2015|It big mistake pic twitter com Mx7i6IURz2|62|41
5:50 AM - 8 Dec 2015|God bless JK Rowling pic twitter com Jv2qH8fAPs|10K|18K
11:35 PM - 7 Dec 2015|siri acting like ex gf pic twitter com tVfpkjpmDa|2.4K|6.5K
7:12 PM - 6 Dec 2015|I hope helps someone anyway possible pic twitter com Xd1LBG5eIJ|48|75
8:16 PM - 4 Dec 2015|I'ma start studying finals pic twitter com jfIkfCisHx|1.8K|1.4K
6:09 PM - 7 Dec 2015|College talking someone everyday class still knowing name|64|67
8:50 AM - 1 Dec 2015|Me Wow I 3 tests 2 essays due next 3 days Me Ayyy I haven't watched THE ENTIRE HARRY POTTER FILM SERIES|2.3K|3.8K
4:54 PM - 7 Dec 2015|The pug shelf always watching u pic twitter com NGOHtCn9Bw|504|925
4:34 PM - 7 Dec 2015|Kanye Kim's new baby named Saint West sounds like one fancy clothing stores I can't even afford buy socks|1.2K|3K
5:25 PM - 7 Dec 2015|im ex ya mom gonna forever ask|578|1.5K
6:44 PM - 6 Dec 2015|Finally received order reasons Trump running president pic twitter com oFnOOFsEYT|6|11
