7:27 AM - 11 Dec 2015|Extremely inappropriate The Supreme Court sneaky plot kill affirmative action http www salon com 2015 12 11 extremely_inappropriate_the_supreme_court_and_the_sneaky_plot_to_kill_affirmative_action via Salon|2|1
1:08 PM - 5 Dec 2015|The fact shoot things don't agree kinda someone needs take guns https twitter com ewerickson status 673203319528116224|4.6K|4.8K
8:56 PM - 5 Dec 2015|Just looking latest fashion trends I'll take classy trendy day week #saturdaynightinsight|16K|23K
11:31 AM - 8 Dec 2015|Van Jones Destroys Donald Trump's Xenophobia @CNN https youtu XJ1yX5eyXPA Thank You @VanJones68 @RealDonaldTrump Scary Hell|24|21
7:38 AM - 10 Dec 2015|@laurawilde100 @AriBerman @jorge_aguilarDC Basically quantum mech weird unusual took weird unusual outlook invent|1|1
10:29 AM - 10 Dec 2015|Mother lost son distracted driving urges friends put phones - via @ESPN App http es pn 1Q3dk2N|1|2
1:28 PM - 9 Dec 2015|Also always interesting people concerned mismatch among white students selective elite universities|32|41
1:38 PM - 9 Dec 2015|@Spreagle The alternative white students suffer mismatch white students elite schools academically marginal|1|2
9:00 PM - 9 Dec 2015|John Roberts Delivers Finishing Blow To Stephen Breyer To Defend Title Of Chief Justice http onion com 1HVAdCm pic twitter com XblRAWoX39|803|1.1K
5:40 PM - 9 Dec 2015|Scalia's racist remarks reason still need affirmative action These beliefs embedded institutions #inners|29|28
11:43 AM - 7 Dec 2015|@steve_locke Really incredible piece sir Thank writing sharing|2|4
6:16 PM - 4 Dec 2015|I fit description http artandeverythingafter com i-fit-the-description pic twitter com Hven1Yu1Es|269|167
6:44 AM - 8 Dec 2015|The 13th Amendment abolish slavery rather moved plantation prison http m huffpost com us entry 6777420|44|48
12:00 PM - 9 Dec 2015|@AriBerman One awful results GOP going crazy making polite conversation safe white supremacism|11|24
11:59 AM - 9 Dec 2015|@AriBerman @Katie_Speak Mr Garre Your honor I really explain separate equal bad|7|36
11:54 AM - 9 Dec 2015|Chief Justice Roberts' race problem What unique perspective minority student bring physics class pic twitter com OlBOpjJDJH|609|296
12:01 PM - 9 Dec 2015|2015 exposing reality racism exists highest levels American jurisprudence Scalia racist pic twitter com PnM34FGHyh|2.1K|1.6K
9:38 PM - 7 Dec 2015|#WorstResponders pass act care 9 11 #FirstResponders https twitter com rmnroz4 status 674092977904553985|6|3
9:04 AM - 7 Dec 2015|Large Broken Headphones Earmuffs|173|484
10:57 AM - 26 Nov 2015|wanted go bad RT @knightbeatsday This woman gets A keeping together pic twitter com gOr6w9U6IB|108|110
7:19 PM - 3 Dec 2015|@TAPSTRIMEDIA @lastword @MalcolmNance Heard Malcolm Chris Mathews Always intelligent analysis|3|5
11:30 AM - 2 Dec 2015|Why police videos belong public police http nyti ms 1lXTWYh #Justice4Jamar #4thPrecinctShutDown|76|54
2:17 AM - 3 Dec 2015|This cop said could banners back-- buddies tore pieces #4thPrecinctShutDown pic twitter com FULeXtasEB|137|33
2:42 AM - 3 Dec 2015|We stuck 1968 repeat #releasethetapes #justice4jamar pic twitter com g8w7rrQMEC|6|3
4:40 PM - 28 Nov 2015|Look closely Someone appears producing real ads #exxonknew Thanks @BrandalismUK pic twitter com MhBr90jSLR|129|108
9:57 AM - 2 Dec 2015|Researchers Exxon Koch family powered #climate-denial machine decades http buff ly 1TkTy0f #ExxonKnew pic twitter com sUZaKGWK09|36|16
