7:51 PM - 9 Dec 2015|I wish I could wear cape pull|27|134
8:30 PM - 7 Dec 2015|perfectly said pic twitter com ZWdVhGy41h|1.6K|2.6K
7:38 AM - 1 Dec 2015|It's December 1st pic twitter com IRGMNiaZC2|16K|18K
6:35 AM - 1 Dec 2015|Happy December pic twitter com e6l6T83RwO|669|1.1K
1:41 AM - 1 Dec 2015|I set @lumos help world's vulnerable children institutionalised often poverty|730|2.5K
6:24 AM - 30 Nov 2015|Pretty sure means I m Master Death Or lunch pic twitter com nUuQ9ldQ0A|1.3K|3.4K
11:22 AM - 30 Nov 2015|@TheRock hate ask I get little encouragement beard I m trying grow hard|6.5K|19K
3:27 PM - 26 Nov 2015|The cute pics couples captioned thankful u make want throw food I inhaled today|3|4
9:01 AM - 26 Nov 2015|Here's favorite show #HappyThanksgiving pic twitter com U5SjirFSQ6|670|1K
8:09 AM - 26 Nov 2015|From #GreysAnatomy family #HappyThanksgiving pic twitter com KcXOSvZOrT|6.3K|14K
1:46 PM - 20 Nov 2015|Harry Potter cast talking films coming end pic twitter com TuG3YByvpN|408|875
12:38 PM - 18 Nov 2015|past tour @ReelBearMedia pic twitter com ToLK6bJJn7|6.2K|17K
2:03 PM - 18 Nov 2015|Use y mx b calculate slope hill life going|880|1K
9:00 AM - 18 Nov 2015|S H E ' S A M E R I C A N L O V E pic twitter com u8Gdaon71F|5.3K|8.2K
4:33 AM - 18 Nov 2015|McGonagall Now place right hand waist Ron Where McGonagall My waist #10YearsGobletofFireFilm pic twitter com Ce1AjrXhgG|467|776
3:08 AM - 18 Nov 2015|behaving like babbling bumbling band baboons Try saying five times fast #10YearsGobletofFireFilm pic twitter com AJrtH5zuxC|626|856
6:49 AM - 18 Nov 2015|This cozy It's broom cupboard Well feel right home #10YearsGobletofFireFilm pic twitter com gnjsUUYmTa|291|724
1:08 PM - 17 Nov 2015|Snapchat's logo ghost actual human connection|5.2K|8.1K
1:49 PM - 15 Nov 2015|13 Years ago today Harry Potter Chamber Secrets released theaters pic twitter com DA35dA8ieW|3.1K|7.2K
3:18 AM - 15 Nov 2015|The 1975 No one's asking inspire revolution But inspire something http gu com p 4djh9 stw @the1975 @Truman_Black|1.3K|2.6K
1:59 AM - 15 Nov 2015|Continuing keep Paris prayers Peace win fear lose|20K|36K
