6:48 PM - 9 Dec 2015|life pic twitter com HuSaXn0HJF|11K|17K
9:45 PM - 10 Dec 2015|never cool pic twitter com hj8DXerWg0|1.4K|1.9K
3:47 AM - 9 Dec 2015|When prof ask I didn't hw weekend pic twitter com NySeaNJVQi|2.1K|5.5K
4:03 AM - 9 Dec 2015|favorite part day get go bed|4K|5.1K
11:41 PM - 7 Dec 2015|Team Night Owls|288|486
9:13 PM - 7 Dec 2015|Idk flirt imma stare u marry|2.4K|4.8K
6:42 PM - 7 Dec 2015|Fuck|2|13
10:23 AM - 27 Nov 2015|I wish I collection text messages I almost sent|1|9
12:43 PM - 25 Nov 2015|school grades coLLEGE WORK MONEY BILLS ADULTHOOD RESPONSIBILITY pic twitter com vww9qPgOhZ|5.3K|6.7K
9:06 AM - 24 Nov 2015|High vs Drunk http vine co v ewI0jlIHv7H|2.2K|2.8K
10:04 AM - 25 Nov 2015|Adele Jennifer Lawrence Emma Stone I get friendship pic twitter com pea1uQzXaK|4.5K|11K
8:22 PM - 24 Nov 2015|When someone says don't like cats pic twitter com U8X9jnXSdB|2.6K|3.3K
8:31 PM - 23 Nov 2015|takes nap|2K|3.4K
2:39 PM - 15 Nov 2015|If ugly insides you'd like pic twitter com an3cOnJ6Ak|2|18
