1:50 PM - 11 Dec 2015|Full score #GravityFalls episode 103 Headhunters https goo gl lhNmF1 #GravityFallsMusic|16|32
12:19 PM - 11 Dec 2015|half dozen friendly supportive emails titled Angry Email inbox|5|106
7:07 AM - 10 Dec 2015|I don't always drink beer But I Most people feel quite strongly I shouldn't Stay thirsty friend #rejectedbeercommercial|1.1K|3.9K
2:48 AM - 10 Dec 2015|Dont hate people post twitter likes Like agree|180|1.4K
5:18 PM - 8 Dec 2015|Honestly Trump must sort troll I'm waiting pop say It's prank bro point cameras|418|1.5K
2:37 PM - 7 Dec 2015|Even assuming fails become President Trump's damage permanent The bar things media print moved|249|243
1:16 PM - 7 Dec 2015|I bought shoes The right one nice snug The left one hurts like shit Wut|71|794
5:08 PM - 26 Nov 2015|If I Life Coach first thing I'd let clients know they've hired Life Coach it's already late|3.2K|8.3K
9:58 AM - 25 Nov 2015|Full score #GravityFalls ep 206 Sock Opera https goo gl LSS9D4 #GravityFallsMusic|37|75
7:13 PM - 24 Nov 2015|Crazy response everyone's favorite crime solving duck They available second week December sure check back|16|181
8:57 AM - 23 Nov 2015|Only eight hours go find heart breaks pic twitter com 6RpVx434Uk|116|321
1:47 PM - 21 Nov 2015|Thank everybody Also ain't 'til it's See Monday #GravityFinale pic twitter com d3jTzaL3Nq|798|2.6K
1:00 AM - 21 Nov 2015|Gravity Falls existed Alex's head heart live long finale Thanks Alex https twitter com _alexhirsch status 667843799129812992|361|1.6K
8:40 PM - 20 Nov 2015|So proud show Alex So much love Gravity Fall's wonderful fans you're best https twitter com _AlexHirsch status 667843799129812992|567|2.6K
7:50 PM - 20 Nov 2015|Growing doesn't mean grow Thanks every Gravity Falls fan taking trip back childhood #GravityFinale|4.1K|8.4K
5:42 PM - 20 Nov 2015|@_AlexHirsch Congrats amazing show I'm little sad totally respect wise decision can't wait see satisfying ending|184|1K
6:14 PM - 20 Nov 2015|@_AlexHirsch Kudos four years integrity consistency quality control Now get sleep|144|1.1K
9:15 PM - 19 Nov 2015|For wonder profile pic comes favorite newspaper kid #WeeklyWorldNews https en wikipedia org wiki Bat_Boy_ character|60|368
9:20 AM - 18 Nov 2015|#SPNFunFact We airing Thursdays needed new character name I googled Angel Thursday luck got Castiel @mishacollins|907|1.8K
11:36 AM - 17 Nov 2015|@_AlexHirsch He weekday Voiced pink cat Disney went back writing CIA torture reports w skippin beat|203|1.6K
9:24 AM - 17 Nov 2015|Weird dreams come true Jon Stewart guest stars giant pink cat next ep Gravity Falls #MeowWow http ift tt 20Zm65k|1.2K|3.7K
12:02 PM - 16 Nov 2015|@_AlexHirsch instead coloring supposed church sister drew chaotic demon back pic twitter com G44jcjwrRH|802|2.6K
7:24 AM - 16 Nov 2015|Well bad news @jarpad got phone last night really bad news fake tweet got likes tweets|3.1K|12K
7:04 PM - 15 Nov 2015|Here two fav ditties #GravityFalls S2 From ep 207 Society Blind Eye https goo gl DwQ3sn #GravityFallsMusic|28|62
4:53 PM - 14 Nov 2015|I feel like I'm giving tons terrible advice today I think it's pesky conscious making think Let's kill|10|122
11:37 AM - 14 Nov 2015|Dipper edges victory bringer Weirdmageddon https twitter com disneyxd status 665247460290338816|18|134
