4:56 PM - 11 Dec 2015|I wish I force I'm lazy leave couch pic twitter com OE6WgBq6od|530|685
1:46 PM - 10 Dec 2015|christmas af @lucasbecker24 pic twitter com IcOvVGYrGL|3|2
7:50 PM - 8 Dec 2015|I never forget bop pic twitter com Uphuc36GXx|829|1.9K
10:55 AM - 7 Dec 2015|you've repeated many times you're trying keep together u really slap person pic twitter com lAsyVlzVML|1.5K|3.2K
7:30 PM - 6 Dec 2015|I'M CRYING http twitter com SoDamnTrue status 673633905212334080 video 1|1.7K|2.6K
11:00 PM - 5 Dec 2015|I want life right https vine co v MWZMlX9ruOa|1.6K|1.9K
8:03 AM - 6 Dec 2015|dog makes dog sound know know understand|3K|6.5K
8:52 AM - 6 Dec 2015|ITS THAT TIME OF YEAR AGAIN https vine co v iWQFHPJB3IF|711|1K
5:52 AM - 5 Dec 2015|OH MY GOD pic twitter com 7vW03Q8UzW|12K|24K
6:50 AM - 4 Dec 2015|Let's pretend like weren't one best groups pic twitter com 8RzJJGtqC9|748|1.5K
8:20 AM - 2 Dec 2015|My kind protest pic twitter com ThAViXBgB3|213|219
7:02 AM - 2 Dec 2015|parents let talk future pic twitter com 4lEmJHBj9U|1.8K|2.7K
3:09 PM - 1 Dec 2015|Doritos fucking good I want Doritos themed wedding|1.2K|4.1K
11:26 AM - 1 Dec 2015|you're ready Christmas still take finals pic twitter com omw9q5rYkQ|6.9K|8.5K
11:43 AM - 1 Dec 2015|I see one RT good luck written random dumb photo Twitter RTs I'm gonna deactivate eat phone|2.2K|4.7K
10:57 AM - 1 Dec 2015|un-know people|487|401
1:03 PM - 30 Nov 2015|jumpman jumpman jumpman get another week somethin woo|2.6K|3.4K
4:33 PM - 29 Nov 2015|The holiday season brings inner basic pic twitter com 7jh7HjoRnt|686|983
5:00 PM - 29 Nov 2015|I WOULD MOST LIKELY PEE MYSELF pic twitter com Mbv4u0ezQ4|1.5K|3.4K
9:38 AM - 29 Nov 2015|Give heart pic twitter com xVWhUEFBxu|3.7K|3.4K
8:08 AM - 29 Nov 2015|Tomorrow Monday pic twitter com CHnvRV7MKP|908|1.1K
11:40 AM - 28 Nov 2015|writes paper doesnt make sense prints doesn proofread hands grade|2.8K|5.3K
7:44 PM - 27 Nov 2015|like disney kids need bibbity bobbity back fuck life|1.9K|3.3K
4:40 PM - 27 Nov 2015|BLACK FRIDAY ALERT pic twitter com 0Tko4jgbSt|1.2K|1.5K
4:40 PM - 27 Nov 2015|IM DONE http twitter com LlGHTSKINPAPI status 670393471388250113 video 1|6.8K|9.8K
6:45 PM - 26 Nov 2015|I wish fast food places Black Friday deals|3K|6.2K
12:20 PM - 26 Nov 2015|realize you're grinch pic twitter com 6IA3P4zi7s|12K|13K
9:22 PM - 25 Nov 2015|homework takes buzzfeed quiz see kind poptart I|7.5K|12K
8:07 AM - 25 Nov 2015|How turkey feels day Thanksgiving pic twitter com lxqi92Qhb6|3.8K|4.2K
7:59 PM - 25 Nov 2015|she's even trying pic twitter com XP81eJECEW|34K|62K
4:23 PM - 25 Nov 2015|fave blooper ever pic twitter com oCNDmWCcrG|11K|17K
12:58 PM - 24 Nov 2015|Adele Jennifer Lawrence Emma Stone I get friendship pic twitter com WJRmoOzm5G|6K|16K
4:37 PM - 23 Nov 2015|friend parents pay food pretend want|1.6K|5.7K
5:53 PM - 22 Nov 2015|remember Sharpay Ryan This feel old yet pic twitter com BAd14Gk0Ja|11K|22K
5:23 PM - 22 Nov 2015|It's time year https vine co v hT2wKni63Km|2.7K|4.2K
11:45 AM - 21 Nov 2015|Walking kitchen Thanksgiving https vine co v bQ0b6mevP6h|547|589
7:14 PM - 20 Nov 2015|hotline never blings|1.6K|2.4K
7:25 PM - 20 Nov 2015|When someone sc story 100 seconds pic twitter com PQvLTEJLiL|804|879
8:20 AM - 20 Nov 2015|This always funny https vine co v exZO1QMpEW7|328|248
7:19 AM - 20 Nov 2015|When ur stressed u try play cool pic twitter com 5atxhTmJbg|919|1.2K
7:31 AM - 20 Nov 2015|thats lot cream cheese bagel yea well thats lot asshole personality|582|1.4K
5:14 PM - 19 Nov 2015|I WILL LOOK FOR YOU I WILL FIND YOU AND I WILL EAT YOU pic twitter com kL2OXo8MWh|4.1K|5.5K
2:37 PM - 19 Nov 2015|there's lame reason|1.1K|1.6K
7:16 PM - 18 Nov 2015|IM DYING OMG pic twitter com kggpXptGIW|4.4K|8.7K
7:14 PM - 15 Nov 2015|I wish dogs 7 27|3.4K|3.9K
8:06 AM - 15 Nov 2015|The real fashion icon pic twitter com 63ZgFjdOVd|7.7K|14K
