8:23 PM - 11 Dec 2015|Why many people social media want make sure women don't like talk enjoy much|199|360
1:58 AM - 11 Dec 2015|ICYMI Ex-Oklahoma cop #DanielHoltzclaw found guilty raping black women duty http buff ly 1NK7st1 pic twitter com oF3r8xK49r|139|63
4:36 AM - 11 Dec 2015|#DanielHoltzclaw victim asked didn't report rape She said What kind police call police #BlackLivesMatter|770|608
6:18 PM - 10 Dec 2015|Black ppl killed police 2015 - 318 date 2014 - 315 2013 - 300 2012 - 288 Source http MappingPoliceViolence org http bit ly 1yv7YBL|458|290
10:04 AM - 10 Dec 2015|FROM THE VAULT Sam Sax - Quiche @samsax1 #buttonpoetry WATCH HERE https youtu 2ESMaVRqmq0|4|3
6:39 AM - 10 Dec 2015|Everyone check important book @RGGonzales1 #undocumented young people's experiences https twitter com harvard status 674955532298526720|10|17
9:39 AM - 9 Dec 2015|I'm like shark I need move constantly order survive replace move eat Honey Bunches Oats|6|20
3:45 PM - 23 Nov 2015|zayn people wouldn't listen one direction parties yale students would pic twitter com zA8dtZFBoP|20K|17K
11:52 AM - 9 Dec 2015|This list includes lot favorite poems 2015 http www lambdaliterary org features oped 12 08 ten-poems-by-qpoc-you-really-should-have-read-this-year|3|10
8:01 AM - 1 Dec 2015|It December nobody asked I ready pic twitter com LPFxWIt36A|169|327
6:37 PM - 8 Dec 2015|I longer tweet Trump That anyone America would even CONSIDER voting rabid coyote leaves speechless|18K|24K
7:07 AM - 4 Dec 2015|Consistency attractive|57|110
3:09 PM - 7 Dec 2015|Seaweed side chick|1|0
6:00 AM - 5 Dec 2015|When sick able access health care see doctor That radical idea|3K|6.6K
6:39 PM - 6 Dec 2015|As destroy ISIS it's essential allow fear division undermine constitutional rights make us free people|1.2K|2.8K
6:50 PM - 6 Dec 2015|Tinder goals pic twitter com C3M7zTIcOX|1.9K|2.4K
4:59 AM - 3 Dec 2015|I m still reading Eula Bliss essay White Debt So illuminating I want end http www nytimes com 2015 12 06 magazine white-debt html _r 1 pagewanted|47|84
4:59 AM - 3 Dec 2015|White people write clarity white people often http www nytimes com 2015 12 06 magazine white-debt html _r 1 pagewanted|141|237
2:28 PM - 23 Nov 2015|guns fire toward heaven - Danez Smith pic twitter com ICuIcrHxHS|7|28
4:34 PM - 3 Dec 2015|Community circle holding hands around Washington Hennepin This city #4thPrecinctShutDown #TaleOf2Cities pic twitter com nnpDmZAfiz|61|52
10:45 PM - 24 Nov 2015|Protesters #4thPrecinctShutDown shot About 10 rounds one hit #Justice4Jamar|516|176
