7:35 PM - 10 Dec 2015|homework takes buzzfeed quiz see kind poptart I|80|157
6:59 PM - 8 Dec 2015|S O future husband finals think kids house Range Rover Love|2K|3.5K
10:05 PM - 9 Dec 2015|beginning semester vs finals week pic twitter com KiXPGKTRhV|2.9K|5.9K
9:03 PM - 9 Dec 2015|thought sunset pretty I thought prettier pic twitter com wvCwGUxoWu|1.6K|3.1K
5:02 PM - 9 Dec 2015|@realDonaldTrump u like I'll stop using chewing tobacco|2|4
5:50 PM - 6 Dec 2015|Which hotter|6|5
8:20 PM - 9 Dec 2015|Is bad every time I quarters I think wow I laundry go park somewhere|3|11
7:17 PM - 9 Dec 2015|@madi_white_ you're bougie|1|0
7:56 PM - 9 Dec 2015|boys get thinking re better girls seen difference powerpoint project quality|1K|3.2K
8:01 PM - 9 Dec 2015|even u feelin like shit never let mothafucka treat u like shit|661|1.4K
7:37 PM - 9 Dec 2015|WELCOME TO TWITTER I LOVE AND MISS YOU @madi_white_|1|1
10:37 PM - 8 Dec 2015|I got cheese bites boy's number could I ask|4|4
8:42 PM - 4 Dec 2015|I'm handsome|5|4
1:31 PM - 9 Dec 2015|Should I wear ugly Christmas shirt court|6|5
9:24 AM - 9 Dec 2015|lmao happened Eller's lawsuit Aulenbacher though|1|5
2:24 PM - 24 Nov 2015|I like commercial Santa decides drive red Mercedes instead sleigh That seems like right vibe Christmas|139|572
