2:40 PM - 11 Dec 2015|I've gone toe toe w everyone favorite male MC's To undermine skill diversity MC actually comical @ point|4.5K|7K
1:06 PM - 11 Dec 2015|writing jams pic twitter com ulUsDRDNS8|926|2.6K
10:32 AM - 11 Dec 2015|walking street inspired opening 'the urge' inb4 vampire attack fic becomes real pic twitter com vEf1QgCrMe|11K|29K
6:04 PM - 10 Dec 2015|You put squirrel top another squirrel though watch run together|2.5K|5.5K
5:58 PM - 10 Dec 2015|You can't take squirrel squirrel|3.2K|5.6K
9:49 PM - 9 Dec 2015|much I like bread much bread|99|249
3:04 PM - 9 Dec 2015|My new rap name emo piano|4|16
11:27 AM - 9 Dec 2015|you're still things I gave years ago|20|18
10:26 AM - 9 Dec 2015|I ran Donald Trump's name anagram generator see I Am Lord Voldemort equivalent pic twitter com uUDMITM2xu|250|503
2:27 PM - 8 Dec 2015|NEW VID A huge collab guys reading fan fiction THE HAND https www youtube com watch v jgK_1cW-nJg index 1 list PLNq4xYUMjoQAcWWcj07zt1FlrUrKL6Njx warning features butt RT hand emoji|12K|20K
2:25 PM - 8 Dec 2015|new video The Urge - A Dan Phil Fan Fiction Dan Howell https www youtube com watch v 0g6ny2FJ0mY index 122 list PLEnRczHRfqsIt1Oyx-K-dYcYGC0Iu_yWk illustrated YOU GUYS pls retweet|13K|23K
6:45 AM - 8 Dec 2015|I'd eating lovely mince pie right Dan hadn't SAT ON THEM ALL|13K|34K
8:44 PM - 7 Dec 2015|My entire cooking philosophy surmised add MORE garlic pic twitter com NqfCm0t3xc|357|2.6K
2:06 PM - 7 Dec 2015|This classic @danisnotonfire #festivefails pic twitter com hl4gJwoVDl|11K|24K
3:09 PM - 6 Dec 2015|Ever notice entire fleet Battlestar Galactica seems constantly running everything except booze|19|84
10:21 AM - 6 Dec 2015|I wish Baloo Bagheera gay jungle dads|503|1.7K
4:35 PM - 5 Dec 2015|anyway want 2 let u know girls reason men call u crazy make question ur judgement you're easier 2 control slay|63|155
8:14 AM - 5 Dec 2015|used difficult hardcore goth also love consumerism - UNTIL NOW pic twitter com tuPGvYtuUr|91|341
2:23 PM - 4 Dec 2015|PHOTOS @puptheband The Opera House http bit ly 1Q5PwuX pic twitter com zKB1tL08ie|7|16
9:33 AM - 4 Dec 2015|bloopers phil fire 7 https www youtube com watch v PYFmSubzy4U|15K|32K
6:28 AM - 4 Dec 2015|last night @ opera house pic twitter com i85L1W1Ym3|6|28
5:13 PM - 3 Dec 2015|@bingebluesivan dog|1K|4.1K
11:19 AM - 1 Dec 2015|Just double check I hadn't put iPhone oven apparently that's much faith I|309|1.5K
10:29 AM - 1 Dec 2015|@ptvphil lovely sunday morning cup tea browsing smut|1.3K|3.6K
10:19 AM - 1 Dec 2015|want danisnotonfire amazingphil video join THE COMMUNITY FAN FIC COLLAB - http co 8LaQyHnVJU|9.6K|27K
11:11 AM - 30 Nov 2015|We could changed world together pic twitter com CoHcCO0vIH|392|1.4K
8:36 AM - 30 Nov 2015|My love hate relationship Youtube perfectly summed On day Dan Phil upload PINOF7 Sam Pepper returns lives|1.8K|3.4K
3:46 PM - 30 Nov 2015|Honestly though complain Sam guy fucked|9|30
3:44 PM - 30 Nov 2015|No Jupiter cool Sam Pepper I'm feeling maybe directly sun https twitter com dansinotonifre status 671470671323615232|17|29
3:39 PM - 30 Nov 2015|it's almost like enjoys attention https twitter com Telegraph status 671435303144579072|19|59
2:43 PM - 30 Nov 2015|know what's nice crimes|94|173
9:15 AM - 30 Nov 2015|Why @realDonaldTrump's signature literally look like Cylon Resurrection ship pic twitter com Euww5pnkho|36|136
12:32 PM - 29 Nov 2015|drop give twenty collapse onto floor slide twenty dollar bill|64|135
11:59 AM - 29 Nov 2015|PHIL IS NOT ON FIRE 7 IS HERE https www youtube com watch v 3YIPSjTmPmo index 1 list PLNq4xYUMjoQAR1p1De-ILhyNFVdqWEc3R Plz Retweet free cat emojis|36K|40K
11:34 AM - 29 Nov 2015|The Phandom yelling volume Loud|1.3K|2.3K
9:32 AM - 28 Nov 2015|#PINOF7 TOMORROW 8PM http youtube com amazingphil pic twitter com 7kpMt89I6X|30K|56K
1:14 PM - 27 Nov 2015|Don't worry even voted MCR https twitter com music_polls0 status 670347398972055552|142|395
4:17 PM - 26 Nov 2015|THE TRICK IS TO DENY THE HOLY SPIRIT IN FRONT OF HER NOW YOU'RE GOING TO HELL ANYWAY SO THE SHIRT IS HARMLESS https twitter com doctorpaprika status 670027632025563136|19|55
10:57 AM - 26 Nov 2015|PHIL IS NOT ON FIRE 7 IS COMING Ask us funny weird Q's #PINOF7 here's last year's inspiration https www youtube com watch v rqR9h249yh8|20K|42K
11:59 PM - 23 Nov 2015|another classic win-win pic twitter com nKJyn7tG0V|8.4K|10K
7:26 PM - 23 Nov 2015|bouncer you're 47 pigeons trench coat pigeon noises|325|507
7:40 AM - 23 Nov 2015|Doctors HATE This 47 year-old mother 3 can't stop throwing rocks local physicians|132|299
