9:34 AM - 9 Dec 2015|WIN signed Gerrard shirt All got follow retweet we'll pick winner #Gerrard pic twitter com njp9LGINWK|2K|256
6:02 PM - 6 Dec 2015|Me I remember #finals I start studying pic twitter com 2I27lC6iz3|1|3
9:48 AM - 6 Dec 2015|go hoosiers #iufb pic twitter com XRbSd4etgD|45|73
6:54 AM - 4 Dec 2015|Daniel Sturridge scored goals Rooney season even though lives hospital pic twitter com VaIImvEkyW|1.4K|1K
12:35 PM - 2 Dec 2015|Happy 32nd birthday Frater Aaron Rodgers Sigma-Xi quarterback Green Bay Packers #IAMTKE pic twitter com uiw8aJYUAk|69|64
3:13 PM - 28 Nov 2015|Red Hot Chili Peppers studio creating something that's different they've done past|1|0
11:05 AM - 28 Nov 2015|dozens students cried IU sucks 17 said team Indiana kicks ball|18|38
8:09 AM - 28 Nov 2015|The state isn't called Purdue #iufb #OldOakenBucket #goIU|2|0
4:20 PM - 26 Nov 2015|More #thanksgiving #fun Giving away two 2014 replica rings one per winner RT you're entered @GalaxyStarSquad pic twitter com gLkwfy2jpt|375|94
4:00 PM - 26 Nov 2015|When it's time rally dessert #ThanksGIFing pic twitter com O8E64DU5mt|815|1.2K
11:15 AM - 26 Nov 2015|Some unseen footage Daniel Sturridge earlier morning got injured https vine co v eKhZ2Oi3Azg|102|66
4:12 PM - 25 Nov 2015|Final UNLV 72 Indiana 69 Total failure trip Maui Indiana Fans every right pissed Bad coaching bad play #iubb|151|138
4:18 PM - 25 Nov 2015|anxiety valid excuse able go somewhere something said would feels hard say someone|699|1.3K
4:12 PM - 25 Nov 2015|MELTDOWN TIMMMMMMMMMMMMMMEE|11|25
10:01 AM - 25 Nov 2015|BOSS tha pic twitter com fIZ9VDhK4z|29|45
9:56 PM - 23 Nov 2015|If I get 100 retweets @jackster327 come @EtaPiKKG's Semi-Formal pic twitter com reAwUfidLa|68|12
4:16 PM - 23 Nov 2015|literally ruined night thanks #iubb|1|0
3:57 PM - 21 Nov 2015|Random Thought I music miss es DILLA|3.5K|5.7K
10:09 AM - 21 Nov 2015|Liverpool fans right pic twitter com A5rA6l1gVl|1.4K|513
10:02 PM - 20 Nov 2015|The kids Liverpool's lost generation forming brutal gangs http bit ly 1X3eAqB pic twitter com KJ8NumhzWK|28|56
1:04 PM - 16 Nov 2015|ALL LIVES MATTER Awesome there's Syrian refugees need help-- NOPE|30K|27K
12:38 PM - 17 Nov 2015|Yes A million times yes pic twitter com KqSwT4Pjy7|5|10
7:35 PM - 16 Nov 2015|I'm gonna run congress first gotta make RTJ3 -- @KillerMike Hell yeah #RTJ3 @runjewels @therealelp|22|38
8:25 PM - 16 Nov 2015|New Music horizon Make sure die 2016 you'll miss And that's fact|7|38
9:23 AM - 16 Nov 2015|I wish Obama'd followed If folks wanna pop line classic @Himanshu-I'll Joe Pesci fool drinking Popov|7|16
7:58 AM - 16 Nov 2015|2015|78|69
10:48 AM - 14 Nov 2015|St Georges Hall Liverpool #Paris pic twitter com IEP54bbKJP|540|530
