8:09 AM - 11 Dec 2015|I longer know write e-mail I don't end every sentence exclamation point brain literally forgot|878|2.6K
7:15 PM - 3 Dec 2015|If we're party together deviled eggs can't find I don't even need finish thought feel|99|271
7:31 PM - 9 Dec 2015|gift guide women buy candle single red ribbon gift guide men BUY HIM A BOULDER OR A FOOTBALL THATS ALSO A GUN|721|2K
11:39 AM - 9 Dec 2015|If can't keep hair gonna keep trust #howmeghanfeelsaboutbaldpeople|1|4
9:30 PM - 3 Dec 2015|Is drool face No Vaseline-@mckadyk|1|4
1:31 PM - 23 Nov 2015|I'm writing drama I play zebra I use make No words movie except hunter end He goes Got|282|1.4K
1:58 PM - 1 Dec 2015|I saw guy I thirst follow Instagram public like stumbling upon rare precious gemstone washed sea|415|3.1K
8:30 AM - 22 Nov 2015|My wife cries absolutely anything I mean ANYTHING So started writing reasons reasons pic twitter com 2ZO4gFEfmH|37K|60K
1:10 PM - 15 Nov 2015|@Adele wanna come apartment bbq chicken tenders|362|1K
10:22 AM - 19 Nov 2015|i've waiting plumber show like 37 years he's hot swear god won't answer door|227|2.3K
6:23 AM - 20 Nov 2015|number times I've already stop Adele I'm emotionally unstable handle today 3|1.5K|4.9K
10:31 AM - 22 Nov 2015|I twisted ankle yesterday I'm looking 6 attractive burly gentlemen available carry everywhere next 3-4 weeks|584|3.7K
7:37 PM - 20 Nov 2015|Hello|276|258
