3:00 PM - 11 Dec 2015|took Starbucks drive thru pic twitter com uFc5ve53wi|2|7
9:30 PM - 10 Dec 2015|sky luvr loves sky constantly looking trying capture beauty eyes see pic twitter com 3sMSUWZiMX|131|145
12:59 PM - 11 Dec 2015|anyone seen pickup truck carrying yellow quad bed please let know -|14|3
7:18 PM - 10 Dec 2015|night thought crosses least one minds 'let's get fucked go sing karaoke'|62|236
12:33 PM - 9 Dec 2015|Why Aquarius problematic pic twitter com Y4zBi8t0nh|188|249
8:43 AM - 11 Dec 2015|@patmaine fight u like hugs|2|2
8:47 AM - 11 Dec 2015|@mermaidbIues noooo feel better|1|3
8:41 AM - 11 Dec 2015|@patmaine ago @mermaidbIues took picture dog Do|1|1
8:31 AM - 11 Dec 2015|@patmaine ago asked @mermaidbIues take picture dog Do still|1|1
11:29 PM - 10 Dec 2015|@Blink182 release new album next year official http www altpress com news entry confirmed_blink_182_will_release_a_new_album_in_2016 pic twitter com Rwlmv8gU3P|529|797
6:33 AM - 11 Dec 2015|twenty one pilots song pic twitter com lSSazCtN3g|4|12
1:04 PM - 10 Dec 2015|tips live longer drink lots water hug people mind ur business|93|125
7:31 PM - 10 Dec 2015|Winter coming|866|1.2K
5:31 PM - 10 Dec 2015|SIGN AND RT THIS PETITION FOR MY OUTSTANDING TEACHERS https www change org p huron-school-district-help-get-huron-school-district-teachers-the-contact-they-deserve|7|4
4:14 PM - 10 Dec 2015|signs cute Christmas things pic twitter com rOLoryks2s|239|352
3:25 PM - 10 Dec 2015|Religious neighbor need find Jesus My dad found don't know|2|8
11:45 AM - 9 Dec 2015|Dear Santa Santa New number dis pic twitter com AfDqDs8656|3K|5.4K
5:31 PM - 22 Nov 2015|pic twitter com R1SXp3tHzd|8|52
1:31 PM - 9 Dec 2015|supposed look good harry styles outfit costs much car|297|612
7:51 PM - 22 Nov 2015|inconsistency unattractive hell u gonna treat someone like mean something u one day 180 next|1.9K|2.1K
11:47 AM - 9 Dec 2015|@mermaidbIues SEE U THERE|1|2
11:44 AM - 9 Dec 2015|@mermaidbIues I walked past class you're babe|1|1
6:17 PM - 8 Dec 2015|@mermaidbIues I glad met year You genuinely amazing young woman -|1|5
5:58 PM - 8 Dec 2015|Me Hailey profess love every day PleSee|1|1
5:54 PM - 8 Dec 2015|HAILEY best friend I love|1|1
5:53 PM - 8 Dec 2015|@mermaidbIues love u bitch I AINT EVA GONNA STOP LOVIN u|1|1
6:30 PM - 7 Dec 2015|young restless girl finds joy little things coffee shops nature sunny days pic twitter com hG63m0MIrD|778|1.2K
6:06 PM - 6 Dec 2015|Some people things better left sweet memories|3.8K|3.4K
8:44 AM - 8 Dec 2015|GIVEAWAY RT entered win brat bracelet 2 eyeshadows flash tattoos drawing 12 25 mbf pic twitter com TVN36cnAJQ|137|52
2:02 PM - 8 Dec 2015|someone complains constantly tired still stays 4am thinking space stars pic twitter com hiryOKOXRV|4.6K|3.8K
10:21 AM - 7 Dec 2015|girl views friendship valuable thing world could never hurt friends pic twitter com ldzXrN4vkn|2.6K|2.5K
11:59 AM - 6 Dec 2015|plus sized girl advocates women wears whatever wants care useless opinion pic twitter com hEBUqPgtBc|1.1K|2K
2:21 PM - 6 Dec 2015|blue something sad yet raw something craved one point everything blue pills ocean pic twitter com jm8tFTBrnv|652|847
5:58 PM - 6 Dec 2015|The best person I could call best friend Bc better half Ily pic twitter com IdbfxFHT1F|1|4
12:07 PM - 5 Dec 2015|Tagged @mermaidbIues I obviously like wear knuckle puck hat ANYWAY I TAG ALL OF YALL POST CUTE PICS pic twitter com J71C8jeziF|5|11
12:17 PM - 5 Dec 2015|tagged @mermaidbIues @24floors POST CUTE PICS OF YOUR SELF pic twitter com 2vFmaMjKPZ|4|12
11:37 AM - 5 Dec 2015|I tagged @mermaidbIues @gonergabby pic twitter com sI3iasK6NI|5|14
11:30 AM - 5 Dec 2015|I tagged @mermaidbIues pic twitter com U41acZQ4Up|4|16
11:26 AM - 5 Dec 2015|I nominated @mermaidbIues @lizafirek98 @chloe_lamae post hawt pics pic twitter com qXnOUW7iqv|4|9
11:23 AM - 5 Dec 2015|I tagged @mermaidbIues pic twitter com CSunp7qxwt|7|20
11:08 AM - 5 Dec 2015|@lizafirek98 @__Underscored__ tagged thing post hot pics pic twitter com s9S1Bzf88J|6|9
11:04 AM - 5 Dec 2015|I tagged @lizafirek98 post cute pics go If you're tagged 2 pic twitter com 4tC8C0iTzN|3|15
10:47 AM - 5 Dec 2015|I nominated qt @oliviaxsellars guys post hot pics pic twitter com 65IHnI4DzI|4|11
7:31 AM - 5 Dec 2015|@mermaidbIues @nightriots @Mikel_vk Hailey ilysfm miss We going rock fuck The 1975|1|2
11:34 AM - 4 Dec 2015|photographer takes photographs students telling they're beautiful pic twitter com 9nZRcnsbEI|24K|25K
8:21 PM - 4 Dec 2015|wanna kiss neck pic twitter com XciSnXyYl5|345|428
7:18 PM - 3 Dec 2015|pick boy friends don't talk|3|3
4:05 PM - 4 Dec 2015|Have laugh drink cry put inch head give go|1.9K|2.2K
7:30 PM - 4 Dec 2015|@mermaidbIues I HAVE THE SAME ONE|1|1
2:41 PM - 4 Dec 2015|people arent willing wait line concerts aint worth shit|3|6
8:21 AM - 4 Dec 2015|This first weekend I don't homework|1|9
7:58 PM - 3 Dec 2015|goals pic twitter com lhAwQtkfB3|31|44
6:42 PM - 3 Dec 2015|Frecklies holiday sweaters pic twitter com Mq49pbpU7r|4|68
5:58 PM - 3 Dec 2015|you're concert security finally starts passing back water pic twitter com SRv06Tv8Th|49|65
10:14 AM - 1 Dec 2015|Nick Robinson Interview Magazine 2015 pic twitter com aqJseyPkOb|20|33
3:35 PM - 3 Dec 2015|Huron Schools Board Education Get Huron teachers contract deserve RT https www change org p huron-school-district-help-get-huron-school-district-teachers-the-contact-they-deserve|2|3
1:16 PM - 30 Nov 2015|#BigGirlApprecationDay bc I'm big AND beautiful pic twitter com QEOG08foy8|19|60
5:20 PM - 2 Dec 2015|bc Im tired people thinking they're complimenting you're really big #BigGirlApprecationDay pic twitter com 6wofEYGuFp|103|339
4:32 AM - 1 Dec 2015|person says something nice reads|166|292
7:49 AM - 3 Dec 2015|#BigGirlApprecationDay love pic twitter com 2T5OxWZezx|2|7
7:36 AM - 3 Dec 2015|@mermaidbIues I don't even know I love|1|2
7:19 AM - 3 Dec 2015|fall others fly|99|178
7:39 PM - 2 Dec 2015|I love crying reason people care|1|2
6:53 PM - 2 Dec 2015|#BigGirlApprecationDay love trend pic twitter com aBvWeFeAXd|22|48
9:33 AM - 29 Nov 2015|Love Actually 2003 pic twitter com gcaeTLNbJG|327|202
9:38 AM - 29 Nov 2015|Fred Claus 2007 pic twitter com SK3Rv7uvrQ|57|46
11:20 AM - 29 Nov 2015|Four Christmases 2008 pic twitter com 0qsSLKgYp7|45|38
2:42 PM - 29 Nov 2015|Christmas With The Kranks 2004 pic twitter com m5svoxurYD|123|99
12:06 PM - 30 Nov 2015|The Nightmare Before Christmas 1993 pic twitter com HfRjadlxMF|381|186
6:14 PM - 2 Dec 2015|@mermaidbIues @nightriots retweet u losers I need see Hailey bean friday|1|1
4:00 PM - 2 Dec 2015|running things say gun violence happens frequently must act actually something|167|300
11:01 AM - 2 Dec 2015|#MySexEd talked abstinence discussed heterosexuality|12|24
9:15 PM - 1 Dec 2015|I'm usually either sad happy happy sad|2.3K|2.8K
7:28 PM - 1 Dec 2015|@mermaidbIues light life pic twitter com XTRYsolPwf|1|2
6:18 PM - 1 Dec 2015|@mermaidbIues That means stop get candy say hi ANY hour I count keep date top hair colors|1|3
4:55 AM - 1 Dec 2015|December 1st I'm foreign state im running late im alone wishing I home|2|2
9:23 PM - 30 Nov 2015|Hailey ready I'm sending Christmas|1|2
5:44 PM - 30 Nov 2015|ALSO cried major tears letter hailey wrote blessed life|1|2
4:52 PM - 30 Nov 2015|everything The Maine really great|2|5
10:04 AM - 30 Nov 2015|every girl world could read we'd many stronger women pic twitter com S58KhJesyo|1.6K|1.6K
3:41 PM - 30 Nov 2015|TOMORROW IS DECEMBER pic twitter com bwfCWPwFuV|8K|9.6K
3:09 PM - 30 Nov 2015|mood http co n1OrKioeu5|2|1
7:20 AM - 30 Nov 2015|leaving high school college getting job kids death scares much like I'm ready|6|9
4:59 AM - 30 Nov 2015|I'm coughing blood it's 8am I'm pre calc class Can John grow hair|1|3
11:30 AM - 30 Nov 2015|@ ppl selling p tickets almost 200 theY WERE 25 I AM POOR|1|1
9:38 AM - 30 Nov 2015|#CyberMonday got better RT chance win 50 gift card http bit ly stubhubfam pic twitter com qotp5r61kL|1.9K|288
7:56 PM - 29 Nov 2015|Me first general admission concert pic twitter com tAXWcRfM1A|1.7K|2.6K
9:00 PM - 29 Nov 2015|336 Days Until #Halloween|37|32
3:25 PM - 29 Nov 2015|isn't twenty one pilots song pic twitter com pVAg3t8RRi|16|36
2:59 PM - 29 Nov 2015|ur friend who's smaller calls fat chillin like pic twitter com t126AgFOPA|7.7K|15K
5:05 PM - 29 Nov 2015|The Great Gatsby 2013 pic twitter com XBOXZNugb9|88|172
5:12 PM - 29 Nov 2015|flirting I overanalyzing interactions novel written|199|317
4:17 PM - 29 Nov 2015|please god I cannot go school tomorrow I can't please omg go break|23|47
4:29 PM - 29 Nov 2015|@mermaidbIues you're favorite person|1|1
4:25 PM - 29 Nov 2015|@mermaidbIues HPURE OS CUTE IYOU FAN'T EVEN UDNERSTAND TH9S TWEET THATS H WOE CUTE YO UARE|1|1
12:20 PM - 29 Nov 2015|i've got secrets you'll ever know pic twitter com yGpyeTlmxl|17|44
9:43 AM - 29 Nov 2015|ghost young rising sons pic twitter com M0yBwXVuys|62|135
1:09 PM - 29 Nov 2015|love picture father son disney pic twitter com doNPShmhV8|2|4
7:47 PM - 28 Nov 2015|ever fantasize shit together|1.9K|1.8K
9:46 PM - 28 Nov 2015|blessing ur tl @mermaidbIues's selfie pic twitter com Pe81oomex4|3|16
9:44 PM - 28 Nov 2015|@mermaidbIues YOUR NEW ICON IS SO FUCKING CUTE YOU'RE SO FUCKING CUTE FUCKING FUCK FUCK|1|2
7:42 PM - 28 Nov 2015|@mermaidbIues know songs yeah they're good|1|6
7:36 PM - 28 Nov 2015|@SYDWAYOUT never answers tweets I KNOW HE SEES THEM ITS FINE IM NOT EVEN MAD|5|19
7:35 PM - 28 Nov 2015|@mermaidbIues I love mermaids Continue awesome pic twitter com re9PTmOa8U|1|1
7:27 PM - 28 Nov 2015|@mermaidbIues YOURE GONNA CRY EITH SOMETHING IM SENDING YOU|1|1
7:25 PM - 28 Nov 2015|Me Hailey exchanging Christmas gifts|1|1
7:24 PM - 28 Nov 2015|Me @mermaidbIues FaceTimed 48min gave room tour pic twitter com Iha12iqcy0|1|1
5:22 PM - 28 Nov 2015|These girls extra band family problems important fucking concert kind fan|2|7
1:33 PM - 28 Nov 2015|#mentalhealthposi 5 years major depressive impulse control disorder stronger ever nonetheless pic twitter com 0sQyfaDW4Q|20|66
11:35 AM - 28 Nov 2015|feelin body posi lot lately pic twitter com r25Gq7muaS|1|13
12:16 PM - 27 Nov 2015|what's worst I say things better I stay|55K|84K
11:28 AM - 28 Nov 2015|four hour drive listened @onedirection regret nothing also @Harry_Styles wanna start rock band|171|385
7:58 AM - 28 Nov 2015|sexting demons harmonize well mine|8|11
7:26 AM - 28 Nov 2015|tried put contact eye already contact that's morning going|44|326
