8:56 AM - 8 Dec 2015|Bruh I wanna talk movie I'm five minutes pic twitter com LuavR9JjJi|707|709
9:22 AM - 6 Dec 2015|heard someone call someone else six piece chicken mcnobody yesterday im reeling collateral impact|2K|3.3K
8:44 PM - 5 Dec 2015|I mean last 22-play drive anyone ever seen Twitter floor|275|442
5:36 PM - 2 Dec 2015|NRA dumped 922K McConnell's re-elect bid comes preventing gun violence u get tweet https twitter com McConnellPress status 672200115407450113|14K|8.2K
4:30 PM - 1 Dec 2015|you're quit job pic twitter com 3v1lDSZvAJ|3.5K|2.8K
7:44 PM - 28 Nov 2015|Which Stanford's three timeouts David Shaw's favorite Trick question loves equally would never burn even one|18|25
5:34 PM - 27 Nov 2015|oh boy 79 days til valentine's day|16|64
7:46 PM - 26 Nov 2015|Rodgers hurt Romo hurt Peyton hurt MARK SANCHEZ HEALTHY AS A F----- HORSE|95|104
1:35 PM - 26 Nov 2015|ur eating thanksgiving dinner ur mom starts throwing shade ur basketball skills pic twitter com UWUACFpH9x|15K|17K
6:26 PM - 25 Nov 2015|The latest Dysfunction Junction known Illinois athletic department https twitter com sryantribune status 669701815907258369|20|21
5:49 AM - 25 Nov 2015|Black Friday sales stats useless Ignore @ritholtz http fivethirtyeight com features black-friday-sales-numbers-are-useless-and-wrong|99|83
8:21 AM - 15 Nov 2015|When go girl's work party pic twitter com v8XO71vUwI|376|705
