12:32 PM - 9 Dec 2015|I like use social media My card mail 'Girl lost family fire 1 wish Christmas cards' http www wcvb com news girl-who-lost-family-in-fire-has-1-wish-christmas-cards 36855098|5|10
2:16 PM - 6 Dec 2015|After Jackson's death 2009 fan outcry brought back 4 parks summer 2010|8|26
2:16 PM - 6 Dec 2015|Captain EO one attractions boosted Epcot attendance late 1980's replaced 1994|7|41
2:12 PM - 2 Dec 2015|Your thoughts steps take stop carnage Your prayers forgiveness nothing -|23K|22K
2:36 PM - 2 Dec 2015|We're two weeks away mass shooting breaking mass shooting|3.6K|5.1K
1:37 PM - 2 Dec 2015|gun advocates relent way affected gun violence current rate 20 minutes|123|260
7:34 PM - 29 Nov 2015|The goal make us afraid come work make us quit make us close clinic That's terrorism That's terrorism works|4.5K|4.2K
7:32 PM - 29 Nov 2015|Our clinic didn't perform abortions We well woman exams pregnancy tests dispensed birth control treated STIs|3.7K|2.8K
7:29 PM - 29 Nov 2015|We received hundreds phone calls threatening torch clinic kill murdering whores worked|3.4K|2K
7:26 PM - 29 Nov 2015|Butyric acid used stink bomb poured doors ventilation system many times I lost count Clinic evacuated|3.3K|1.9K
7:24 PM - 29 Nov 2015|Gasoline poured back door ignited 4 times Twice clinic occupied causing patients evacuated|3.5K|2.1K
7:23 PM - 29 Nov 2015|I worked #PlannedParenthood clinic Kansas 3 years My coworkers I subjected following acts terrorism|6.9K|4.8K
9:19 AM - 29 Nov 2015|This https twitter com ChloeAngyal status 671011811693494274|1|3
8:46 PM - 28 Nov 2015|Loners stick parties eat alone Friday nights terrorize reproductive health clinics|322|451
5:01 AM - 29 Nov 2015|How angel area nonprofits need help holiday season http ow ly VdCP6|1|2
4:45 AM - 29 Nov 2015|The Duke Duchess hope everyone enjoys new photos Princess Charlotte much pic twitter com ylZ7VvOuIY|15K|25K
7:00 PM - 28 Nov 2015|Fascinating thorough background #PlannedParenthood shooter NYT Drove long way get #PlannedParenthood http nyti ms 1XoizOs|4|2
8:53 AM - 27 Nov 2015|want xmas mug w marnie dog fr http marniethedog com shop pic twitter com nW3jmoVY4m|135|293
11:48 AM - 24 Nov 2015|Tanx 4 tanxgiving pic twitter com auu1SpCT8L|816|1.4K
8:47 AM - 17 Nov 2015|@TheBloggess cashier Target went fist bump I reached grabbed like door knob turned like doorknob held|36|228
11:32 AM - 17 Nov 2015|@TheBloggess First date Never eaten pistachios Crunched handful shell Pretended that's I preferred|23|139
2:35 PM - 20 Nov 2015|@TheBloggess guitar shop teen son cant remember term window shopping tell clerk eye browsing Son walked|19|108
3:39 PM - 20 Nov 2015|@TheBloggess My brain forgot word sandwich I told deli clerk I wanted roast beef bread eat Never went back|13|107
9:59 AM - 21 Nov 2015|@TheBloggess suggested go aqua zoo blank stares You mean aquarium Family still won't let go|19|143
10:17 AM - 21 Nov 2015|The English adjective someone beautiful butt callipygian|868|1.4K
4:00 PM - 19 Nov 2015|Read statement #SyrianRefugees http bit ly 1I0pSox|552|502
9:35 AM - 17 Nov 2015|Jeez dummy https twitter com Sethrogen status 666663818882359296|2.1K|3.7K
9:07 PM - 16 Nov 2015|Take note - history judge #SyrianRefugees #tcot pic twitter com RM2nceQqUK|369|237
7:50 AM - 17 Nov 2015|Important remember history right What Americans thought Jewish refugees eve World War II http sp lc UL7xN|128|71
5:00 PM - 15 Nov 2015|Score The Smithsonian bags iconic #BreakingBad costumes artifacts http peoplem ag yDMS6nt pic twitter com 4BbfhfAFMi|59|158
