5:11 PM - 6 Dec 2015|POTUS calls Congress authorize force Isis bar terror watch list buying guns ban assault weapons tighten visa waivers|402|304
1:05 PM - 3 Dec 2015|A parallel Dimension Geologist Panda political talk show pic twitter com DoaCGclFuf|50|202
2:00 PM - 3 Dec 2015|#Scorpio don't drink fun around #Scorpio drink others fun around|68|102
12:28 PM - 3 Dec 2015|things want really hot poor|881|1.4K
2:37 PM - 2 Dec 2015|Sittin top hill Smokin kill|3.3K|6.2K
10:03 AM - 2 Dec 2015|Me opening someone pic twitter com 4kuw5gqPGL|1.7K|3K
11:47 AM - 2 Dec 2015|fuckboy sees shiny Christmas decoration outside store fuckboy impulsively rips|1|1
8:31 AM - 30 Nov 2015|I WANT TO GIVE MY BRAIN A BIG OLE BATH|174|380
6:21 PM - 1 Dec 2015|you're ready Christmas still take finals pic twitter com 2YCIhWoRtG|2.5K|3K
10:03 AM - 1 Dec 2015|download motivation|1.7K|1.4K
7:04 PM - 14 Nov 2015|I want Bernie Sanders surrogate grandfather take breakfast diner|2K|3.4K
10:52 PM - 16 Nov 2015|screams PlayStation 11pm|1|2
