5:14 PM - 10 Dec 2015|@perichareia face DRIPPING Chad|1|1
12:03 PM - 10 Dec 2015|@perichareia one day we're going log tumblr it's going blank page staff like minimalism|2|1
4:08 PM - 9 Dec 2015|@perichareia STOP PLAYING COUNTRY MUSIC U SICK FUCK|1|2
3:55 PM - 9 Dec 2015|looks hands despair created daddy kink|1|2
8:14 AM - 8 Dec 2015|The problem Handers isn't Anders b h|1|4
5:32 PM - 4 Dec 2015|@fenrisemoji u tweeted abt like week ago changed life thought u might like see hahh pic twitter com 1Z40Y0tKYs|4|7
7:08 PM - 2 Dec 2015|signs jessica jones gifs sagittarius pic twitter com wgJqCUElx1|51|49
5:21 PM - 28 Nov 2015|tagged earlier @arlathans anyone else free love mutuals pic twitter com GaOLM2d76f|9|5
8:48 PM - 25 Nov 2015|Having trouble sleeping knowing tonight Turkey Claus come chimney stuff bunch bread sage onions ass|172|483
7:15 AM - 21 Nov 2015|Economists tested seven welfare programs see made people lazy They didn't http bit ly 1QTXuX2 pic twitter com 3iBtUQgbjq|256|209
3:58 PM - 15 Nov 2015|lavellan oh chantry yes know maker bride -looks smudged writing hand- dirty ash tray|2|3
5:39 AM - 14 Nov 2015|It's vital time tragedy drawn responses feed cycle violence hatred - @jeremycorbyn|230|171
