4:38 AM - 11 Dec 2015|It's @TheRitaMoreno's birthday Smoke pipe put pic twitter com 9lmyz97lZn|410|709
8:07 PM - 9 Dec 2015|Chris Herbert veteran lost leg war speaks islamophobia pic twitter com wiLSqKcfAk|8.3K|7.7K
6:30 AM - 9 Dec 2015|J K Rowling compares @realDonaldTrump Voldemort says Trump worse http cnn 1M2YdP1 pic twitter com d2Coxqlkst|1K|1.2K
11:52 PM - 1 Dec 2015|Heathers 1988 pic twitter com 0ecjHZFhUg|728|928
4:30 PM - 30 Nov 2015|Yes Yes Yes fuckin Yes mother fuckin Yes mother fuckin bitch https twitter com melodythehippie status 670682106800963584|9.2K|7.8K
7:18 AM - 5 Dec 2015|photographer takes photographs students telling they're beautiful pic twitter com SoGCFyAYje|8.6K|15K
5:51 AM - 3 Dec 2015|love packaging love colors love concept I need pic twitter com 6AoVVELSd6|1.1K|1.9K
8:50 AM - 1 Dec 2015|matthew looks courteney way chandler looks monica don't know pic twitter com 8V1gpvnCCJ|9.1K|11K
6:30 PM - 2 Dec 2015|right pic twitter com SqYx2FeaPT|3|3
7:09 AM - 2 Dec 2015|That moment you're 12th century BC ostrich pursued Mesopotamian hero pic twitter com CQbADkwk0i|62|199
11:14 AM - 30 Nov 2015|Yeah I guess could say I dance experience pic twitter com WmCAq4ESkv|4|5
10:43 AM - 30 Nov 2015|sometimes feel like picasso- kinda ugly still worth millions|7|9
2:56 PM - 27 Nov 2015|Latina goes pic twitter com FJa4uprJPA|2.1K|2.5K
4:33 PM - 29 Nov 2015|ok I sunburn I haven't sun three years|1|3
1:25 AM - 29 Nov 2015|It's mad sometimes life feel like practice forget it's real thing everything u actually happens|150K|200K
6:19 PM - 28 Nov 2015|I want another tattoo|1|2
4:18 PM - 26 Nov 2015|Queen pop Lizzie McGuire already 12 years ago 15 https twitter com sighzach status 670026567301636097|25K|25K
6:54 AM - 28 Nov 2015|thing getting semester pic twitter com CEn2ngV3fo|2|10
5:53 PM - 27 Nov 2015|@prettymuchjulia @kylhbbrd looks rly good|2|4
3:01 PM - 26 Nov 2015|Thankful part 1 The Squad I love bitches pic twitter com 5fOIjNzbVO|3|6
8:59 AM - 26 Nov 2015|true meaning Thanksgiving told Wednesday Addams pic twitter com hpHrDKPkjX|12K|13K
10:40 AM - 26 Nov 2015|Praying food I eat today go straight ass|10|6
8:43 AM - 26 Nov 2015|forever thankful homies pic twitter com QbTH5Ztvlg|4|7
10:26 AM - 23 Nov 2015|My wisdom teeth sure working hard fuck whole day|1|1
6:52 PM - 15 Nov 2015|Viola Davis asks Why can't I pic twitter com 249kKVm39l|4.3K|6.3K
2:17 PM - 22 Nov 2015|Someone used 500 dick pics make regal portrait Donald Trump http bzfd 1PKUc7B pic twitter com z2ZZeBmEjB|812|1.1K
6:43 PM - 21 Nov 2015|The School Rock cast reuniting perform best thing ever pic twitter com 3kFbg255Cr|1.4K|2.2K
5:58 PM - 21 Nov 2015|made day pic twitter com FwK5ptAZoz|2.9K|3.2K
6:09 PM - 21 Nov 2015|LMFAOOO pic twitter com oc7FVEgyAW|378|2K
12:04 PM - 20 Nov 2015|When you're jamming @Lin_Manuel's songs shuffle pic twitter com MU2yzIo2nX|244|745
8:54 PM - 18 Nov 2015|get someone treats like DJ Khaled treats plants pic twitter com BGFtDVdO61|20K|21K
10:44 AM - 20 Nov 2015|All I want Christmas youuuu pic twitter com qqsTuZY9Hg|1.3K|1.2K
3:51 AM - 20 Nov 2015|Morning Friendly reminder amount melanin skin make better worse anyone else Have great day|7|12
6:28 AM - 19 Nov 2015|I wish I dead -@prettymuchjulia Goodmorning|1|2
8:38 AM - 18 Nov 2015|One Direction played Never Have I Ever got scandalous http bzfd 212GceJ pic twitter com QT1HXYsXeF|889|2.3K
8:09 AM - 18 Nov 2015|This absolutely disgusting Not degrading refugees whole it's degrading WoC https twitter com dailycaller status 666958198667112448|676|755
6:15 AM - 18 Nov 2015|At least nigga knew chemistry https twitter com maryiscrazy_ status 664254215682789376|109|311
3:42 AM - 15 Nov 2015|Pregnant woman completes psychology exam labour http trib al fhxzJd4 pic twitter com HtQvTXtqIh|18K|20K
2:02 AM - 14 Nov 2015|remember terrorist individual pic twitter com hvu1YylNm4|8.7K|6.3K
