7:44 PM - 9 Dec 2015|Who president RT Temmie Fav Donald Trump pic twitter com nelemCKiBr|1.3K|77
12:36 PM - 11 Dec 2015|It's S'winter Florida pic twitter com cHBdv0tatr|819|837
11:57 AM - 9 Dec 2015|smol also mental emotional state come discover|1|0
11:47 AM - 9 Dec 2015|This partridge looks like know http www buzzfeed com elainawahl this-is-what-a-partridge-looks-like-just-so-you-know bftwuk utm_term 4ldqpgm#4ldqpgm pic twitter com tHV74zwZGH|395|779
3:03 AM - 9 Dec 2015|GSA meeting Thursday It awesome It awesome|1|0
1:16 AM - 9 Dec 2015|corn chips get shape famous triangle|557|1.4K
12:50 AM - 9 Dec 2015|live laugh love motor cycle|300|514
8:35 PM - 8 Dec 2015|Frisk Sans Thanks @hndsomejack https vine co v i7dgPTFq2FA|45|47
6:58 PM - 8 Dec 2015|School like happy holidays Our present exams projects stress Here go|1|0
6:46 PM - 8 Dec 2015|23 things one tells ADHD #MHW2015 http bzfd 1R8nWxm|122|283
5:50 PM - 8 Dec 2015|yay school making want cry I love education america teaches us hate learning care grades|1|0
2:49 AM - 8 Dec 2015|Shout-Out To The Real Hero Of Hanukkah http www buzzfeed com lyapalater shout-out-to-the-real-hero-of-hannukah bftw utm_term 4ldqpfp#4ldqpfp pic twitter com wOMEdTJ92W|44|144
4:31 PM - 7 Dec 2015|To celebrating Happy Hanukkah Hope it's started well great holiday family|200|876
5:41 AM - 7 Dec 2015|It's time year awkwardly explain Hannukah people|1|0
4:57 PM - 6 Dec 2015|try nail polish toesies accident apply bottom coral #506|1.5K|3.1K
5:15 PM - 6 Dec 2015|Happy Hanukkah|4.1K|8.9K
12:37 PM - 6 Dec 2015|LOOK cutie omg pic twitter com rWJvPnhdPq|1|2
11:45 AM - 6 Dec 2015|snapchat story meant someone never watched|1.3K|3.5K
5:56 PM - 5 Dec 2015|This Frankie He's wearing blush 11 10 really accents cheek bones pic twitter com iJABMhVidf|6.6K|9.5K
4:45 PM - 30 Nov 2015|RT dressed avocado like sam pepper pic twitter com Gu7S6iaDGu|4.5K|215
5:38 PM - 4 Dec 2015|I think Internet going kill pic twitter com o7uk7A1zGL|205|1.9K
10:46 AM - 4 Dec 2015|thing I'm good awkward|2.2K|2.5K
