1:40 AM - 11 Dec 2015|@rnjbrown715 Jenni B Wow Your chosen Go site link|1|1
2:00 PM - 11 Dec 2015|With holidays rolling around pick Christmas record Holiday For Swing iTunes https itun es us P9w32|149|806
2:02 PM - 11 Dec 2015|Random scenes snap Sci-Fi movie I filmed 1976 pic twitter com h6bVZgnC8y|791|1.7K
4:03 AM - 11 Dec 2015|18 'Star Wars' memes hold new movie comes http mash 1lzUROD pic twitter com NlJzLD84Nu|76|121
2:00 AM - 11 Dec 2015|A woman built perfect #StarWars costume dog http peoplem ag bZlNiZ1 pic twitter com U51R6XFzcZ|63|156
9:04 PM - 10 Dec 2015|Kittens recreate 'Star Wars' amazing Jedi meow tricks http mash 21TD4lT|4|6
5:59 PM - 1 Dec 2015|#Unsung's #DeBarge episode described mind blowing RT watched episode|127|46
5:15 PM - 4 Dec 2015|They gave gift therapy Jimmy's favorite #WorstGiftEver tweets https youtu UParw9MvtG8 pic twitter com gBKPOsXcWg|151|589
3:50 AM - 4 Dec 2015|The 'Game Thrones' season 6 teaser massively dividing people http mash 1Nvmsq2 pic twitter com ePFzmVIFre|93|87
3:46 AM - 4 Dec 2015|'Tis season cheeky 'Jingle Butts ' new take holiday classic http huff 1QYbtMA pic twitter com yJLOgzLB6H|54|134
3:30 AM - 3 Dec 2015|I knew treble walked pic twitter com 62zdPu0w2a|306|465
2:38 AM - 4 Dec 2015|We either make miserable make happy The amount work -Carlos Castaneda|4|3
2:09 AM - 4 Dec 2015|A controversial topic beards #crafbrewing Thanks @allaboutbeer tackling http bit ly beardsandbeardbeer #BeardBeer|6|6
1:56 AM - 4 Dec 2015|I liked @YouTube video http youtu 7r_bwXEoMS4 10 Unforgettable Scott Weiland Moments|1|6
12:16 AM - 4 Dec 2015|Scott Weiland former singer Stone Temple Pilots dies 48 http nyti ms 1II2YgA pic twitter com yaEb5ZBFOq|615|332
10:42 PM - 30 Nov 2015|Also I click 10 Mindblowing Things You Didn't Know About Kardasians mind usually still fine afterwards|119|253
10:32 PM - 28 Nov 2015|I wait every night candle burning window dreams dear https twitter com carrieffisher status 670852607074631680|40|212
9:47 AM - 28 Nov 2015|My fianc lololol @JordanPeele proposed last night family talent show lolol|948|7.2K
10:29 AM - 15 Nov 2015|Letting go doesn't mean forget person completely means find way surviving without|1.5K|1.7K
2:00 PM - 25 Nov 2015|Is machete happy see #AshvsEvilDead pic twitter com x3GmFnMSXW|69|164
3:19 PM - 20 Nov 2015|say she's pretty say loves baby don't wanna know|2.6K|5.4K
9:27 PM - 20 Nov 2015|Up next @RandySyphax performs stand-up #FallonTonight pic twitter com pgrvplkINq|51|231
9:28 PM - 20 Nov 2015|We found guy hurt @Adele Don worry We took care https vine co v iu25UilUQtP|411|756
2:23 AM - 20 Nov 2015|My dream - coming reality #BroadwayToOz pic twitter com CdlzxVcomz|460|2.6K
9:27 PM - 14 Nov 2015|In Russia one holiday Rock Day Everyone gets one big rock throw whoever want Olya Povlatsky #SNL|114|371
