4:53 PM - 10 Dec 2015|This came today feat @AlexAllTimeLow @ashton5SOS @JoelMadden @JohnFeldy @pierrebouvier https soundcloud com theholidaze haveyourselfamerrylittlechristmas|236|329
11:57 AM - 9 Dec 2015|Is late say #Sorry Because I'm pic twitter com yqqfkUHblN|854|923
3:59 AM - 8 Dec 2015|How horrible Voldemort nowhere near bad https twitter com BBCNewsbeat status 674170911344455680|210K|200K
8:31 PM - 1 Dec 2015|want christmas pic twitter com xEDDuTescj|3.9K|8.5K
12:31 AM - 30 Nov 2015|I happy announce 5th album Taking One For The Team coming February 19th 2016 #TeamSP pic twitter com RgfwuB7VFL|547|651
10:23 PM - 28 Nov 2015|Netflix sin Chill|63|76
5:20 PM - 29 Nov 2015|RIIIIIIISE MASTER pic twitter com MzQRYaAvR8|175|568
1:57 PM - 28 Nov 2015|Called DirecTV absolutely furious Finally got answer The reason NFL Sunday ticket isn't working it's Saturday|3.9K|17K
8:00 AM - 27 Nov 2015|I amazing time Mexico Thank #Telehits loyal SP family Te queremos y volveremos pronto|204|314
3:53 PM - 21 Nov 2015|Love Rosie pic twitter com Qvuf1MQ7hv|6.5K|7.1K
10:30 AM - 21 Nov 2015|hey sorry replying didnt want|2.4K|2.5K
9:44 AM - 17 Nov 2015|screaming http vine co v OQWYxElH9OQ|2.7K|4.7K
7:30 PM - 19 Nov 2015|Study stud stu st sl sle slee sleep|6.2K|4.6K
3:17 PM - 17 Nov 2015|So trust I say guy treating like doesn't give shit genuinely doesn't give shit No exceptions|2|5
7:04 PM - 17 Nov 2015|How lucky I loved someone makes delicious cake #CountTheMemoriesNotTheCalories pic twitter com zZzAYsasxb|1|4
10:59 AM - 17 Nov 2015|Dear @Adele So excited new stuff Such gift Next time LA sing living room Just thought A|1.5K|7.2K
10:22 PM - 16 Nov 2015|When u see bae flirting someone else pic twitter com x5cfwkApGE|49|31
