3:51 PM - 8 Dec 2015|lawyers argue without crying|2.4K|4.1K
11:23 AM - 8 Dec 2015|I hope Kim Kanye never stop making babies together I hope make 40 babies I hope people beg stop|15|50
9:00 PM - 7 Dec 2015|Calling pizza za|552|1.3K
5:04 PM - 7 Dec 2015|Giving pets Christmas presents|934|1.6K
7:35 PM - 22 Nov 2015|What fucking narcissist pic twitter com xWJfMlucYj|18K|32K
11:34 AM - 4 Dec 2015|The clapping part Friends theme song|1.8K|2.9K
10:22 PM - 3 Dec 2015|The revelation all-powerful Wiz secretly unkempt loser legit metaphor life #TheWizLive|1.5K|6.8K
6:19 PM - 3 Dec 2015|BRB HEADED TO THE EMERALD CITY #TheWiz pic twitter com NmSVsR3lPW|1.4K|1.2K
9:48 PM - 1 Dec 2015|Well that's Julie Andrews signing wall I'm dead person Gnight pic twitter com 2zxsLNPmWC|1.1K|6.2K
3:48 PM - 1 Dec 2015|Hello #Groffsauce pic twitter com rxnEoBiBhQ|3.1K|6.9K
