8:52 AM - 11 Dec 2015|Bring weekend pic twitter com s70HU0lOwh|284|1.8K
8:23 PM - 6 Dec 2015|Antonio Brown EARNED penalty pic twitter com gnGcqHei8x|3.5K|3K
5:51 AM - 29 Nov 2015|fucked like 1000 christmas songs 1 song aboutr boys back town|27K|42K
12:25 PM - 26 Nov 2015|Finally Thanksgiving without drunken uncle Just nieces nephews bottle Jack Daniels|4.9K|13K
4:26 PM - 23 Nov 2015|El-P looks horrible pic twitter com MPFQ2rz8hg|664|1.2K
3:20 AM - 19 Nov 2015|The titles new Star Wars movie soundtrack may reveal exciting plot details pic twitter com f9jYOLBR7S|2.9K|4.5K
5:40 AM - 18 Nov 2015|#Zoolander2 trailer Only took 14 years https amp twimg com v 353e57af-6207-4790-afa3-89b35d50c8a5|12K|16K
9:35 AM - 17 Nov 2015|Jeez dummy https twitter com Sethrogen status 666663818882359296|2.1K|3.7K
1:49 PM - 16 Nov 2015|Must-read top-shelf work @AdrianChen http www newyorker com magazine 2015 11 23 conversion-via-twitter-westboro-baptist-church-megan-phelps-roper|35|115
4:03 AM - 15 Nov 2015|Alright here's 411 folks say gangsta dissin' fly girl give one pic twitter com BcgxjZ4IOQ|1.3K|1.8K
9:55 AM - 14 Nov 2015|Me nice car Friend yeah 400 horsepower Me that's like 7000 ducks Friend Me|8.1K|14K
