8:37 AM - 9 Dec 2015|Forget 2M easily interesting part whole deal Wu-Tang Martin Shkreli pic twitter com 5nSshXhjnJ|9K|7.3K
5:34 AM - 10 Dec 2015|How use NCR ATM pic twitter com DDUms26H4u|676|546
5:02 PM - 10 Dec 2015|On paying attention metaphors From Steven Pinker The Sense Style pic twitter com 2Pe3zHwe7P|1|4
9:03 AM - 10 Dec 2015|A sane person insane society must appear insane|167|243
2:00 PM - 9 Dec 2015|NEWS Juno Calypso wins BJP International Photography Award 2016 http goo gl S0gFC6 pic twitter com rt9cf2V8Wl|21|32
10:09 AM - 7 Dec 2015|Study Finds Majority Of Accidental Heroin Overdoses Could Be Prevented With Less Heroin http onion com 1SJxNr0 pic twitter com J8TyT0BzNk|2.8K|3.8K
2:29 PM - 6 Dec 2015|fuck NASA bad guys pic twitter com Oqmc93W1ou|208|586
11:37 AM - 4 Dec 2015|One day time @hannibalburess pic twitter com TEulRmsVGg|119|165
10:56 AM - 3 Dec 2015|New idea women allowed guns|5|22
10:57 AM - 3 Dec 2015|Nostradamus predicted vinyl would make comeback|2|3
11:33 AM - 25 Nov 2015|band's name crowd stabbers havent hired shows yet sure|40|144
1:34 AM - 20 Nov 2015|kamikazie ka-blow comicazie what's deal airplane food|3|7
5:03 PM - 1 Dec 2015|A plausible mission artists make people appreciate alive least little bit The Beatles|209|400
4:36 PM - 30 Nov 2015|I like flirting gym Not anyone idea really fit|3|19
1:02 AM - 25 Nov 2015|I don't shazam I scream What song really loudly inside CVS|22|48
12:34 AM - 26 Nov 2015|Hitler Michael Jordan Hitler|13|42
2:05 PM - 29 Nov 2015|Building audience disenfranchised individuals telling right violence giving targets it's oops|9|47
8:42 AM - 29 Nov 2015|I can't believe tomorrow Cyber Monday even cybers anymore isn't 2007|20|74
2:43 PM - 28 Nov 2015|Diana Ross - Once In The Morning http bit ly bCc1rA|2|2
1:22 PM - 26 Nov 2015|The ISIS recruitment drive Paris success Meet new Daesh-bags http boingboing net 2015 11 25 tom-the-dancing-bug-meet-isis html @rubenbolling pic twitter com G9MYP8zpcn|23|30
3:05 PM - 26 Nov 2015|#typespecimen Flamme 1933 Schelter Giesecke pic twitter com bxqNhXfq9V|7|30
7:18 AM - 26 Nov 2015|Happy Thanksgiving America Enjoy turkey #Thanksgiving pic twitter com hd84oh2L2T|1.4K|1.8K
7:47 AM - 26 Nov 2015|Posted something FB music page yesterday Page 800 likes Post got 4 views FB showed post 4 users|1|2
5:40 AM - 26 Nov 2015|Cool Bavarian police goes Spaceballs http www stern de panorama gesellschaft polizei-bayern-wie-star-wars-parodie--polizisten-aehneln-lord-helmchen-6573900 html pic twitter com NyKlX11FXG|186|228
3:38 PM - 25 Nov 2015|If check twitter month it's super easy tell who's insane who's asshole|6|44
12:20 PM - 24 Nov 2015|hey online friend says racist stuff joke here's screenshot irritating someone|128|440
4:28 AM - 24 Nov 2015|@leyawn https twitter com richarddawkins status 669114540899061761 richard dawkins fooled child yet incredible|26|141
2:24 PM - 23 Nov 2015|alarming uptick negative fallon related news zergnet today seems like guy might actually bad pic twitter com OO5PDXft7W|3|20
2:35 PM - 23 Nov 2015|One thing must remember old lost entire world probably everyone loved young|139|371
6:32 AM - 19 Nov 2015|Despite rage I still bat cave - Batman|2|5
9:33 PM - 20 Nov 2015|What's favorite 2pac song playing peek-a-boo mine Cant C Me|9|55
9:12 AM - 21 Nov 2015|BSO big shout guy Starbucks conspicuously writing iPad Pro Apple Pen THE WORST drawing horse ever|3|22
9:03 AM - 21 Nov 2015|The truth know little life don't really know good news bad news|225|326
6:25 AM - 21 Nov 2015|Historically great people important present people serve examples trust oneself Emerson|2|1
8:06 PM - 20 Nov 2015|Man named Phuc Dat Bich beyond tired getting kicked Facebook http nym ag 1NhFvu1 pic twitter com vi3FKvhnD3|20|14
8:27 PM - 20 Nov 2015|favorite band beach people|5|9
7:10 PM - 20 Nov 2015|Mp3s back|16|54
6:48 PM - 20 Nov 2015|What happened gay flag avatars Are people gay marriage French flags I'm confused I'm still team Coco F Leno|12|41
6:36 PM - 20 Nov 2015|Well that's nice pic twitter com C650rca2bh|8|7
5:30 PM - 20 Nov 2015|A closer look Grey London powerful innovative new campaign @Tate Britain http goo gl KKGWQJ pic twitter com LKhSjLzeKL|16|24
5:47 AM - 20 Nov 2015|If you're show tonight remember 22 00 minute noise commemorate victims Paris Make heard|2|3
9:25 AM - 17 Nov 2015|i'm gonna say picture sums political views pic twitter com FzjNLcdAbw|10|32
7:41 AM - 17 Nov 2015|People think Japanese invented eating raw fish I think fish|1|18
10:52 AM - 16 Nov 2015|I didn't like ISIS cool like 2009 Now I'm hating underground caliphate You wouldn't know|9|22
10:49 AM - 16 Nov 2015|Facebook comment year #ISIS pic twitter com DZeialBnDa|4.5K|4.7K
2:13 AM - 16 Nov 2015|Still Not single person calling legal powers security powers explain powers would actually prevent atrocities|392|173
9:36 AM - 15 Nov 2015|@Bro_Pair wall street supports campaign support infrastructure notice street|31|168
9:55 PM - 15 Nov 2015|Gotham The Wire people like build paint figurines|12|60
6:51 PM - 14 Nov 2015|Fact check Check hard Research deep Goddamit pull hair vet FUCK #DemDebate|456|1.5K
1:27 PM - 14 Nov 2015|Business usual Mr Hitler pic twitter com itXWbvJW77|5|3
12:01 PM - 14 Nov 2015|Jordan says mass killer mentally disturbed jihadist http reut rs 1kwurg3|123|72
10:18 AM - 14 Nov 2015|I'm gonna start asking dudes wear macklemore much enjoy rapper Macklemore whether they've considered mackling less|1|6
