4:51 PM - 10 Dec 2015|True love pet comes room|1.4K|2.3K
3:40 PM - 10 Dec 2015|@symonna_lisa I love Go get zone fuck ouuuuuttt|1|1
7:39 PM - 9 Dec 2015|This stone flawless My voice lol https www instagram com p _GLUUkr8VI|2.4K|5K
11:05 AM - 8 Dec 2015|SMILE Because women like positive men|184|289
6:28 AM - 8 Dec 2015|Currently carrying baggage eyes|1|2
6:15 PM - 6 Dec 2015|Love unapologetically fearlessly You don't need anyone's permission|2|12
1:33 PM - 4 Dec 2015|I'VE NEVER BEEN SO HAPPY IT'S FRIDAY|1|10
4:00 AM - 20 Nov 2015|Wouldn't refreshing hear middle aged men interview middle aged men middle aged men's issues|208|394
9:00 PM - 22 Nov 2015|Eight ways @NICKIMINAJ won #AMAs tonight http www thefader com 2015 11 22 8-ways-nicki-minaj-won-the-american-music-awards pic twitter com 9ZKa3iNY3B|2.4K|5.4K
8:34 PM - 22 Nov 2015|lol says I'm looking face screen I'm looking right I turn Bak look @ https twitter com iamakademiks status 668629916036894720|6.1K|10K
4:43 AM - 19 Nov 2015|I know it's even 8am yet chicken nuggets mind|1|7
