6:22 PM - 10 Dec 2015|overhears parents bragging 14 month old child walking ive walking well 19 years wheres fucking recompense|8|22
8:05 AM - 10 Dec 2015|got drunk screwed guy Woke feelings fml -Columbus|19|170
8:31 AM - 10 Dec 2015|I'm fuckin w boys spotify premium|4|3
2:25 PM - 9 Dec 2015|This made day pic twitter com 9AxOONbjsn|3.7K|5.6K
9:15 PM - 9 Dec 2015|Walks professor's office hours finals week pic twitter com sVYiOzEPgE|6.1K|7.9K
8:06 PM - 9 Dec 2015|When starts getting dark 9 00 sadness|6|25
11:07 AM - 9 Dec 2015|Me walking last final pic twitter com EBcDZKnw74|2.1K|4.3K
7:14 AM - 7 Dec 2015|You stressed You tired You college|260|257
7:47 PM - 1 Dec 2015|NO ONE SHOULD COMPLAIN ABOUT SENIOR YEAR BC HAVE U HEARD OF COLLEGE ITS SO HARD U CRY EVERY DAY AND ONLY HAVE CHIPS FOR BREAKFAST|3.2K|5.1K
6:53 PM - 4 Dec 2015|My mom made sister take pregnancy test turns she's 100 babies What hoe pic twitter com c3bB018VLV|976|1.6K
9:05 AM - 1 Dec 2015|I got drunk Halloween I insisted changing tampon every 5 mins friend stopped|13|163
8:48 PM - 1 Dec 2015|Can even tell I'm wearing bra sweatshirt patriarchy CAN YOU|171|734
10:29 PM - 5 Dec 2015|Mood pic twitter com bKbtHoZZSJ|1.7K|2.8K
5:48 AM - 2 Dec 2015|trying find time make study week like pic twitter com x11LQJSzat|1.6K|1.3K
10:29 PM - 4 Dec 2015|Currently accepting applications someone murder|410|1K
12:00 PM - 3 Dec 2015|The past already written The ink dry APRIL 2016 #GameofThrones #GoTSeason6 https amp twimg com v 267f9996-7dc9-4f4e-a421-f9365a98f6f9|29K|24K
11:23 AM - 3 Dec 2015|Turning assignment nighter pic twitter com WgfXFobNHi|5.1K|8.4K
10:30 AM - 3 Dec 2015|bed married partner rolls hey u still like rite Yeah ok like like lik|521|1.2K
7:54 PM - 1 Dec 2015|It's December 1st pic twitter com MuczQpUP5G|3.2K|4K
8:06 AM - 1 Dec 2015|When you're already Christmas spirit remember you've got finals coming pic twitter com oqnB28q5Wb|3.1K|3K
6:25 AM - 29 Nov 2015|Coming back thanksgiving week finals pic twitter com ODoXcX6lyi|3|2
7:40 PM - 28 Nov 2015|Me trying balance responsibilties https vine co v iaa1BOenITv|2.1K|2.5K
10:26 AM - 28 Nov 2015|@taylorlandwer You're welcome Taylor We love front us Enjoy flight|1|3
7:12 PM - 19 Nov 2015|college dumb mean ima stay it's dumb|4K|4K
10:19 AM - 24 Nov 2015|Let's bring back @taylorlandwer pic twitter com fQiTcNRClE|1|3
6:18 PM - 23 Nov 2015|Girls r annoying|4|18
9:08 AM - 23 Nov 2015|stressed|27|11
5:36 PM - 22 Nov 2015|Zayn looks different pic twitter com d3cVVQ6MTL|8K|12K
6:19 PM - 22 Nov 2015|One direction continuing ruin life|17|8
12:31 PM - 22 Nov 2015|Literally Christina Yang crying bathroom floors fucking aesthetic|3|2
5:56 PM - 18 Nov 2015|This whole adult thing isn't really working I put two weeks notice|460|851
11:18 AM - 18 Nov 2015|Does snapchat seriously think I'm gonna pay 1 fake tears coming eyes I think life get tears free|4.7K|7.3K
9:01 PM - 17 Nov 2015|I flirt staring blankly general direction|3|5
