11:58 AM - 9 Dec 2015|Koch Brothers Get Each Other Same Election For Christmas http onion com 1IVud7J pic twitter com pMccD8ReiW|1K|1.3K
7:09 AM - 8 Dec 2015|@the_mcgone THIS IS BAFFFLLIIIIINNNNNGGG say plunge together waterfall|1|1
5:37 AM - 3 Dec 2015|Scottish twitter wild af pic twitter com 8LWDHmKDst|13K|15K
9:45 AM - 4 Dec 2015|This greatest gif via http movieclipsdotcom tumblr com post 134534387684 kylo-ren-velociraptor-nicolas-cage-superman-is pic twitter com 8WjKg5gyqT|785|691
1:51 PM - 3 Dec 2015|Someone Twitter yesterday told lawmakers stick thoughts prayers http avc lu 1NsM5rB pic twitter com Y2EsMcPj2K|40|64
1:59 PM - 2 Dec 2015|Swap thoughts prayers old gray dick balls doesn't change effect much pic twitter com yvdsBAeO9G|324|530
12:58 PM - 2 Dec 2015|Note CNN right-wing gun advocate describes people advocate gun safety laws fascists stand pic twitter com bjq1CaNSYb|193|89
7:30 AM - 2 Dec 2015|2 AM can't hold whisper Optimus Prime And Prejudice brown paper bag hollywood agent immediately kicks door|111|267
1:21 PM - 30 Nov 2015|It little shaken okay http onion com 1LJraiD pic twitter com RfdWvIs5Bs|720|826
9:54 AM - 30 Nov 2015|We don't prove say anymore Cool I remember seeing @realDonaldTrump eating baby 9-11 RT saw|822|612
7:33 AM - 24 Nov 2015|Trump's official campaign statements include FW RE FW FW FW FW|222|349
7:49 PM - 23 Nov 2015|Final reminder pay homeowners insurance premiums God bless everyone deep-frying turkey garage|179|228
9:32 AM - 20 Nov 2015|Jordan Gibson brings SPIDER-MAN http ohotmuredux blogspot com today Go check|4|1
1:22 PM - 18 Nov 2015|The Infamous Shoe Roast https storify com vjzuylen please-stop-roasting-my-goddamned-shoes|487|986
