9:00 PM - 11 Dec 2015|It's almost time year pic twitter com gQuFVSbjyk|1K|919
6:00 AM - 12 Dec 2015|Found real slim shady https vine co v hg031LvY9hq|146|265
5:17 PM - 11 Dec 2015|Retweet want pass finals pic twitter com J8ZgAOtcdm|5.9K|2.8K
2:44 PM - 11 Dec 2015|Crow city https vine co v iZAQITplz3d|812|971
10:04 PM - 8 Dec 2015|oh mi gosh pic twitter com C7cdqpI1h5|3.6K|5.2K
11:11 AM - 11 Dec 2015|Lackey Zobrist J-Hey cubbies comin hot|7.4K|9.7K
11:18 AM - 11 Dec 2015|i'd rather 1289 pic twitter com gBAWlCcD8l|294|493
10:36 AM - 11 Dec 2015|Evolution Drake concerts amazing pic twitter com oIvTLWmEGk|227|369
7:28 PM - 10 Dec 2015|Let's make America great pic twitter com 6qh18AA6Db|15K|2.5K
8:20 PM - 10 Dec 2015|RT IF U KINDA UGLY NOT ALL THE WAY UGLY BUT YOU KNOW U GOT SOME WEIRD LOOKIN SHIT GOIN ON|945|1.4K
2:46 PM - 9 Dec 2015|PLEASE HELP YA GIRL OUT pic twitter com 1ipodtZYf9|140K|23K
5:40 PM - 9 Dec 2015|When compliment someone start asking questions pic twitter com DblxcsoPVM|1.4K|2.7K
3:05 PM - 9 Dec 2015|DIS NIGGA PLANKTON REAL AF BRUH DIS NIGGA ROASTED AN ENTIRE FAMILY pic twitter com Ys7DlSRzCz|3.5K|4.5K
6:56 PM - 7 Dec 2015|RT FOR OKLAHOMA LIKE FOR CLEMSON pic twitter com XumB9TEJHH|1.2K|491
5:36 PM - 8 Dec 2015|#Cubs INF Ben Zobrist agreed terms four-year contract 2019 season Welcome Ben pic twitter com zu8WqkOEzp|2K|2.8K
11:36 AM - 8 Dec 2015|If gets 10 000 retweets I shave Mark's head Don't fail Twitter pic twitter com vof8JcjC9g|12K|2.1K
7:00 PM - 28 Nov 2015|When bae leaves read pic twitter com m9L8qMYL64|3.6K|5K
4:10 PM - 6 Dec 2015|God bless America pic twitter com jsuKxYqX4W|8.1K|13K
5:13 PM - 7 Dec 2015|Fox News suspends Ralph Peters comments President Obama's speech Sunday pic twitter com Ng1YqJzu5C|6.7K|10K
8:15 AM - 8 Dec 2015|VIDEO The Very Attractive Tomi Lahren Blasts Obama About San Bernardino Speech http tfm li aQZ8kb pic twitter com NZIffPsNQt|88|286
6:50 AM - 6 Dec 2015|When try fit squad https vine co v i7ZwJbOZl7U|105|124
4:38 PM - 7 Dec 2015|HISTORY REPEATS ITSELF pic twitter com s9uHcJfUKN|8.9K|9K
8:00 PM - 7 Dec 2015|Dr Dre ft Eminem - Forgot About Dre pic twitter com mnIf1pVl9Q|568|658
2:01 PM - 6 Dec 2015|That's people racism finally pic twitter com lZd8ckqTRI|3.5K|5.2K
4:44 PM - 7 Dec 2015|I LAUGHED SO HARD AT THIS pic twitter com 35chC4xK9K|3.2K|4.1K
2:07 PM - 7 Dec 2015|Can pass common sense test http serve im 2095 13520 can-you-pass-the-common-sense-test|22|50
11:39 AM - 7 Dec 2015|If I m elected serve Commander Chief won cower face evil America lead https amp twimg com v 4f9792f8-352e-4e81-a366-4af75cf95c50|2K|2.6K
12:19 PM - 6 Dec 2015|Too funny A short quiz determine you're Democrat Republican southern Republican http www thefederalistpapers org us political-quiz-are-you-a-democrat-republican-or-redneck|511|713
3:42 PM - 6 Dec 2015|Does 'Blurryface' Twenty One Pilots deserve Grammy RT - Yes FAV - No pic twitter com P3bAhmUfLH|2.7K|441
7:51 PM - 6 Dec 2015|When doctors asking many questions mom room pic twitter com aOFd6GNez2|4.3K|7.9K
5:03 PM - 6 Dec 2015|omg condom fails pic twitter com RUu2ZCaRS5|1.4K|2.4K
10:52 AM - 6 Dec 2015|Saw stall campus pic twitter com 4L032gCzZ9|932|3.2K
10:48 AM - 6 Dec 2015|PLEASE RETWEET @franklinMPH needs snapchat @Make_Promises pic twitter com auLlZ0lyaY|50|12
5:03 AM - 6 Dec 2015|stressed depressed even well dressed|2.8K|5K
6:13 PM - 5 Dec 2015|Bacon Wrapped Grilled Cheese pic twitter com itk7ilO8gF|9.1K|13K
2:04 PM - 5 Dec 2015|Ted Cruz wins #mngop central committee meeting presidential straw poll 2-1 margin Marco Rubio pic twitter com F91Wx3lz8o|410|483
1:47 PM - 5 Dec 2015|I'M SCREAMING pic twitter com 354sf7fOSp|1.2K|2.3K
1:54 PM - 5 Dec 2015|School lunches around world pic twitter com fyeedh8mrb|14K|12K
