2:04 PM - 11 Dec 2015|die someone make sure social media accounts get deleted|12|28
8:01 AM - 11 Dec 2015|@NICKIMINAJ looks gorgeous photoshoot @billboard shot David Needleman pic twitter com IVPiJaN8NH|271|355
2:27 PM - 11 Dec 2015|Coffee liquid effort|168|236
2:46 PM - 11 Dec 2015|Whenever I'm feeling uninspired I'm gonna look picture pic twitter com BCVWvFoGEF|18|67
2:34 PM - 11 Dec 2015|Smiles hugs happy tears Snapshots Syrian refugees arriving Toronto earlier today pic twitter com eW5IGpLDmC|1.1K|1.2K
3:38 PM - 11 Dec 2015|Your mcm thinks people pee vaginas|367|578
2:55 PM - 9 Dec 2015|one great moments planet earth https twitter com hsilkchampagne status 674696305558573056|1.4K|3.8K
9:47 PM - 10 Dec 2015|Made three semesters two different schools without talking single person class I feel real good|1|3
9:51 AM - 10 Dec 2015|Lmao hit books hunty https twitter com weccashley01 status 674721900803678208|3|4
8:06 PM - 10 Dec 2015|THEYRE PANTS FUCK ME THE FUCK UP pic twitter com sQV71EKt8Z|237|373
6:28 PM - 9 Dec 2015|quitting school becoming kidz bop star|1.4K|1.9K
6:28 PM - 9 Dec 2015|Multiple choice questions like pic twitter com ACkGf8rDEG|2.1K|2.7K
7:08 PM - 9 Dec 2015|replace @realDonaldTrump bagel|436|566
12:57 PM - 4 Dec 2015|true pic twitter com 49xSON3W5S|173|219
5:22 PM - 9 Dec 2015|delete tweet 5 minutes ago https vine co v iWMbFTlHbzX|10K|8.7K
6:05 PM - 8 Dec 2015|rt u pic twitter com 9yVpGWO4nw|108|292
7:19 AM - 10 Dec 2015|writes lyrics Sorry Justin Bieber final questions I don't know answer|1|7
5:49 PM - 9 Dec 2015|I don't want turn 20 March I want turn 20 Months old I want baby|2|4
6:12 PM - 9 Dec 2015|Being Sad Teen hard|1|1
