9:34 PM - 11 Dec 2015|Everything need know LA people go mall stand line buy cupcakes vending machine|819|2.6K
7:08 PM - 10 Dec 2015|Let's make America great pic twitter com y8hz1Pvz9V|89K|17K
11:08 PM - 9 Dec 2015|Rick What everyone's supposed sleep every single night Y-you realize nighttime makes half time #RickandMorty|24|76
8:37 AM - 9 Dec 2015|Forget 2M easily interesting part whole deal Wu-Tang Martin Shkreli pic twitter com 5nSshXhjnJ|9.1K|7.4K
9:00 PM - 9 Dec 2015|John Roberts Delivers Finishing Blow To Stephen Breyer To Defend Title Of Chief Justice http onion com 1HVAdCm pic twitter com XblRAWoX39|804|1.1K
4:53 PM - 8 Dec 2015|Trump says he's bothered comparisons Hitler Not Bothered When He's Compared To Adolf Hitler https www washingtonpost com news post-politics wp 2015 12 08 donald-trump-says-he-is-not-bothered-by-comparisons-to-hitler|4.6K|3.6K
3:17 PM - 5 Dec 2015|New test replace word Muslims Jews ask Do I sound like fucking Nazi|8.9K|8.9K
11:27 PM - 30 Nov 2015|What I tried put ball somewhere tried stop -guy invented sports|2.3K|3.3K
1:28 PM - 6 Dec 2015|Wedding rings Holocaust victims near Buchenwald concentration camp 1945 pic twitter com OPCtl4aynF|1.7K|1.9K
1:07 AM - 6 Dec 2015|Shout dude got sick video show London like two weeks ago https www youtube com watch v ogH3KNhXr7Y|49|192
11:14 AM - 5 Dec 2015|Twitter fun games get text asking tweet|47|63
1:41 PM - 4 Dec 2015|great minds think alike proclaims 36 year old guy hardcore band young surgeons recognized line get coffee|127|570
12:38 PM - 4 Dec 2015|It hurts know people stay relationships hate they're afraid even less happy without|27|51
10:55 AM - 4 Dec 2015|fav blooper ever pic twitter com hffTF2w6fW|4.4K|8.3K
9:43 AM - 4 Dec 2015|I can't stress enough harmful glorify depression|419|593
9:53 AM - 4 Dec 2015|I wonder many calories I burn I run away problems|35|42
9:48 AM - 4 Dec 2015|I'm happy https vine co v eFr3aHrBdDY|1.3K|1.8K
