6:04 AM - 10 Dec 2015|I apologize neighbors I'm still screaming apt NY I'm nominated actress Golden Globe dream real|16K|31K
5:31 PM - 9 Dec 2015|everything fine I'm dying caffeine Work memes food @typicalgrrrls finals week|1|4
11:28 PM - 8 Dec 2015|17 charts speak social anxiety #MHW2015 http bzfd 1PWIWal pic twitter com Hqx3Jc2pz6|135|310
10:01 PM - 8 Dec 2015|When cat can't use fork pic twitter com NzIKQxuO4I|362|621
9:47 AM - 5 Dec 2015|This pic twitter com b4k5g9N0Xg|27|69
9:23 PM - 4 Dec 2015|@typicalgrrrls dogs|1|1
8:22 AM - 4 Dec 2015|Fuck I sang 1D loud tube I forgot one else could hear headphones YOU N ME GOT A WHOLE LOTTA HISTORY|377|2.1K
5:57 PM - 28 Nov 2015|When get black Twitter separate service site - My Mother|2|1
10:30 PM - 23 Nov 2015|My horoscope says Leave fuck alone week|456|401
4:35 PM - 23 Nov 2015|Watch @KillerMike's speech introducing @BernieSanders rally Atlanta http p4k co UZXso pic twitter com 2431l40R1k|735|992
11:06 AM - 22 Nov 2015|I would gladly trade people want keep Syrian refugees Syrian refugees|1.6K|3.7K
10:51 PM - 20 Nov 2015|Going sleep like yes I'm gonna start eating healthy I know imma wake think donuts|1|3
