10:37 PM - 12 Dec 2015|q aburrision|1|4
10:32 PM - 12 Dec 2015|Accurate pic twitter com mquT4IgGwa|420|466
9:20 AM - 12 Dec 2015|It's simple don't something wouldn't want done|864|636
9:23 PM - 12 Dec 2015|I hate wearing pants|350|230
8:51 PM - 12 Dec 2015|I want 3 obsession|437|408
11:32 AM - 12 Dec 2015|never trust person talk pets normal voice|289|300
12:54 PM - 17 Nov 2015|NO SOCIAL MEDIA BY WIZ KHALIFA LMAOOO pic twitter com HrswcRcyg1|15K|19K
4:06 PM - 10 Dec 2015|Would rather|51|44
6:48 AM - 12 Dec 2015|You gotta pick one|101|62
3:36 PM - 11 Dec 2015|Is Krusty Krab No it's pic twitter com QxC99Qsd1H|2.3K|2.6K
7:17 PM - 11 Dec 2015|port|13|15
