9:03 AM - 11 Dec 2015|Pull Out Method Vs Condoms http bit ly 1OWmWem|22|13
9:31 PM - 6 Dec 2015|Don't miss chance #win sponsored trip #India Register #BharatKoJaniye Quiz http goo gl 0ttq8R pic twitter com 4vrmnkoMRp|20|13
9:32 PM - 6 Dec 2015|Mariah Carey high school nickname Mirage cut class often|334|1K
9:30 PM - 6 Dec 2015|Don make challenges challenges others @lollyDaskal #book http amzn 1bMIe6e|11|12
11:53 PM - 2 Dec 2015|While service true form worship slavery worst insult God #EndSlavery|1.7K|1.1K
11:49 PM - 2 Dec 2015|Latest updates aftermath shooting San Bernardino California http nyti ms 1TxSXZL pic twitter com cCTswB9btk|157|180
5:00 AM - 2 Dec 2015|Aung San Suu Kyi head Myanmar's military met today step toward sharing power http nyti ms 1QdXIYq pic twitter com dgLIHe3dFn|250|220
10:47 PM - 1 Dec 2015|The Beatles song Helter Skelter rise fall Roman empire|234|820
10:24 PM - 1 Dec 2015|Emergency contact numbers released Chennai Corporation - NDTV #ChennaiFloods pic twitter com n0e4js4wuj|157|33
11:39 AM - 1 Dec 2015|I SO excited perform TIMES SQUARE @NYRE year Don't miss LIVE 12 31 ABC #CONFIDENT pic twitter com RXly8UumWg|10K|18K
12:11 PM - 30 Nov 2015|13 things mentally strong people don't http read bi 1Nj1pqB pic twitter com bMHWAZQHQq|98|125
12:11 PM - 30 Nov 2015|How Memphis Is Trying Attract More Startups Without Becoming Next Silicon Valley http bit ly 1TnJOmt pic twitter com L1rlo1symC|31|22
10:22 PM - 29 Nov 2015|Patriotic thoughts I anthem played Tamasha Is OK eat popcorn Fuck I'm sneaking bite Imtiaz Ali needs comb|65|144
10:21 PM - 29 Nov 2015|7 lies startup founders unknowingly tell http buff ly 1IqZWxb pic twitter com vGDItv8E4P|51|62
3:50 AM - 28 Nov 2015|What IPS Sangeeta wasn't wrong It's Govt shown immaturity transferring RT support pic twitter com wWPUswwUND|116|75
3:54 AM - 28 Nov 2015|Paris Climate Talks Avoid Scientists Goal Carbon Budget http nyti ms 1Q4calV|181|134
3:21 AM - 25 Nov 2015|Democracy conversation The problem BJP allow conversation Parliament Watch https m youtube com watch v f-w93R8jrQM feature youtu|539|469
1:30 AM - 25 Nov 2015|The idea certain people answers I'm Conversation important Having debate issue necessary|419|377
1:38 AM - 25 Nov 2015|The main role opposition conversation Parliament BJP unwilling participate|453|410
9:14 PM - 27 Nov 2015|Salute Major #SandeepUnnikrishnan martyred #OnThisDay line duty #MumbaiAttacks 2008 pic twitter com lpuBv8zGSW|278|212
3:16 AM - 27 Nov 2015|Churches people public prominence among investigated UK child sexual abuse inquiry http bbc 1MI4inI|266|200
12:25 AM - 27 Nov 2015|Can't stop won't stop building businesses http entm ag 1MCjfph|20|36
10:52 PM - 24 Nov 2015|OP Sharma's sexist remarks prove can't expect BJP work women's welfare Either change regime change #AntiWomenBJP|96|62
