11:28 AM - 12 Dec 2015|Syrian Army advances along Turkish border seize several sites Turkmen Mountains Latakia http fb 72gPqY4ad|10|4
11:32 AM - 12 Dec 2015|Even Alqaeda leader says buffer zone Turkey proposed #Syria Turkish forces attack Kurds Rojava #TwitterKurds|11|2
9:54 AM - 12 Dec 2015|Turkish flag BURNS protesters decry Ankara's deployment troops Iraq Watch More http ow ly VO1Vu https vine co v iZIqbZuW37m|30|17
10:54 AM - 30 Nov 2015|Starting tomorrow women aren't allowed wear makeup rebel-held #Idlib Cheers new free democratic Syria pic twitter com LDHHrVUvrw|544|265
9:48 AM - 11 Dec 2015|Dress code rebel-held Idlib -Veil -Abaya dress Loose-fitting Long No accessories Color Black Dark Brown Blue pic twitter com Gs0DkNbGAL|216|78
11:54 AM - 12 Dec 2015|I choose #Syria's #Assad #British wife Asma Down wth addicts #regime change neocons Saudi inhumane #sect pic twitter com br697Oe9go|8|8
11:55 AM - 12 Dec 2015|Ever-present pic twitter com kXAo3L80AB|36|27
2:30 PM - 6 Dec 2015|Say religion important Pakistan 98 Nigeria 90 Brazil 74 Turkey 70 US 54 Russia 18 France 13 Japan 10 China 2 pic twitter com 2fpouPEpmX|352|173
10:55 AM - 12 Dec 2015|Who better leader|2|1
6:55 AM - 11 Dec 2015|How download offline maps Google Maps iPhone Android tutorial - http www phonearena com news How-to-download-offline-maps-with-Google-Maps-iPhone-and-Android-tutorial_id76577|5|15
7:31 AM - 12 Dec 2015|A Boeing 314 Clipper flying San Francisco 1940 pic twitter com yxddtNwT2R|16|31
11:22 AM - 9 Dec 2015|Making decision elect certain politicians days like forced choose gentlemen pic twitter com mCWXTjjTC5|14|16
7:02 AM - 12 Dec 2015|We need invest measures improve countries' resilience ability adapt extreme weather #COP21 pic twitter com pYWRB3hvEl|3|2
6:10 AM - 12 Dec 2015|Watch Darth Vader spew real ridiculous Donald Trump quotes http www theverge com 2015 12 9 9878050 donald-trump-darth-vader-mashup utm_campaign theverge utm_content chorus utm_medium social utm_source twitter pic twitter com ZSMFmASdhj|114|121
7:53 PM - 11 Dec 2015|Dopey Prince @Alwaleed_Talal wants control U S politicians daddy money Can I get elected #Trump2016|8K|9.6K
6:18 AM - 12 Dec 2015|Kurdish female fightrs #YPJ captured jihadi fighter alive #Azaz pic twitter com qIkfYCf44T #twitterkurds #Rojava #Syria @NazimDastan|65|53
6:23 AM - 12 Dec 2015|Being happy won give longer life study http rt com 6zc1 pic twitter com baP6zrJxFh|94|81
3:49 AM - 9 Dec 2015|NASA released sharpest pics Pluto yet seeing icy world close http slate 1SIUImj pic twitter com XatD3Rq5tg|63|52
11:33 AM - 8 Dec 2015|'Nukemap' Google Maps mash-up shows nuclear bomb http ind pn 1Qdqkm9|32|24
12:10 AM - 8 Dec 2015|Apple Maps How flawed mapping service beating Google Maps iPhones http www ibnlive com news tech apple-maps-how-the-once-flawed-mapping-service-is-now-beating-google-maps-on-iphones-1174215 html pic twitter com 8vwrH9TDxL|9|17
